Age,Tm,PO,Name,G,RsbP,DP,GS,CG,RF/9
26,NYY,1,Chad Gaudin,11,1,1,6,0,2.36
22,BAL,0,Brian Matusz,8,-1,0,8,0,1.01
29,DET,0,Brandon Lyon,65,0,2,0,0,2.97
33,LAA,0,Scot Shields,20,0,2,0,0,2.55
38,TOT,0,Ron Mahay,57,0,0,0,0,1.61
29,OAK,0,Kevin Cameron,11,0,0,0,0,0.98
33,LAA,1,Brian Fuentes,65,1,0,0,0,1.15
27,LAA,0,Dustin Moseley,3,0,0,3,0,3.07
26,BOS,0,Enrique Gonzalez,2,0,0,0,0,4.91
25,CLE,0,Scott Lewis,1,0,0,1,0,0.00
31,TOR,2,Brian Tallet,37,1,0,25,0,1.18
26,MIN,0,Philip Humber,8,0,0,0,0,1.00
26,BAL,0,Chris Lambert,4,0,0,0,0,3.18
35,LAA,0,Justin Speier,41,0,0,0,0,0.22
25,BOS,0,Dustin Richardson,3,0,0,0,0,2.70
25,DET,0,Casey Fien,9,0,0,0,0,0.00
32,TEX,0,Jason Grilli,30,0,0,0,0,3.08
23,MIN,0,Anthony Swarzak,12,1,0,12,0,1.07
30,BAL,4,Jeremy Guthrie,33,1,3,33,1,1.58
21,TEX,0,Neftali Feliz,20,0,0,0,0,1.16
28,BOS,0,Jonathan Papelbon,66,-1,0,0,0,0.66
29,TOR,1,Scott Richmond,27,1,1,24,1,2.01
26,TBR,1,J.P. Howell,69,0,0,0,0,1.48
28,OAK,0,Santiago Casilla,46,0,1,0,0,1.30
26,NYY,0,Phil Coke,72,0,0,0,0,1.80
27,OAK,0,Jeff Gray,24,0,1,0,0,1.37
28,NYY,0,Sergio Mitre,12,0,1,9,0,2.61
28,KCR,0,Victor Marte,8,0,0,0,0,2.25
26,TOR,0,Brandon League,67,-1,2,0,0,1.69
22,TEX,3,Derek Holland,33,1,2,21,1,1.17
27,BOS,0,Ramon Ramirez,70,-1,1,0,0,1.42
24,LAA,0,Rafael Rodriguez,18,0,0,0,0,3.52
24,MIN,1,Jose Mijares,71,0,0,0,0,1.17
38,MIN,0,Ron Mahay,16,0,0,0,0,0.00
25,TOR,0,Robert Ray,4,-1,0,4,0,2.22
27,MIN,1,Bobby Keppel,37,1,0,0,0,1.83
31,BOS,0,Javier Lopez,14,0,0,0,0,3.09
34,MIN,0,Joe Nathan,70,-1,1,0,0,1.44
25,CLE,0,Joe Smith,37,0,0,0,0,3.18
23,OAK,0,Sean Gallagher,6,0,0,2,0,1.26
24,BOS,0,Justin Masterson,31,0,0,6,0,2.12
39,CLE,0,Matt Herges,21,0,0,0,0,2.13
28,TOR,0,Bryan Bullington,4,0,0,0,0,0.00
32,OAK,0,Dan Giese,7,0,0,1,0,2.05
26,KCR,0,Anthony Lerew,3,0,1,2,0,2.70
32,NYY,0,Josh Towers,2,0,0,0,0,0.00
25,KCR,1,Zack Greinke,33,3,4,33,6,1.81
28,MIN,2,Craig Breslow,17,1,0,0,0,1.88
29,TBR,0,Jeff Bennett,11,0,0,0,0,0.00
23,TBR,0,Wade Davis,6,0,0,6,1,1.24
27,BAL,0,Chris Ray,46,-1,2,0,0,1.45
22,DET,0,Ryan Perry,53,-1,0,0,0,0.88
31,DET,0,Nate Robertson,28,0,0,6,0,1.81
24,SEA,0,Brandon Morrow,26,0,1,10,0,1.55
35,BAL,0,Mark Hendrickson,53,-2,0,11,0,1.63
35,KCR,0,John Bale,43,-1,1,0,0,2.54
28,TOT,0,Jose Veras,47,0,0,0,0,1.61
28,KCR,0,Doug Waechter,5,0,0,0,0,0.00
25,MIN,0,Kevin Slowey,16,-1,0,16,0,0.99
24,KCR,0,Carlos Rosa,7,0,0,0,0,0.00
25,CLE,0,Jensen Lewis,47,0,1,0,0,1.63
25,BAL,0,Jason Berken,24,-1,3,24,0,1.50
25,SEA,0,Doug Fister,11,0,1,10,0,1.77
35,CLE,0,Masahide Kobayashi,10,0,1,0,0,2.79
27,TBR,1,James Shields,33,1,5,33,0,1.68
29,KCR,0,Roman Colon,43,-1,0,0,0,2.15
24,BAL,0,David Hernandez,20,0,0,19,0,1.24
20,DET,1,Rick Porcello,31,0,1,31,0,1.90
23,TOT,1,Luke French,15,1,1,12,0,0.94
27,DET,0,Zach Miner,51,0,0,5,0,1.46
23,SEA,1,Luke French,8,1,1,7,0,0.71
28,NYY,3,CC Sabathia,34,1,0,34,2,1.21
25,LAA,2,Scott Kazmir,6,1,0,6,0,0.99
23,CHW,0,Jhonny Nunez,7,0,0,0,0,0.00
32,KCR,4,Bruce Chen,17,1,0,9,0,1.73
25,KCR,0,Joakim Soria,47,0,1,0,0,1.19
34,TBR,0,Joe Nelson,42,-1,0,0,0,0.89
29,KCR,0,Horacio Ramirez,19,0,0,1,0,2.38
38,LAA,2,Darren Oliver,63,0,1,1,0,1.11
25,SEA,0,Shawn Kelley,41,0,0,0,0,0.78
36,TOT,0,Brett Tomko,21,0,1,6,1,0.78
24,TOT,0,Justin Masterson,42,-1,1,16,1,1.81
27,DET,0,Dontrelle Willis,7,-1,1,7,0,2.94
25,TEX,0,Brandon McCarthy,17,0,1,17,1,1.57
33,KCR,0,Kyle Farnsworth,41,0,0,0,0,0.72
32,TBR,0,Winston Abreu,2,0,0,0,0,0.00
22,TEX,0,Tommy Hunter,19,0,1,19,1,1.37
27,MIN,3,Nick Blackburn,33,0,2,33,3,2.10
27,BOS,0,Dusty Brown,1,0,0,0,0,0.00
23,OAK,2,Gio Gonzalez,20,1,1,17,0,1.37
30,TEX,0,Jason Jennings,44,0,0,0,0,1.03
25,LAA,0,Fernando Rodriguez,1,0,0,0,0,0.00
23,SEA,1,Felix Hernandez,34,-1,3,34,2,2.00
25,OAK,0,Andrew Bailey,68,0,0,0,0,1.73
27,TOR,0,David Purcey,9,0,1,9,0,1.31
28,BAL,0,Sean Henn,6,0,0,0,0,0.00
31,TOR,0,Jason Frasor,61,0,0,0,0,1.25
30,SEA,1,Chris Jakubauskas,35,1,1,8,1,1.94
25,BOS,0,Hunter Jones,11,0,0,0,0,0.71
