GIDP,SB,Player,OPS,SLG,3B,SF,BB,R
9,5,R Royster,.691,.373,3,2,32,50
1,0,A Casanova,.333,.167,0,0,0,0
1,0,B Burgamy,.788,.367,0,1,6,8
2,1,R Harvey,.734,.421,0,2,22,25
2,2,Y Solarte,.705,.395,1,0,7,18
3,0,J Eigsti,.463,.200,0,0,2,3
3,4,C Dunn,.574,.279,1,2,9,20
0,0,G Sheffield,1.036,.615,0,0,6,7
3,0,D Smith,.692,.359,1,0,5,2
0,1,L Salas,.888,.467,1,0,4,0
