#,DRB,ORB,FTM,3PM,GP
337,18.5,6.8,11.6,6.8,34
371,24.5,7.7,14.0,8.5,55
660,19.3,9.1,12.8,5.8,36
352,19.1,8.7,12.1,5.6,33
107,24.4,10.7,15.0,7.4,36
52,27.3,8.4,16.3,8.2,69
576,24.1,10.3,14.9,8.2,52
193,20.5,5.9,11.3,6.4,34
653,22.2,7.8,13.5,9.4,30
498,22.7,7.9,13.9,9.0,69
353,21.1,7.8,12.3,7.4,38
376,22.7,12.5,15.3,8.2,34
776,24.0,10.8,12.3,8.2,53
691,25.0,8.3,14.0,8.3,3
377,22.4,10.0,16.4,9.1,38
355,27.4,14.4,18.9,6.2,17
191,23.1,9.1,16.1,7.0,79
159,22.4,8.0,15.2,7.1,42
670,21.8,12.8,16.5,7.2,4
526,24.7,11.1,15.2,7.6,38
190,26.7,10.1,16.8,5.1,31
616,21.9,9.6,11.5,9.9,44
488,23.8,10.8,18.0,6.8,30
559,22.7,12.3,11.3,6.2,33
141,24.4,9.1,15.3,6.1,37
625,22.7,7.3,14.0,6.5,36
796,25.6,9.0,16.5,5.5,31
221,19.2,7.3,12.9,7.4,28
814,23.5,11.0,17.0,5.5,2
542,24.2,10.8,16.0,6.4,52
623,24.6,9.8,16.6,4.1,34
36,25.3,13.0,12.6,11.5,19
446,25.4,11.6,10.3,5.5,22
130,24.2,10.7,18.1,6.0,26
618,21.9,7.8,13.4,7.3,37
412,21.7,9.9,11.4,5.7,62
302,20.3,9.5,13.3,6.4,47
62,25.9,11.6,15.4,5.2,16
592,24.8,9.0,17.4,8.5,58
362,22.7,8.3,16.7,7.7,18
595,21.8,12.8,15.8,7.3,6
761,26.2,9.1,14.9,6.8,26
585,25.6,9.2,16.3,5.7,38
275,29.6,14.3,9.4,3.6,21
413,24.4,9.7,14.0,6.6,43
637,23.5,10.1,13.7,7.2,22
664,20.0,7.5,11.9,7.7,26
71,22.2,10.4,13.1,6.2,20
261,22.3,8.6,15.7,7.3,44
108,24.2,9.0,12.8,7.1,30
822,0.7,0.7,18.3,7.0,3
61,27.8,13.7,17.0,7.5,17
34,33.5,12.5,23.9,8.0,47
575,25.2,9.1,16.5,8.2,53
779,31.0,16.2,13.8,3.5,21
231,19.5,9.4,14.1,7.4,26
648,20.0,7.8,9.1,8.1,26
679,23.1,9.6,13.2,7.5,42
784,25.4,12.6,14.7,4.7,16
757,20.9,10.4,12.9,5.2,34
515,20.3,8.8,14.1,5.5,44
137,23.9,9.6,15.8,7.5,56
468,21.8,7.3,13.3,7.1,28
651,21.2,8.0,15.4,5.3,30
114,23.6,9.2,13.1,9.5,38
609,24.1,10.2,12.7,5.3,26
459,18.6,11.4,11.9,7.6,27
730,22.7,9.9,17.2,7.8,33
35,30.2,12.0,15.9,8.7,42
568,19.2,5.2,9.5,3.8,4
188,23.5,9.2,12.2,7.9,46
19,31.3,11.7,18.9,7.7,35
206,20.6,9.0,14.1,9.4,35
517,22.3,9.4,14.6,6.7,36
461,25.5,7.2,15.0,6.1,26
296,21.3,10.0,14.2,7.6,30
126,26.7,11.6,14.4,7.1,30
819,0.0,0.0,19.2,8.5,4
346,21.2,8.5,14.8,8.3,34
209,23.4,10.5,14.7,6.9,62
674,29.0,12.0,11.5,6.0,2
163,23.4,9.4,15.3,10.5,40
239,22.5,8.0,15.0,5.7,26
277,23.0,9.0,15.8,7.8,29
406,18.5,9.8,13.4,7.0,21
215,21.8,8.1,14.8,5.5,37
182,20.7,8.1,14.0,7.8,34
491,22.9,10.6,9.9,5.4,57
152,20.8,8.4,13.7,7.3,30
234,21.6,9.1,12.7,7.2,26
396,23.4,7.9,15.1,6.0,40
717,18.8,6.6,14.8,5.8,17
629,23.4,10.6,14.6,6.8,30
132,22.6,7.2,16.2,5.0,26
367,20.2,8.1,14.8,7.6,28
476,23.4,10.3,17.7,5.7,29
484,23.4,8.2,12.2,9.8,30
490,23.1,9.0,13.5,5.8,30
479,22.1,9.3,13.4,8.4,34
76,21.0,9.6,16.1,7.5,34
541,22.6,8.3,13.6,4.6,22
162,23.2,9.6,17.0,6.7,30
303,22.4,9.1,14.4,6.3,30
263,21.0,8.8,15.8,7.6,28
124,21.7,8.3,12.6,8.5,42
774,25.5,11.3,14.6,5.7,32
773,22.9,9.2,18.5,6.9,37
14,31.9,14.8,17.6,6.6,47
422,20.8,9.4,15.1,5.9,61
666,22.0,12.3,14.9,5.5,32
324,21.9,7.9,15.8,7.1,55
768,20.8,8.9,13.0,7.9,43
522,23.7,9.2,16.6,4.1,36
546,26.5,8.9,14.2,6.8,31
398,20.5,8.9,10.8,7.6,19
614,24.8,9.2,16.0,8.0,47
127,23.9,7.4,20.7,4.4,9
473,23.7,13.5,13.8,7.3,33
192,29.6,10.1,18.6,7.9,34
677,23.3,10.0,14.9,5.5,33
799,23.7,11.5,13.5,7.7,31
497,25.8,8.5,16.2,7.7,48
295,22.5,9.2,13.5,6.8,30
167,24.3,10.4,14.7,4.5,31
118,24.2,11.4,10.4,6.9,8
812,18.0,7.0,25.0,8.0,1
253,23.3,9.7,13.8,6.1,25
33,25.5,9.6,18.4,6.7,32
291,22.6,10.3,14.0,6.0,30
343,22.9,11.7,15.1,6.5,34
78,22.5,9.1,15.8,5.7,28
503,23.2,9.9,17.4,5.4,34
644,22.6,9.1,14.8,5.5,39
170,21.4,9.4,16.6,6.8,42
45,27.7,12.0,15.6,11.3,40
287,21.4,8.9,14.6,10.4,45
30,33.3,15.4,17.8,5.4,49
251,26.7,9.9,15.0,6.2,52
194,21.2,8.6,14.8,8.2,34
735,25.1,12.2,14.0,6.3,16
431,24.3,10.4,15.5,8.1,71
293,23.5,7.4,11.9,4.8,30
655,22.4,7.6,14.2,7.1,37
654,28.0,8.0,15.0,2.3,3
562,25.3,12.3,17.9,7.7,36
222,22.2,10.6,13.1,6.8,38
620,21.3,7.7,14.6,5.8,28
740,23.8,9.3,14.7,7.4,39
701,24.6,10.7,13.8,9.1,56
513,20.9,6.6,11.1,5.1,30
626,19.2,10.5,12.9,6.1,36
777,27.6,7.8,13.5,5.6,21
543,28.0,14.3,16.8,6.6,25
350,23.3,9.9,12.5,6.8,33
299,26.2,12.7,13.1,7.4,45
32,27.2,13.7,15.0,8.8,32
111,23.3,7.4,14.6,9.5,43
610,24.0,9.7,15.1,9.0,35
762,21.0,10.1,16.5,5.9,36
574,28.6,11.5,11.7,7.8,33
807,21.2,10.4,13.8,6.9,33
692,19.8,13.2,9.2,6.2,4
20,33.4,12.8,16.3,4.6,59
786,23.9,8.6,15.2,6.2,47
563,21.2,8.2,13.6,5.7,42
552,21.9,8.4,15.2,6.6,42
317,23.5,9.8,12.9,7.9,36
477,19.6,7.6,12.8,8.2,29
177,24.9,10.0,15.1,6.3,22
756,24.0,7.0,11.0,4.7,3
165,22.2,8.3,17.1,5.5,40
558,23.5,8.7,14.8,7.1,46
594,23.0,6.7,10.0,9.0,3
29,31.9,15.0,22.5,8.8,49
383,23.9,11.5,10.6,6.3,19
704,23.4,8.1,11.5,6.9,30
247,28.7,13.2,15.4,7.4,22
596,19.7,10.0,22.3,4.7,3
449,21.5,6.7,13.9,7.5,26
307,22.8,9.0,17.4,6.4,51
538,21.9,8.3,12.1,6.7,32
305,22.3,9.7,13.5,8.3,46
463,24.6,9.7,15.6,5.9,42
252,23.1,7.0,14.4,4.4,30
267,23.7,9.6,16.1,7.0,43
671,18.8,8.5,8.2,3.2,4
427,22.3,10.6,18.5,8.0,52
198,22.1,9.1,14.4,5.8,34
415,21.4,13.4,17.1,3.7,18
450,22.9,8.0,12.1,6.9,26
244,26.2,10.2,13.4,7.5,65
258,22.5,10.9,17.2,6.9,34
818,22.0,26.0,20.0,4.0,1
453,21.9,10.1,16.1,5.1,46
292,19.6,11.6,16.7,6.0,30
495,21.5,8.3,11.6,7.8,28
153,24.5,11.2,16.4,8.5,51
782,21.7,7.4,12.1,7.8,36
332,31.4,12.4,16.1,8.7,30
129,22.2,7.3,14.6,7.2,26
600,22.3,8.9,15.2,5.6,48
138,25.9,10.5,17.6,6.9,36
751,20.7,8.1,12.1,7.3,18
512,23.6,9.2,14.9,6.1,34
464,27.9,12.8,11.9,10.3,35
451,23.4,8.7,13.5,7.6,26
313,22.2,8.3,12.5,8.0,31
365,27.8,15.5,14.5,10.3,37
798,22.6,8.4,12.5,5.4,22
721,23.7,8.9,16.2,7.5,43
447,21.1,9.2,17.7,7.5,34
174,23.2,9.0,14.4,7.8,33
351,23.3,10.2,12.9,6.1,35
718,19.2,7.9,14.6,6.1,27
727,24.4,8.0,15.2,8.4,39
86,24.5,9.2,13.6,6.2,26
408,25.3,12.4,14.7,7.1,42
645,27.6,10.7,17.4,7.1,28
185,24.2,9.9,16.6,5.9,58
494,22.5,8.8,12.3,7.4,31
748,23.9,9.3,11.1,7.1,47
561,19.9,6.5,12.6,7.6,27
598,21.6,11.8,13.4,8.5,26
681,19.8,10.5,11.9,6.0,30
439,22.2,9.9,16.3,4.7,49
4,28.7,14.7,20.3,8.2,32
271,21.1,6.9,13.0,4.8,40
226,23.2,12.4,15.3,6.1,29
809,22.0,28.0,18.0,8.0,1
104,25.8,12.0,16.5,7.6,58
387,22.5,11.6,16.0,6.6,58
26,26.6,11.8,16.2,8.4,32
793,19.3,8.9,13.5,7.3,34
797,25.5,10.7,16.0,7.6,30
795,23.8,10.2,12.6,5.9,26
480,20.4,10.7,10.3,5.9,54
382,24.1,13.3,16.9,5.8,18
693,23.0,10.3,14.3,5.3,3
51,29.1,12.3,15.0,4.8,32
274,29.0,10.8,15.4,10.1,29
547,23.5,9.0,13.4,6.6,41
122,22.4,10.0,17.2,7.9,49
278,23.1,10.2,14.5,5.2,44
372,19.9,8.1,12.4,9.6,38
311,21.9,12.7,13.2,6.6,31
469,23.2,11.9,12.3,6.2,28
713,23.8,10.2,14.5,5.3,35
341,20.1,7.2,14.6,7.6,34
250,23.2,8.9,15.9,5.9,34
168,22.6,9.7,14.5,5.3,39
345,21.8,10.2,12.0,6.9,34
528,25.0,10.3,13.6,7.0,43
285,23.9,9.1,14.6,8.0,67
606,25.2,8.5,17.3,6.8,44
60,27.3,9.0,16.3,5.3,3
414,27.7,10.0,16.1,6.4,43
98,21.5,9.5,14.0,6.5,28
161,22.3,8.5,15.7,8.4,30
656,26.2,12.2,10.5,6.1,32
94,23.6,8.5,14.6,5.2,33
722,24.4,10.2,12.3,6.9,34
55,24.6,9.9,15.3,6.8,71
216,27.3,11.9,14.7,6.3,37
426,21.8,9.0,13.2,8.1,67
634,23.0,16.0,21.2,7.8,4
816,29.0,17.0,23.0,2.0,1
327,20.5,10.1,15.7,6.3,30
572,26.2,10.3,14.3,8.3,48
685,23.8,8.5,11.6,5.6,32
201,23.1,10.8,11.4,4.9,33
23,39.6,17.1,14.0,9.9,20
627,24.0,8.6,16.5,6.5,42
635,13.0,8.5,13.0,6.5,2
59,24.0,8.3,12.0,3.0,3
442,22.9,8.5,15.6,5.8,28
31,41.0,16.5,9.0,20.5,2
81,22.2,6.3,8.5,9.3,30
99,24.5,8.2,15.4,5.6,28
15,33.1,14.4,18.9,8.9,38
281,24.5,9.4,13.9,7.0,48
229,22.8,9.3,13.4,5.1,39
736,21.1,9.8,16.5,5.9,21
810,27.2,27.2,15.6,8.4,5
424,25.4,9.9,12.0,7.2,22
105,18.8,6.3,12.2,7.5,28
370,23.7,8.5,13.5,7.4,37
395,23.8,9.2,16.2,6.7,40
144,20.0,6.5,12.9,5.9,28
702,24.6,10.9,13.9,6.8,52
794,21.0,9.0,11.4,8.3,29
106,23.2,8.5,15.4,6.9,22
43,27.0,11.5,20.8,9.4,32
716,22.1,12.0,10.6,7.9,32
204,23.4,9.8,14.6,6.8,35
712,19.4,8.2,15.6,5.6,32
28,31.2,18.8,11.4,10.4,5
380,25.2,10.4,14.1,7.3,38
604,25.1,10.5,14.6,5.3,44
733,23.3,8.0,12.3,8.1,28
805,20.6,9.7,14.0,5.5,17
25,28.6,11.7,19.3,8.2,40
578,23.5,9.3,13.3,5.7,66
492,26.6,11.8,14.3,6.4,38
157,23.0,10.2,14.6,7.9,30
139,23.0,9.7,12.7,6.6,46
791,28.1,12.5,12.7,7.5,38
729,24.1,9.0,16.0,4.8,39
58,30.3,7.7,17.0,8.7,3
665,22.1,7.6,16.8,6.3,44
44,31.9,13.5,22.2,7.2,40
66,21.3,8.0,16.5,7.0,28
699,20.2,7.6,14.8,6.0,34
557,27.6,9.8,14.2,5.6,40
357,21.7,8.4,16.2,5.6,50
393,22.6,7.9,14.8,7.2,35
642,23.9,10.9,12.5,8.9,20
694,19.3,5.7,9.0,4.7,3
298,21.7,7.3,13.7,6.4,30
392,24.4,10.5,11.6,7.4,20
133,24.7,7.3,17.1,6.7,26
140,20.8,9.9,9.2,7.1,54
403,22.2,9.1,11.5,4.6,42
160,23.3,9.6,18.2,6.6,30
535,23.2,10.6,16.0,5.4,33
385,21.0,9.4,13.1,4.9,18
272,20.2,9.4,10.7,5.4,29
381,25.9,8.9,15.9,8.7,57
169,24.0,7.6,14.3,7.9,42
811,29.0,9.0,24.0,6.0,2
339,22.8,9.3,13.6,7.1,34
195,25.6,8.0,15.3,7.1,34
389,21.9,9.1,14.3,8.0,34
474,24.0,10.9,14.1,5.2,36
769,23.2,10.2,12.3,6.4,9
366,24.1,9.4,14.5,8.6,52
283,22.4,9.0,15.6,7.5,41
647,23.9,12.7,13.4,7.3,22
54,24.8,8.0,14.7,8.6,61
13,26.9,12.9,17.6,9.8,37
496,24.0,9.4,15.7,8.1,55
534,23.7,8.2,16.1,7.4,38
340,23.4,11.5,14.9,6.7,51
74,27.2,10.7,18.5,7.4,22
658,19.4,7.8,12.8,5.3,25
417,23.7,7.8,15.3,8.7,61
689,25.8,11.9,12.0,6.1,8
89,25.4,9.0,15.6,7.6,22
551,23.3,9.2,11.5,6.1,42
789,23.0,8.1,16.1,8.2,57
183,23.4,10.9,14.8,7.8,34
9,36.5,13.8,18.0,6.8,57
217,22.0,9.0,18.0,6.2,34
455,23.0,8.2,14.7,8.9,52
254,25.1,9.0,15.7,7.6,44
166,21.6,7.8,13.0,8.4,41
624,24.6,10.3,16.3,6.6,50
