GIDP,Player,3B,RBI,H
0,E Salem,0,1,2
2,J Natale,0,6,4
10,J Turner,1,43,125
3,O Chavez,0,14,44
1,D Wabick,0,4,4
1,W Ramirez,3,28,54
7,C Burke,4,26,59
6,R Strieby,0,49,71
0,J Apodaca,0,6,9
10,D Martin,7,67,124
0,C Ruiz,0,0,0
1,M Rabelo,0,8,5
4,S Roof,1,8,28
