OBP,H,RBI,SB,CS,AVG,2B
0.381,7,3,0,0,0.212,0
0.329,34,9,4,2,0.266,4
0.3,20,8,0,0,0.208,7
0.323,12,3,3,3,0.222,2
0.338,30,19,9,2,0.233,5
0.341,48,18,6,3,0.241,5
0.258,22,8,1,1,0.188,10
0.345,55,28,6,3,0.291,11
0.326,28,16,1,0,0.23,9
0.291,42,18,7,9,0.202,7
0.255,15,7,8,2,0.122,2
0.382,46,22,12,3,0.235,16
0.5,4,2,0,1,0.364,0
0.346,51,25,1,3,0.254,13
0.364,33,17,2,5,0.26,9
0.316,43,25,2,2,0.25,11
0.371,28,11,1,1,0.298,10
0.378,50,18,18,5,0.254,8
0.273,2,1,2,1,0.059,0
0.292,22,10,3,2,0.196,8
0.222,1,1,0,0,0.071,0
0.346,35,28,2,2,0.227,7
0.359,57,25,8,8,0.258,14
0.316,2,1,1,0,0.143,0
0.313,30,8,1,0,0.199,7
0.279,19,8,4,2,0.171,4
0.298,22,12,1,3,0.182,3
0.31,52,30,16,9,0.232,9
0.304,20,5,0,2,0.204,2
0.307,44,11,6,7,0.22,7
0.289,14,9,0,0,0.171,2
0.285,36,18,2,1,0.216,3
0.28,14,4,1,0,0.192,3
0.357,34,11,6,4,0.236,4
0.338,42,11,1,1,0.286,4
0.214,8,3,0,0,0.195,1
0.323,21,12,6,2,0.25,5
0.31,57,16,13,5,0.225,5
0.271,19,12,2,1,0.161,2
0.25,1,2,1,0,0.167,0
0.289,55,22,4,4,0.25,11
0.407,3,0,3,0,0.158,1
0.333,60,39,9,2,0.256,11
0.333,15,9,3,1,0.2,1
0.418,84,28,19,6,0.336,15
0.349,7,3,1,2,0.2,1
0.348,38,25,6,3,0.273,13
0.352,49,13,13,6,0.246,7
0.2,1,0,0,0,0.2,0
0.25,0,0,0,1,0.0,0
0.413,54,18,9,8,0.329,7
0.314,29,10,0,1,0.259,4
0.429,45,29,16,5,0.288,9
0.284,40,18,12,4,0.204,2
0.278,62,28,18,14,0.235,10
0.378,51,28,18,3,0.313,15
0.396,72,27,14,8,0.301,14
0.286,39,16,7,5,0.214,9
0.312,34,25,4,7,0.198,4
0.31,3,2,1,0,0.136,0
0.299,62,16,19,12,0.255,7
0.232,7,4,3,2,0.117,1
0.304,21,7,6,2,0.228,3
0.318,24,4,8,2,0.247,1
0.365,23,3,11,7,0.261,3
0.341,61,18,18,10,0.266,10
0.136,3,3,2,0,0.077,0
0.276,34,13,10,2,0.224,4
0.359,27,21,3,4,0.255,2
0.352,48,22,10,6,0.277,6
0.361,57,21,15,7,0.269,6
0.357,43,27,1,2,0.246,9
