SH,Team,BB,SO,SF
0,DSL NYY1,8,19,0
0,DSL TIG,12,43,1
0,DSL PAD,31,28,1
1,DSL WSX,32,31,4
6,DSL ANG,16,30,1
2,DSL TIG,6,11,0
0,DSL BLJ,13,19,1
2,DSL WSX,15,28,2
1,DSL REDS,4,7,0
0,DSL BRW,15,28,3
1,DSL NYY2,19,32,8
2,DSL IND,22,27,3
1,DSL TB,9,8,1
10,DSL BRA,22,25,2
1,DSL ORI,7,11,0
1,DSL TWI,8,29,0
1,DSL BRA,8,10,0
1,DSL BRA,24,45,1
0,DSL BLJ,9,11,1
0,DSL GSI,11,24,0
2,DSL MET,10,36,0
1,DSL MTS,21,16,0
3,DSL TWI,27,35,1
1,DSL CAR,11,23,0
0,DSL NAT,8,18,1
1,DSL DIA,20,34,1
2,DSL CUB2,8,27,0
1,DSL ANG,8,5,0
7,DSL ROY,36,39,3
