RBI,SO,POS,OBP,AB,SH,SLG,SB,Team,GIDP
7,23,1B,.273,69,0,.246,2,DIA,1
1,1,SS,.333,8,0,.000,0,DIA,0
8,19,LF,.307,70,0,.371,0,PAD,2
0,2,C,.182,10,0,.100,0,CUB,1
8,17,C,.304,67,0,.313,0,RAN,2
4,44,RF,.193,77,0,.078,1,MAR,1
6,3,CF,.515,29,0,.690,2,CUB,1
12,50,DH,.282,115,0,.313,2,DOD,1
9,36,LF,.283,93,2,.247,1,DOD,2
14,41,1B,.336,121,4,.314,4,DIA,1
12,9,OF,.379,88,0,.375,22,DOD,3
10,19,OF,.379,96,2,.417,13,PAD,2
8,4,OF,.417,19,0,.895,0,MAR,0
19,33,C,.271,175,2,.280,0,BRE,3
28,41,2B,.335,183,0,.432,6,BRE,5
19,40,1B,.352,181,0,.370,10,PAD,6
12,38,3B,.246,122,0,.230,2,BRE,5
11,26,CF,.365,84,1,.381,8,DIA,3
8,30,LF,.348,58,0,.345,3,MAR,2
9,14,RF,.323,56,0,.339,4,PAD,2
19,24,RF,.407,117,1,.470,2,RED,3
23,20,C,.416,116,0,.483,4,MAR,4
5,5,OF,.429,20,0,.800,0,RED,0
32,29,SS,.381,215,0,.479,7,MAR,5
4,7,SS,.391,34,1,.206,1,IND,1
5,18,CF,.383,44,2,.205,2,IND,0
20,23,2B,.373,152,6,.362,14,DIA,3
5,4,LF,.484,22,0,.455,3,DIA,0
4,4,1B,.611,14,0,1.000,0,RAN,0
5,26,2B,.323,55,0,.236,0,PAD,0
0,4,OF,.375,22,0,.409,2,ANG,1
12,21,C,.352,75,0,.280,0,IND,3
31,14,1B,.391,102,0,.686,1,CUB,2
8,33,3B,.336,107,0,.364,2,DIA,2
11,7,OF,.500,30,0,1.000,1,DOD,0
11,14,C,.341,71,0,.338,1,DOD,0
7,15,C,.356,82,0,.341,1,ROY,1
2,1,1B,.250,4,0,.250,0,DOD,0
14,40,RF,.313,163,0,.350,1,ANG,4
3,15,C,.236,51,0,.216,0,ANG,2
