OBP,H,RBI,SB,CS,AVG,2B
0.381,7,3,0,0,0.212,0
0.329,34,9,4,2,0.266,4
0.3,20,8,0,0,0.208,7
0.323,12,3,3,3,0.222,2
0.338,30,19,9,2,0.233,5
0.341,48,18,6,3,0.241,5
0.258,22,8,1,1,0.188,10
0.345,55,28,6,3,0.291,11
0.326,28,16,1,0,0.23,9
0.291,42,18,7,9,0.202,7
0.255,15,7,8,2,0.122,2
0.382,46,22,12,3,0.235,16
0.5,4,2,0,1,0.364,0
0.346,51,25,1,3,0.254,13
0.364,33,17,2,5,0.26,9
0.316,43,25,2,2,0.25,11
0.371,28,11,1,1,0.298,10
0.378,50,18,18,5,0.254,8
0.273,2,1,2,1,0.059,0
0.292,22,10,3,2,0.196,8
0.222,1,1,0,0,0.071,0
0.346,35,28,2,2,0.227,7
0.359,57,25,8,8,0.258,14
0.316,2,1,1,0,0.143,0
0.313,30,8,1,0,0.199,7
0.279,19,8,4,2,0.171,4
0.298,22,12,1,3,0.182,3
0.31,52,30,16,9,0.232,9
0.304,20,5,0,2,0.204,2
0.307,44,11,6,7,0.22,7
0.289,14,9,0,0,0.171,2
0.285,36,18,2,1,0.216,3
0.28,14,4,1,0,0.192,3
0.357,34,11,6,4,0.236,4
0.338,42,11,1,1,0.286,4
0.214,8,3,0,0,0.195,1
0.323,21,12,6,2,0.25,5
0.31,57,16,13,5,0.225,5
0.271,19,12,2,1,0.161,2
0.25,1,2,1,0,0.167,0
0.289,55,22,4,4,0.25,11
0.407,3,0,3,0,0.158,1
0.333,60,39,9,2,0.256,11
0.333,15,9,3,1,0.2,1
0.418,84,28,19,6,0.336,15
0.349,7,3,1,2,0.2,1
0.348,38,25,6,3,0.273,13
0.352,49,13,13,6,0.246,7
0.2,1,0,0,0,0.2,0
0.25,0,0,0,1,0.0,0
0.413,54,18,9,8,0.329,7
0.314,29,10,0,1,0.259,4
0.429,45,29,16,5,0.288,9
0.284,40,18,12,4,0.204,2
0.278,62,28,18,14,0.235,10
0.378,51,28,18,3,0.313,15
0.396,72,27,14,8,0.301,14
0.286,39,16,7,5,0.214,9
0.312,34,25,4,7,0.198,4
0.31,3,2,1,0,0.136,0
0.299,62,16,19,12,0.255,7
0.232,7,4,3,2,0.117,1
0.304,21,7,6,2,0.228,3
0.318,24,4,8,2,0.247,1
0.365,23,3,11,7,0.261,3
0.263,12,5,1,3,0.171,5
0.248,41,26,2,1,0.185,9
0.3,5,2,3,0,0.192,1
0.333,40,19,6,4,0.227,6
0.314,20,1,2,5,0.194,3
0.269,41,18,6,2,0.191,6
0.264,40,31,1,1,0.221,8
0.348,60,2,21,14,0.264,3
0.5,1,0,0,0,0.333,0
0.328,43,8,25,13,0.196,5
0.307,26,6,2,4,0.248,9
0.333,42,12,11,9,0.203,5
0.375,29,17,9,7,0.248,7
0.339,34,16,7,5,0.236,5
0.416,72,29,21,18,0.338,12
0.341,61,18,18,10,0.266,10
0.3,33,14,2,5,0.166,12
0.245,24,12,2,1,0.167,3
0.343,27,12,7,2,0.185,6
0.413,16,11,0,0,0.314,6
0.333,48,16,16,8,0.24,6
0.201,34,18,2,3,0.163,5
0.37,48,15,12,8,0.298,9
0.317,8,3,1,2,0.163,1
0.162,2,0,0,0,0.061,1
0.356,52,23,7,4,0.248,9
0.292,52,34,2,3,0.26,11
0.299,38,15,6,5,0.205,9
0.364,43,23,0,2,0.234,3
0.323,20,8,2,1,0.244,5
0.385,47,19,18,5,0.225,13
0.22,17,6,1,0,0.168,2
0.288,22,7,4,6,0.212,4
0.213,4,1,1,0,0.098,0
0.294,18,10,4,0,0.234,2
0.363,14,6,0,1,0.226,0
0.243,25,9,2,2,0.223,4
0.248,23,18,3,2,0.162,6
0.372,47,31,11,4,0.251,8
0.222,7,4,0,0,0.113,1
0.335,37,16,2,0,0.247,12
0.289,22,5,0,2,0.179,4
0.246,11,4,0,1,0.183,0
0.353,43,22,5,4,0.305,9
0.25,0,0,0,0,0.0,0
0.279,24,9,7,3,0.162,3
0.171,10,5,0,0,0.085,2
0.315,45,18,4,4,0.288,8
0.263,25,8,13,3,0.198,4
0.276,48,23,7,5,0.219,13
0.32,36,22,17,9,0.232,4
0.341,27,13,1,1,0.2,6
0.318,16,3,2,1,0.211,2
0.307,19,5,1,4,0.238,1
0.5,4,2,1,0,0.4,0
0.409,53,23,37,8,0.261,2
0.297,35,27,3,5,0.217,7
0.342,53,26,12,4,0.239,13
0.342,64,42,7,3,0.27,7
0.356,56,35,9,2,0.258,8
0.426,41,18,8,2,0.328,12
0.387,21,8,9,3,0.269,1
0.372,51,24,12,4,0.263,11
0.378,38,21,5,3,0.304,9
0.283,15,10,0,2,0.15,4
0.418,36,27,0,1,0.305,9
0.378,68,20,23,7,0.305,4
0.304,43,24,5,2,0.206,13
0.261,37,13,6,5,0.203,6
0.385,39,16,5,4,0.258,6
0.273,7,3,0,1,0.179,0
0.311,8,6,1,2,0.211,0
0.309,24,11,13,3,0.166,5
0.369,22,18,7,1,0.2,1
0.302,53,28,2,1,0.236,5
0.288,37,18,1,5,0.193,5
0.377,64,37,7,13,0.275,8
0.314,33,11,5,4,0.221,7
0.333,12,3,0,0,0.261,1
0.243,18,12,1,4,0.148,1
0.324,23,14,6,4,0.202,5
0.406,61,27,6,7,0.293,7
0.248,19,10,4,3,0.156,4
0.396,53,27,7,5,0.314,8
0.329,17,2,1,0,0.23,1
0.409,55,22,30,8,0.284,6
0.26,4,1,1,4,0.1,1
0.333,53,23,9,2,0.255,13
0.324,36,9,15,5,0.225,3
0.415,14,7,3,2,0.368,3
0.327,19,10,3,2,0.204,2
0.239,31,24,3,3,0.185,5
0.31,31,19,3,1,0.237,3
0.333,2,0,1,0,0.167,0
0.308,11,7,2,2,0.2,1
0.326,60,37,2,1,0.262,18
0.483,6,4,1,3,0.286,1
0.338,28,11,6,2,0.222,5
0.204,9,7,0,0,0.191,0
0.297,35,14,1,4,0.235,2
0.247,46,25,3,1,0.187,4
0.333,23,13,4,3,0.19,4
