G,SLG,3B,2B,SH,RBI,BB,SO,Team
71,.416,3,17,3,33,23,42,TRN
116,.601,5,32,0,97,36,63,BOW
14,.304,0,3,0,6,1,6,NBR
24,.250,1,1,2,4,18,15,NH
27,.545,4,7,1,26,9,20,TRN
39,.417,2,8,1,23,10,30,POR
13,.000,0,0,1,0,0,2,HAR
7,--,0,0,0,0,0,0,BIN
31,.304,0,3,0,11,10,12,AKR
93,.406,0,14,6,44,31,78,HAR
19,.000,0,0,0,0,2,1,CON
5,--,0,0,0,0,0,0,HAR
131,.391,7,21,10,60,44,66,ERI
9,.154,0,1,4,0,1,5,CON
121,.435,3,29,1,53,22,83,NH
2,.000,0,0,1,0,0,3,ALT
3,.333,0,0,0,0,1,2,BOW
7,.250,0,0,1,0,0,7,ERI
64,.462,0,16,2,48,35,45,CON
139,.314,0,24,12,39,57,79,BIN
97,.349,1,15,1,48,20,32,TRN
17,.275,0,1,0,4,7,7,BIN
52,.369,2,14,2,21,10,24,NBR
8,.000,0,0,0,0,0,0,REA
27,.333,0,6,0,6,12,14,POR
77,.463,0,8,0,42,35,44,HAR
55,.537,1,15,1,26,52,33,AKR
71,.416,0,15,5,31,47,47,NH
44,.479,1,11,1,25,7,27,ERI
10,.188,0,0,2,1,0,9,ALT
23,.000,0,0,0,0,0,1,BIN
70,.551,3,15,2,40,28,70,NBR
1,--,0,0,0,0,0,0,NH
17,.167,0,0,0,0,0,2,ALT
104,.319,2,12,11,40,34,83,BIN
10,.207,0,0,0,0,3,5,BIN
67,.351,2,12,3,28,31,29,HAR
1,--,0,0,0,0,0,0,BIN
110,.522,7,24,0,73,43,138,ERI
6,.095,0,0,0,0,3,4,REA
38,.254,0,3,0,7,11,20,BIN
12,.302,0,2,0,10,7,3,POR
3,--,0,0,0,0,0,0,ALT
3,.500,0,1,0,0,3,1,HAR
134,.471,1,29,0,72,79,88,BIN
91,.388,2,16,5,27,45,59,AKR
116,.404,5,17,13,43,31,43,ALT
14,.356,0,2,0,8,3,9,HAR
15,.000,0,0,1,0,0,2,HAR
6,.333,0,3,0,2,0,6,TRN
24,.388,0,2,0,11,19,23,ERI
1,--,0,0,0,0,0,0,HAR
117,.366,1,16,2,56,43,138,REA
16,--,0,0,1,0,0,0,ALT
1,.333,0,0,0,0,0,0,REA
1,.500,0,0,0,0,0,0,ALT
16,.308,0,3,0,5,2,18,ERI
99,.357,5,18,5,53,28,72,BOW
58,.410,3,17,3,21,16,43,NBR
9,.333,0,0,0,2,0,5,ERI
41,.382,0,5,0,10,20,20,REA
33,.363,0,5,0,7,8,15,HAR
115,.419,2,28,2,50,29,95,NH
22,.000,0,0,0,0,1,0,HAR
98,.338,1,20,0,43,55,75,POR
132,.389,7,22,7,53,26,80,BOW
139,.501,3,29,0,84,63,82,BOW
45,.148,0,0,2,4,7,15,ALT
32,.387,1,5,0,13,9,12,REA
7,.148,0,0,2,0,0,2,HAR
33,.433,0,6,0,23,17,32,ALT
82,.362,3,17,1,35,43,61,NH
112,.427,2,21,0,46,66,63,NH
9,.188,0,0,3,0,1,5,BIN
7,.267,0,0,0,2,3,4,BOW
103,.417,13,17,7,42,39,64,CON
61,.625,2,14,0,51,38,29,BOW
3,.000,0,0,0,0,0,0,REA
2,.000,0,0,0,0,0,2,AKR
10,.000,0,0,0,0,0,0,REA
108,.454,3,34,0,63,72,72,POR
9,.000,0,0,0,0,0,0,REA
5,.500,0,1,0,0,2,2,ALT
9,.091,0,0,1,0,1,4,HAR
8,.261,0,0,0,3,3,11,POR
5,.250,0,0,0,2,2,3,BIN
44,.477,1,9,0,29,12,19,POR
133,.447,8,34,4,72,49,125,NBR
105,.318,2,21,3,35,35,69,NBR
124,.469,4,31,2,51,20,67,CON
78,.384,4,7,5,40,29,80,ERI
10,.179,0,1,0,0,5,7,NH
35,.204,1,1,1,11,9,24,BOW
6,.000,0,0,5,0,1,3,HAR
12,--,0,0,0,0,0,0,REA
12,.000,0,0,0,0,0,0,REA
4,.000,0,0,0,0,0,1,TRN
118,.411,4,27,4,47,49,64,BOW
