RBI,Gact,PA,SLG,BB,H,Rk,RC
16,50,167,.293,5,32,494,11
28,71,230,.335,31,45,341,22
12,35,132,.205,11,17,458,5
0,6,14,.000,1,0,372,0
54,133,555,.427,52,144,466,76
30,72,204,.492,20,60,421,36
0,7,19,.333,1,3,127,1
35,124,528,.360,35,137,422,58
10,46,119,.404,7,32,404,15
0,22,3,.667,0,2,290,1
3,31,85,.207,2,13,252,3
8,49,94,.253,14,16,410,6
2,25,54,.255,3,10,111,3
4,55,150,.279,9,34,84,12
22,67,246,.373,22,58,141,27
10,37,128,.198,10,19,151,5
13,24,78,.371,11,18,430,9
2,23,47,.150,2,5,359,1
0,1,1,3.000,0,1,6,3
38,94,341,.332,33,75,427,33
28,86,315,.356,39,78,192,36
0,7,17,.000,1,0,258,0
56,153,607,.302,21,135,399,45
65,120,501,.430,27,121,283,60
0,8,4,.000,0,0,65,0
13,72,250,.454,28,77,322,42
0,37,24,.316,4,5,390,2
11,57,188,.258,21,30,395,12
1,21,65,.143,7,8,133,2
45,110,448,.348,20,107,240,42
0,2,2,.000,0,0,12,0
0,14,10,.300,0,3,434,1
3,33,56,.089,9,4,155,1
7,40,140,.321,5,39,183,14
46,110,471,.404,37,124,119,60
39,92,336,.363,20,82,327,35
15,38,83,.437,7,22,405,12
0,4,3,.000,0,0,491,0
7,33,83,.297,5,21,506,7
9,51,138,.362,5,31,451,13
57,113,452,.439,12,132,312,61
0,6,8,.000,0,0,294,0
6,25,49,.356,2,14,288,5
67,105,391,.491,32,113,331,65
39,106,407,.298,37,81,276,32
99,146,680,.396,94,170,408,89
3,36,71,.270,3,14,21,4
47,118,469,.422,45,124,326,64
0,4,17,.000,2,0,499,0
4,42,100,.178,5,13,256,3
6,41,79,.315,4,20,415,7
0,3,8,.000,0,0,104,0
46,117,478,.337,38,111,43,46
0,44,55,.245,1,12,81,3
4,10,12,.545,1,5,161,3
7,35,98,.287,4,18,379,6
46,156,754,.339,53,172,468,70
0,5,11,.300,0,3,130,1
0,34,25,.000,1,0,242,0
4,9,10,.900,0,5,92,4
4,34,70,.281,5,15,388,5
5,40,101,.258,3,18,423,5
34,98,370,.450,31,98,193,54
4,10,38,.324,2,8,102,3
0,1,1,.000,0,0,249,0
0,1,1,.000,0,0,109,0
1,3,5,.400,0,2,412,1
0,26,26,.000,1,0,307,0
2,37,49,.116,4,5,55,1
0,30,41,.139,3,4,30,1
1,8,24,.238,3,3,187,1
1,21,21,.286,0,3,429,1
23,67,195,.371,21,50,495,23
106,149,651,.487,55,158,204,95
41,71,276,.478,26,86,436,48
12,64,137,.574,11,41,234,27
0,1,1,.000,0,0,178,0
0,2,1,.000,0,0,486,0
41,149,678,.402,76,169,142,87
0,1,2,.000,0,0,245,0
116,137,613,.501,37,175,46,99
5,24,63,.230,1,13,371,3
3,32,54,.306,5,13,31,5
8,46,93,.341,7,23,271,9
0,15,14,.000,0,0,339,0
8,32,145,.286,9,29,450,11
0,3,1,.000,0,0,20,0
35,111,420,.369,11,110,444,43
111,153,691,.415,28,181,497,83
2,23,40,.316,1,10,348,3
0,2,2,.000,0,0,471,0
11,40,83,.291,2,20,208,6
17,77,248,.276,23,50,131,18
2,26,22,.250,0,4,277,1
2,40,46,.150,4,5,100,1
5,22,54,.327,1,13,346,4
4,33,95,.353,4,21,165,8
0,18,14,.000,0,0,203,0
4,6,10,1.000,0,6,264,5
2,46,95,.165,3,11,227,2
28,94,355,.299,39,72,263,29
4,33,86,.234,6,14,275,4
0,8,4,.000,0,0,472,0
1,4,19,.389,1,5,247,2
0,3,1,1.000,0,1,197,1
31,113,453,.388,29,125,205,56
9,59,140,.393,5,45,148,19
0,5,10,.000,0,0,306,0
22,69,202,.349,28,43,357,21
7,50,127,.302,8,29,52,11
0,4,5,.000,0,0,156,0
36,147,679,.346,44,175,493,70
54,137,568,.452,50,138,196,77
25,78,180,.397,21,43,489,22
7,40,87,.152,4,11,248,2
142,144,659,.528,40,194,250,116
38,87,230,.438,27,65,172,36
10,59,236,.266,19,45,135,16
6,38,65,.107,3,6,231,1
68,111,424,.508,40,109,202,69
36,106,387,.280,62,72,343,32
0,4,12,.000,0,0,505,0
0,26,16,.000,0,0,438,0
4,26,44,.333,1,8,105,3
0,22,14,.000,0,0,175,0
11,45,126,.336,10,31,213,13
7,23,98,.266,1,19,449,5
4,11,41,.263,3,9,253,3
55,120,455,.386,25,124,169,55
1,38,55,.130,3,6,33,1
23,79,382,.341,39,95,11,41
25,70,227,.404,12,65,455,29
18,66,138,.455,26,29,50,20
33,101,365,.299,23,83,137,29
103,153,681,.435,50,170,364,88
29,100,335,.367,22,80,398,35
0,1,1,.000,0,0,215,0
56,118,409,.409,31,112,424,55
15,63,197,.337,21,46,402,20
34,51,220,.465,29,55,184,34
14,67,201,.290,3,41,125,13
1,12,8,.500,0,4,229,2
6,23,26,.208,0,5,154,1
38,96,369,.386,21,89,117,40
0,16,28,.400,3,9,461,4
42,136,638,.363,47,161,453,69
27,89,280,.387,18,69,79,32
14,33,70,.500,6,14,336,9
50,135,628,.345,38,156,432,63
11,60,167,.368,10,45,128,19
7,22,34,.313,1,9,224,3
23,46,188,.445,15,52,367,27
0,2,5,.000,0,0,314,0
0,3,2,.000,0,0,358,0
13,54,105,.319,6,24,373,9
74,114,482,.495,65,121,482,79
1,29,29,.185,0,5,159,1
49,124,481,.370,32,127,182,55
4,52,94,.321,7,22,270,8
10,32,117,.411,8,29,282,15
50,108,488,.410,63,121,42,65
0,4,2,.000,0,0,226,0
41,99,387,.344,15,105,447,40
0,7,20,.000,0,0,139,0
5,36,62,.283,3,9,241,3
29,94,354,.381,34,83,474,40
13,53,202,.394,11,51,289,23
2,24,40,.528,4,14,80,8
0,20,24,.250,0,5,442,1
0,4,1,.000,0,0,47,0
24,101,345,.324,32,75,301,32
2,6,23,.211,2,4,254,1
0,3,6,.000,0,0,409,0
0,11,8,.000,1,0,380,0
4,24,35,.212,1,4,194,1
1,1,3,.000,0,0,54,0
47,100,397,.377,19,92,44,40
6,13,42,.278,3,9,67,3
22,54,150,.403,7,33,18,16
1,11,9,.333,0,3,160,1
0,4,2,.000,0,0,425,0
12,47,181,.312,4,37,440,13
48,148,577,.305,41,128,164,47
0,6,2,.000,0,0,465,0
8,43,48,.444,3,12,459,6
5,17,65,.417,3,15,26,7
10,40,125,.236,7,17,353,5
0,2,1,.000,0,0,70,0
51,148,689,.371,30,180,116,75
0,1,4,.000,1,0,333,0
