H,OBP,R,Player,3B,POS
22,0.484,13,M Mendez,0,C
14,0.447,7,G Ortiz,0,1B
21,0.281,12,J Gonzalez,0,2B
2,0.667,1,M Alou,0,LF
44,0.387,14,M Gonzales,1,1B
28,0.281,13,C Tang,2,RF
9,0.391,2,C Blair,0,C
16,0.289,9,O Marval,1,C
41,0.455,21,E Manzanillo,6,3B
28,0.394,14,J Pinto,3,C
5,0.313,4,S Hill,0,1B
8,0.316,7,P Cech,0,C
20,0.243,7,F Mejia,0,RF
0,0.0,0,C Phelps,0,2B
7,0.429,6,T Henley,1,OF
9,0.3,8,J Rodriguez,0,C
57,0.303,29,I Galloway,5,CF
33,0.37,16,M Brisker,0,CF
27,0.317,22,D Lutz,0,1B
15,0.393,5,K Collado,0,C
0,0.0,0,Y Hiciano,0,C
38,0.408,24,R Ynoa,1,2B
16,0.299,8,A Villalobos,0,C
3,0.308,0,A Perez,0,C
16,0.315,5,K Hernandez,0,C
24,0.358,12,R Williams,3,2B
4,0.28,2,B Friday,1,SS
6,0.467,2,F Martinez,1,OF
0,0.375,0,L Castillo,0,2B
42,0.359,18,B Greenwell,3,LF
12,0.307,6,R Voelkel,0,1B
27,0.331,10,J Torres,0,SS
33,0.422,16,J Murphy,1,1B
42,0.348,18,J Talley,1,C
37,0.348,20,A Rodriguez,0,CF
45,0.423,34,R Labrie,2,3B
3,0.286,2,O Rodriguez,0,DH
11,0.231,8,M Willard,2,SS
10,0.317,10,J Guzman,0,SS
30,0.308,17,T Ladendorf,1,SS
24,0.281,19,M Pasek,1,3B
0,0.0,0,S Cousins,0,OF
2,0.429,1,B King,0,3B
3,0.75,0,N Recknagel,0,C
1,0.182,0,W Lin,0,CF
33,0.263,22,K Skipworth,0,C
11,0.444,4,T Howe,0,C
21,0.338,8,J Aguilera,1,C
7,0.214,3,J Kianes,1,LF
