OBP,H,RBI,SB,CS,AVG,2B
0.381,7,3,0,0,0.212,0
0.329,34,9,4,2,0.266,4
0.3,20,8,0,0,0.208,7
0.323,12,3,3,3,0.222,2
0.338,30,19,9,2,0.233,5
0.341,48,18,6,3,0.241,5
0.258,22,8,1,1,0.188,10
0.345,55,28,6,3,0.291,11
0.326,28,16,1,0,0.23,9
0.291,42,18,7,9,0.202,7
0.255,15,7,8,2,0.122,2
0.382,46,22,12,3,0.235,16
0.5,4,2,0,1,0.364,0
0.346,51,25,1,3,0.254,13
0.364,33,17,2,5,0.26,9
0.316,43,25,2,2,0.25,11
0.371,28,11,1,1,0.298,10
0.378,50,18,18,5,0.254,8
0.273,2,1,2,1,0.059,0
0.292,22,10,3,2,0.196,8
0.222,1,1,0,0,0.071,0
0.346,35,28,2,2,0.227,7
0.359,57,25,8,8,0.258,14
0.316,2,1,1,0,0.143,0
0.313,30,8,1,0,0.199,7
0.279,19,8,4,2,0.171,4
0.298,22,12,1,3,0.182,3
0.31,52,30,16,9,0.232,9
0.304,20,5,0,2,0.204,2
0.307,44,11,6,7,0.22,7
0.289,14,9,0,0,0.171,2
0.285,36,18,2,1,0.216,3
0.28,14,4,1,0,0.192,3
0.357,34,11,6,4,0.236,4
0.338,42,11,1,1,0.286,4
0.214,8,3,0,0,0.195,1
0.323,21,12,6,2,0.25,5
0.31,57,16,13,5,0.225,5
0.271,19,12,2,1,0.161,2
0.25,1,2,1,0,0.167,0
0.289,55,22,4,4,0.25,11
0.407,3,0,3,0,0.158,1
0.333,60,39,9,2,0.256,11
0.333,15,9,3,1,0.2,1
0.418,84,28,19,6,0.336,15
0.349,7,3,1,2,0.2,1
0.348,38,25,6,3,0.273,13
0.352,49,13,13,6,0.246,7
0.2,1,0,0,0,0.2,0
0.25,0,0,0,1,0.0,0
0.413,54,18,9,8,0.329,7
0.314,29,10,0,1,0.259,4
0.429,45,29,16,5,0.288,9
0.284,40,18,12,4,0.204,2
0.278,62,28,18,14,0.235,10
0.378,51,28,18,3,0.313,15
0.396,72,27,14,8,0.301,14
0.286,39,16,7,5,0.214,9
0.312,34,25,4,7,0.198,4
0.31,3,2,1,0,0.136,0
0.299,62,16,19,12,0.255,7
0.232,7,4,3,2,0.117,1
0.304,21,7,6,2,0.228,3
0.318,24,4,8,2,0.247,1
0.365,23,3,11,7,0.261,3
0.365,14,4,1,2,0.298,2
0.426,41,18,8,2,0.328,12
0.376,54,18,13,3,0.292,1
0.339,24,7,8,4,0.226,3
0.307,19,5,1,4,0.238,1
0.321,61,32,10,8,0.226,13
0.422,20,10,6,3,0.294,1
0.308,18,8,0,1,0.2,5
0.247,46,25,3,1,0.187,4
0.284,26,25,3,4,0.187,10
0.369,22,18,7,1,0.2,1
0.311,8,6,1,2,0.211,0
0.333,21,6,3,2,0.259,4
0.285,20,8,1,5,0.187,6
0.373,67,20,12,5,0.302,12
0.269,41,18,6,2,0.191,6
0.251,35,18,6,3,0.205,2
0.333,17,6,3,2,0.262,1
0.255,30,13,3,3,0.178,3
0.291,3,2,0,0,0.071,0
0.172,2,0,1,0,0.077,0
0.316,41,21,2,2,0.241,6
0.31,25,5,4,3,0.219,1
0.385,67,38,10,3,0.291,6
0.276,54,28,4,4,0.229,13
0.356,56,35,9,2,0.258,8
0.314,20,1,2,5,0.194,3
0.292,14,8,1,1,0.233,2
0.294,3,0,0,3,0.111,1
0.25,3,1,1,2,0.125,0
0.333,24,14,1,0,0.245,6
0.407,13,2,8,2,0.271,1
0.25,1,0,0,0,0.25,0
0.273,4,5,0,0,0.222,1
0.441,55,35,9,3,0.282,7
0.311,35,11,9,12,0.235,1
0.384,72,48,9,10,0.303,15
0.377,36,13,4,3,0.273,2
0.245,24,12,2,1,0.167,3
0.353,32,14,1,2,0.225,8
0.313,10,4,5,0,0.182,1
0.44,59,21,8,4,0.33,4
0.377,15,7,2,0,0.268,1
0.317,51,23,4,3,0.258,9
0.342,14,3,5,1,0.226,1
0.418,36,27,0,1,0.305,9
0.372,47,31,11,4,0.251,8
0.289,33,15,1,1,0.223,4
0.319,39,19,0,3,0.234,6
0.354,74,22,18,6,0.29,8
0.267,16,7,0,1,0.195,2
0.24,15,7,0,0,0.172,4
0.308,12,9,0,1,0.162,3
0.387,71,55,3,3,0.281,15
0.299,25,11,5,1,0.207,8
0.287,20,10,0,3,0.198,5
0.33,22,8,0,2,0.229,4
0.342,53,26,12,4,0.239,13
0.333,12,3,0,0,0.261,1
0.275,4,3,0,0,0.121,2
0.38,21,7,5,2,0.273,3
0.447,55,14,27,11,0.335,8
0.308,32,20,5,7,0.179,5
0.35,45,16,5,1,0.304,6
0.396,14,5,1,1,0.326,3
0.363,72,30,17,10,0.303,10
0.317,8,3,1,2,0.163,1
0.333,3,5,0,0,0.188,0
0.327,43,21,6,10,0.226,7
0.212,6,4,0,2,0.188,0
0.283,41,31,1,2,0.238,18
0.364,11,7,0,0,0.208,3
0.213,4,1,1,0,0.098,0
0.353,43,22,5,4,0.305,9
0.335,37,16,2,0,0.247,12
0.322,31,18,1,2,0.237,6
0.387,45,9,5,10,0.269,4
0.295,30,18,3,2,0.222,6
0.301,36,19,2,0,0.242,4
0.422,78,28,32,10,0.333,20
0.217,4,0,0,2,0.182,0
0.366,46,13,9,4,0.297,11
0.335,44,19,14,10,0.263,8
0.288,7,2,4,1,0.159,0
0.294,9,7,5,4,0.209,0
0.321,34,11,16,5,0.234,2
0.109,2,1,0,0,0.047,0
0.276,20,8,3,1,0.155,5
0.333,44,17,10,12,0.24,8
0.285,36,10,5,5,0.169,9
0.363,14,6,0,1,0.226,0
0.25,0,0,0,0,0.0,0
0.341,61,18,18,10,0.266,10
0.341,40,14,2,1,0.31,8
0.339,34,16,7,5,0.236,5
0.233,28,18,0,2,0.15,7
0.352,48,22,10,6,0.277,6
0.253,25,10,10,3,0.164,6
0.317,43,16,13,3,0.253,6
0.3,33,14,2,5,0.166,12
0.333,34,13,2,0,0.234,2
0.4,5,1,1,0,0.357,1
0.222,3,0,1,0,0.125,0
0.22,17,6,1,0,0.168,2
0.302,47,24,2,1,0.249,13
0.27,31,15,7,4,0.195,5
0.293,20,10,0,3,0.227,2
0.264,25,9,3,1,0.221,2
0.305,28,20,2,2,0.215,5
0.288,37,18,1,5,0.193,5
0.371,40,28,4,5,0.247,9
0.416,72,29,21,18,0.338,12
0.328,43,8,25,13,0.196,5
0.311,27,10,7,2,0.197,2
0.422,47,9,29,10,0.311,6
0.358,29,20,2,2,0.25,8
0.313,37,22,4,3,0.22,4
0.378,74,26,49,10,0.287,9
0.368,51,23,0,1,0.321,7
0.233,23,9,10,3,0.146,6
0.381,72,35,9,5,0.296,19
0.375,2,0,0,1,0.286,0
0.326,12,5,1,1,0.167,1
0.384,50,15,9,9,0.286,7
0.295,35,6,4,2,0.223,5
0.353,3,4,0,1,0.136,2
0.333,53,23,9,2,0.255,13
0.358,59,25,9,5,0.265,8
0.353,26,14,1,5,0.255,5
0.261,47,24,4,4,0.2,10
0.483,6,4,1,3,0.286,1
0.406,61,27,6,7,0.293,7
0.162,2,0,0,0,0.061,1
0.281,10,5,3,1,0.135,1
0.365,12,3,0,1,0.231,2
0.297,35,14,1,4,0.235,2
0.275,8,2,0,2,0.216,2
0.308,23,9,5,7,0.19,0
0.279,24,9,7,3,0.162,3
0.326,60,37,2,1,0.262,18
0.286,2,0,0,0,0.091,0
0.408,42,21,3,2,0.3,6
0.315,35,18,2,0,0.241,5
0.407,75,48,24,5,0.338,15
0.316,17,11,0,0,0.239,3
0.347,37,3,4,4,0.253,6
0.238,9,2,1,3,0.158,1
0.321,35,17,2,4,0.212,9
0.366,48,17,19,4,0.293,8
0.302,29,21,7,1,0.173,10
0.364,43,23,0,2,0.234,3
0.24,43,23,0,0,0.194,3
0.346,33,21,7,2,0.289,5
0.385,39,16,5,4,0.258,6
0.333,48,16,16,8,0.24,6
0.3,20,9,1,3,0.206,1
0.275,13,8,5,2,0.213,1
0.261,37,13,6,5,0.203,6
0.372,48,27,2,2,0.244,6
0.275,19,9,4,0,0.196,2
0.226,17,4,1,1,0.138,1
0.402,43,12,5,6,0.299,2
0.304,5,1,0,1,0.238,2
0.332,32,8,10,4,0.205,5
0.277,35,14,5,1,0.217,10
0.389,20,9,4,6,0.256,2
0.23,22,8,1,1,0.19,5
0.397,75,46,16,14,0.31,15
0.299,29,17,1,2,0.238,6
0.308,18,12,0,0,0.228,6
0.415,14,7,3,2,0.368,3
0.303,45,28,3,2,0.269,10
0.436,66,20,14,11,0.292,11
0.167,1,1,0,0,0.167,0
0.313,50,15,4,5,0.275,5
0.282,44,19,8,5,0.22,10
0.171,10,5,0,0,0.085,2
0.393,46,21,4,4,0.28,7
0.276,48,23,7,5,0.219,13
0.311,23,3,5,3,0.202,1
0.327,56,36,1,2,0.238,9
0.329,17,2,1,0,0.23,1
0.409,55,22,30,8,0.284,6
0.375,25,11,2,0,0.284,5
0.371,25,11,1,6,0.234,6
0.301,21,6,0,2,0.21,2
0.364,20,2,2,3,0.29,2
0.331,52,19,2,4,0.235,9
0.274,31,16,8,3,0.18,8
0.325,28,24,5,1,0.215,4
0.219,17,5,5,5,0.147,1
0.409,53,23,37,8,0.261,2
0.371,40,13,5,11,0.278,3
0.35,30,11,19,3,0.275,1
0.246,12,8,1,2,0.19,2
0.233,6,3,0,2,0.097,1
0.372,57,25,5,4,0.281,14
0.267,31,11,7,2,0.225,3
0.352,52,18,4,4,0.265,8
0.32,36,22,17,9,0.232,4
0.3,5,3,4,1,0.152,0
0.283,27,7,3,0,0.241,4
0.198,12,4,0,1,0.141,3
0.276,33,12,0,2,0.201,10
0.327,19,10,3,2,0.204,2
0.294,18,10,4,0,0.234,2
0.372,13,8,2,0,0.194,6
0.303,17,10,1,1,0.218,0
0.292,52,34,2,3,0.26,11
0.404,73,26,19,5,0.3,14
0.299,38,17,7,5,0.205,4
0.176,1,1,0,1,0.067,1
0.43,66,25,41,10,0.317,7
0.396,53,27,7,5,0.314,8
