BB,HR,OPS,Player,G,Team
4,0,0.834,A Santos,10,PIR
3,0,0.536,D Pellegrino,16,ORI
11,4,0.874,L Perez,41,CAR
1,0,0.561,W Rodriguez,5,NAT
8,0,0.17,S Thompson,13,RSX
0,0,0.333,N Evans,2,PIR
5,0,0.863,C Larsson,5,BRA
1,0,0.576,J Poole,8,NAT
10,2,0.563,C Valenzuela,45,PHL
5,0,0.526,T Richards,34,ORI
6,0,0.69,K Clabough,28,BRA
13,0,0.568,Y Gonzalez,41,CAR
5,0,0.471,T Pascazi,14,BLU
8,0,0.474,D Sopilka,31,RSX
12,0,0.749,A Ehrlich,22,CAR
1,0,0.85,G Jacobo,5,BLU
7,0,0.446,A Vargas,17,BRA
5,0,0.472,D Devonshire,11,BLU
0,0,0.925,J Loya,12,RSX
26,2,0.791,J Ustariz,50,TIG
7,2,0.625,C Correa,39,AST
21,0,0.672,N Minnich,27,RSX
2,1,0.805,M Ohlman,8,ORI
12,2,0.634,R Garcia,31,CAR
2,0,1.083,A Luna,3,CAR
19,7,0.69,E Leonora,55,YAN
0,0,0.552,C De Los Santos,8,TIG
2,0,0.799,C Carman,25,PHL
2,0,0.595,J Carnahan,13,AST
5,1,0.494,K Cross,23,TWI
7,2,0.706,A Longley,33,TIG
11,0,0.485,H Jennings,47,NAT
2,0,0.322,L Martone,10,AST
7,0,0.477,D Cruz,20,MRL
12,1,0.479,N Mikolas,31,YAN
23,3,0.663,J Saez,36,BLU
7,1,0.862,M Meyers,30,RSX
3,0,0.411,O Lartiguez,16,ORI
1,0,0.31,C Segui,5,ORI
2,1,1.571,A Ahmady,2,CAR
10,0,0.677,D Lopez,37,RSX
14,2,0.672,L Ortiz,42,MRL
32,3,0.727,N Moore,50,RSX
2,1,0.503,J Pimentel,36,TWI
3,0,0.757,K Lafrenz,5,PHL
6,4,0.581,R Miller,40,MRL
17,1,0.715,T Remes,24,TIG
14,1,0.426,K Richards,37,ORI
3,0,0.524,D Child,15,PIR
17,2,0.699,J Licon,49,TWI
13,0,0.573,J Cardozo,34,PHL
3,2,0.907,G Lorenzo,25,ORI
8,1,0.578,I Conklin,38,RSX
6,1,0.582,L De La Rosa,27,AST
19,0,0.634,C Lien,48,BRA
8,3,0.801,H Veloz,34,ORI
9,1,0.798,J Davies,20,RSX
4,2,0.583,Z Taylor,10,PHL
2,1,0.415,B De La Rosa,29,BRA
6,0,0.629,C Tocci,38,PHL
9,2,0.682,A Delgado,31,TIG
11,0,0.736,J Acevedo,45,CAR
2,0,0.633,R Welty,3,ORI
18,4,0.713,D Davis,43,BLU
15,0,0.801,J Lopez,48,YAN
0,0,0.345,C Coste,12,RSX
1,0,1.15,K Mahoney,2,YAN
6,1,0.749,Y Araujo,30,RAY
4,0,0.348,J Graham,17,ORI
7,0,0.652,R Brown,30,TIG
8,0,0.674,H Bailey,26,NAT
22,2,0.582,J Silviano,39,BLU
5,0,0.698,D Eusebio,43,NAT
4,0,0.571,D Barbuena,26,CAR
5,0,0.553,J Anderson,10,YAN
9,0,0.558,K Mager,32,RSX
0,0,0.8,C Stanley,3,CAR
21,5,0.782,D Cozens,50,PHL
2,2,0.856,J Ceballos,16,MRL
7,3,0.553,B Harrison,32,TIG
7,1,0.619,J Laumann,34,BRA
19,1,0.768,A Aune,39,YAN
