OBP,R,3B,Player,OPS,H,SF,SLG,Team,CS
.264,13,0,M Head,0.527,29,1,.264,MID,1
.120,2,0,T Tartamella,0.25,2,1,.130,SPR,0
.322,14,0,L Montanez,0.779,23,1,.457,ARK,1
--,0,0,R Buch,0.0,0,0,--,TUL,0
.295,31,0,C Stanley,0.636,68,2,.342,SPR,0
--,0,0,C Zavada,0.0,0,0,--,SA,0
.340,34,1,T Ladendorf,0.738,70,2,.398,MID,0
.293,18,3,J Benson,0.687,27,1,.394,FRI,1
.289,40,3,A Buschini,0.664,68,2,.375,SA,6
.299,58,3,T Witherspoon,0.641,96,4,.342,ARK,10
.223,37,1,Y Prades,0.51,59,4,.288,NWA,3
.291,36,1,J Swift,0.658,77,4,.367,ARK,1
.320,75,3,D Myers,0.707,138,2,.388,MID,10
.301,17,0,C Ramirez,0.701,32,0,.400,ARK,0
.323,55,0,K Roling,0.823,107,7,.500,TUL,0
.000,0,0,J Geer,0.0,0,0,.000,SA,0
.300,1,0,N Longmire,0.425,1,0,.125,SPR,0
.333,40,1,M Stassi,0.863,80,5,.529,CC,1
.310,9,0,L Orr,0.649,14,1,.339,SA,2
--,0,0,A Mavare,0.0,0,0,--,FRI,0
.331,45,6,A Nina,0.753,125,2,.422,TUL,9
.290,5,0,D Tarleton,0.58,13,0,.290,TUL,0
.250,1,0,N Pritchard,0.457,5,0,.207,SPR,1
.182,0,0,B Tanos,0.282,1,0,.100,TUL,0
.250,0,0,J Rodriguez,0.583,3,0,.333,SA,0
.305,55,12,C Oberacker,0.694,106,6,.388,MID,1
.323,20,2,R Hernandez,0.655,71,1,.332,NWA,6
.312,59,4,O Calixte,0.68,121,3,.368,NWA,11
.280,20,1,E Rodriguez,0.645,48,2,.365,SA,1
.262,15,0,J Gonzalez,0.565,25,0,.302,TUL,2
.219,1,0,A Llanos,0.445,6,0,.226,NWA,0
.250,1,0,R Sherriff,0.5,1,0,.250,SPR,0
.333,1,0,M Olt,1.083,4,0,.750,FRI,0
--,0,0,R Henry,0.0,0,0,--,FRI,0
.200,0,0,C Bettis,0.4,1,0,.200,TUL,0
.387,1,0,R McCurdy,0.523,3,0,.136,CC,1
.182,2,0,T Hairgrove,0.364,2,0,.182,ARK,0
.353,37,1,B Fletcher,0.894,65,1,.541,NWA,2
.333,0,0,S McGregor,0.333,0,0,.000,SPR,0
.133,1,0,M Williams,0.24,3,1,.107,SPR,0
.330,74,9,B Eibner,0.781,107,3,.451,NWA,3
.282,21,0,B Taylor,0.548,51,3,.266,MID,0
.200,4,0,R Lipkin,0.403,7,0,.203,MID,0
.000,0,0,C McHugh,0.0,0,0,.000,TUL,0
.262,4,1,A Contreras,0.485,9,0,.222,SA,0
.276,48,0,L Mateo,0.594,82,1,.318,SPR,7
.339,68,6,T Lindsey,0.78,139,3,.441,ARK,4
.253,37,4,H Alberto,0.54,76,6,.287,FRI,5
.297,4,0,A Hedges,0.566,15,0,.269,SA,1
--,0,0,J Ibarra,0.0,0,0,--,SA,0
.354,20,2,R Odor,0.884,41,0,.530,FRI,2
.000,0,0,P Frazier,0.0,0,0,.000,TUL,0
.289,37,7,O Herrera,0.628,100,2,.339,FRI,5
.399,56,0,G Springer,0.978,81,1,.579,CC,5
.293,21,0,T Smalling,0.617,27,0,.325,TUL,3
.295,11,0,M Duffy,0.755,22,0,.461,CC,1
.310,19,2,R Torreyes,0.654,42,0,.344,CC,1
.250,1,0,M Adams,0.583,3,0,.333,SPR,0
.087,1,0,J Maxwell,0.135,1,1,.048,CC,0
.000,0,0,M Wisler,0.0,0,0,.000,SA,0
.231,5,0,G Miclat,0.431,5,0,.200,FRI,0
.324,68,1,M Fields,0.794,101,1,.469,NWA,6
.250,0,0,B Serrato,0.5,1,0,.250,FRI,0
.283,51,1,T Martinez,0.662,110,1,.379,FRI,9
.335,31,2,K Matthes,0.819,69,0,.484,TUL,3
.296,48,0,J Langfels,0.657,82,4,.362,TUL,8
--,0,0,M Lollis,0.0,0,0,--,SA,0
.000,0,0,K Siegrist,0.0,0,0,.000,SPR,0
.353,46,1,J Lemmerman,0.72,71,1,.367,SPR,1
--,0,0,R Bleier,0.0,0,0,--,FRI,0
.452,49,0,A Aliotti,0.993,119,3,.541,MID,2
.111,0,0,I Kinsler,0.111,0,0,.000,FRI,0
.000,0,0,M Branham,0.0,0,0,.000,SA,0
.125,0,0,C Bergman,0.25,2,0,.125,TUL,0
.143,0,0,K Sampson,0.286,1,0,.143,SA,0
--,0,0,C Rearick,0.0,0,0,--,SA,0
.500,3,0,M Moreland,1.5,6,0,1.000,FRI,0
.000,0,0,E Butler,0.0,0,0,.000,TUL,0
.293,44,0,J Mier,0.558,69,1,.265,CC,8
.331,18,0,R Jones,0.681,27,1,.350,ARK,2
--,0,0,R Delgado,0.0,0,0,--,SPR,0
.167,1,0,S Gallagher,0.333,1,0,.167,TUL,0
.250,0,0,F Cabrera,0.25,0,0,.000,SA,0
.314,17,0,J Graterol,0.682,52,1,.368,NWA,0
--,0,0,J Reyes,0.0,0,0,--,FRI,0
.000,0,0,K Thomas,0.0,0,0,.000,SPR,0
.305,19,1,R Rua,0.689,20,0,.384,FRI,0
.000,0,0,Z Petrick,0.0,0,0,.000,SPR,0
.312,37,1,E Williams,0.626,85,3,.314,SA,4
.298,45,4,R Gomez,0.637,87,4,.339,ARK,10
.000,0,0,D Roach,0.0,0,0,.000,SA,0
.400,1,0,B Teschner,0.65,1,0,.250,FRI,0
.241,1,0,A Bemboom,0.395,4,0,.154,ARK,0
.284,14,0,V Albitz,0.603,36,3,.319,SPR,1
--,0,0,I Froneberger,0.0,0,0,--,TUL,0
.368,62,0,E Castro,0.848,115,1,.480,CC,4
.352,57,5,J Goebbert,0.831,106,7,.480,MID,3
.348,74,5,R Noel,0.681,132,5,.333,SA,19
--,0,0,D Kiekhefer,0.0,0,0,--,SPR,0
.290,32,0,T Telis,0.643,92,4,.353,FRI,2
.345,72,2,D Santana,0.842,105,1,.498,CC,5
.315,22,2,R Ortega,0.612,36,0,.297,TUL,4
--,0,0,L Stoppelman,0.0,0,0,--,SPR,0
.333,1,0,J Gardner,1.0,1,0,.667,TUL,0
.279,48,1,K Cowart,0.58,110,3,.301,ARK,5
.371,17,2,M Long,0.859,37,1,.487,ARK,3
--,0,0,K Butler,0.0,0,0,--,SPR,0
.297,53,2,E Hernandez,0.672,103,2,.375,CC,3
.333,30,1,L Adams,0.731,38,0,.397,NWA,0
.305,23,1,J Shepherd,0.596,47,1,.291,TUL,2
.250,1,0,M Andriese,0.5,1,0,.250,SA,0
.500,1,0,N Rickles,1.0,2,0,.500,MID,0
.304,17,3,J Hoying,0.741,37,1,.438,FRI,1
.431,66,2,M O'Neill,0.815,115,2,.384,SPR,4
.388,27,6,T Pham,0.91,49,1,.521,SPR,3
.405,66,2,C Crumbliss,0.837,97,3,.432,MID,4
.111,0,0,J Cornelius,0.222,1,0,.111,SPR,0
.383,27,0,K Sams,0.969,42,1,.586,FRI,0
