SF,SLG,AVG,OBP,H,RBI,G
0,.750,.500,0.714,2,0,3
1,.351,.169,0.244,13,8,27
0,.291,.182,0.25,10,2,19
0,.283,.226,0.349,12,7,21
0,.226,.194,0.279,18,2,32
0,.235,.235,0.316,4,0,5
0,.929,.286,0.375,4,5,5
0,.344,.210,0.275,33,12,50
0,.387,.204,0.314,28,18,46
1,.272,.198,0.25,16,5,24
0,.346,.231,0.286,6,1,9
1,.200,.133,0.172,8,3,31
0,.158,.158,0.2,3,2,7
2,.277,.202,0.306,19,9,29
0,.563,.438,0.5,7,0,5
1,.392,.269,0.373,35,19,35
0,.208,.125,0.222,3,2,9
0,.208,.182,0.308,14,8,44
0,.318,.273,0.347,12,4,16
0,.300,.300,0.391,12,3,17
1,.218,.179,0.235,14,7,27
1,.227,.160,0.21,12,11,26
0,.286,.286,0.375,4,0,5
0,.286,.214,0.329,15,9,24
0,.342,.195,0.33,29,15,47
0,.222,.156,0.208,7,2,19
2,.429,.286,0.353,8,7,9
0,.429,.286,0.5,2,1,3
1,.417,.291,0.372,37,16,37
0,.165,.165,0.228,14,5,28
0,.218,.139,0.237,14,6,41
1,.429,.286,0.36,6,1,7
1,.308,.282,0.293,11,3,17
1,.250,.193,0.317,27,14,39
0,.345,.282,0.307,31,5,31
1,.384,.254,0.399,35,20,42
2,.291,.200,0.28,33,14,49
0,.667,.667,0.833,2,1,2
0,.250,.250,0.25,1,2,1
1,.174,.087,0.267,2,4,12
2,.261,.188,0.293,13,9,23
0,.305,.169,0.246,10,10,16
0,.450,.279,0.392,36,14,44
1,.292,.230,0.298,37,10,43
0,.413,.307,0.373,23,11,22
0,.429,.286,0.4,6,5,6
3,.252,.206,0.262,27,15,36
0,.378,.324,0.405,12,2,12
1,.331,.225,0.297,32,16,49
0,.370,.260,0.308,19,7,24
0,.667,.667,0.667,2,0,1
0,.178,.156,0.387,7,2,28
0,.190,.143,0.26,9,4,24
0,.370,.278,0.304,15,2,20
0,.350,.225,0.326,9,5,19
0,.333,.333,0.333,3,3,3
1,.260,.220,0.31,11,2,18
0,.867,.400,0.4,6,5,6
4,.284,.245,0.319,25,8,30
0,.909,.455,0.5,5,6,4
0,.404,.298,0.411,14,8,16
0,.605,.316,0.395,12,4,13
0,.000,.000,0.0,0,0,1
0,.360,.200,0.31,5,0,8
2,.268,.197,0.252,28,10,40
0,.232,.205,0.264,23,3,36
0,.176,.176,0.222,3,0,5
3,.273,.227,0.333,25,6,34
0,.314,.246,0.331,29,14,40
3,.421,.226,0.33,43,30,57
1,.404,.257,0.369,28,18,35
0,.309,.259,0.322,36,19,41
0,.386,.261,0.343,23,14,28
0,.333,.333,0.333,1,1,1
0,.377,.246,0.352,15,12,25
2,.179,.179,0.306,5,4,9
1,.268,.177,0.218,29,17,45
0,.143,.102,0.154,5,3,16
1,.214,.179,0.195,26,8,42
0,.415,.293,0.408,12,7,12
0,.250,.167,0.231,2,2,5
0,.900,.500,0.583,5,0,3
0,.350,.300,0.3,6,1,5
2,.319,.288,0.395,47,19,50
0,.275,.220,0.283,20,3,29
0,.396,.281,0.33,27,14,29
0,.172,.172,0.274,11,7,27
0,.378,.297,0.418,33,10,38
0,.227,.167,0.257,11,6,21
0,.464,.214,0.29,6,6,8
1,.246,.204,0.272,34,9,43
0,.216,.162,0.225,6,6,10
1,.396,.226,0.382,12,11,23
0,.481,.288,0.327,15,8,23
0,.219,.171,0.248,25,6,46
0,.000,.000,0.0,0,0,2
1,.441,.323,0.387,41,15,38
0,.375,.250,0.455,2,3,3
0,.154,.154,0.29,4,0,8
0,.333,.333,0.385,4,1,8
2,.491,.340,0.345,36,19,31
1,.324,.261,0.31,49,19,51
3,.287,.228,0.337,31,17,42
1,.255,.193,0.253,28,20,38
1,.224,.197,0.253,15,7,27
0,.417,.278,0.366,10,7,10
0,.250,.200,0.289,8,4,17
3,.455,.275,0.337,46,24,44
0,.272,.232,0.329,29,7,43
0,.192,.173,0.306,9,2,19
0,.277,.202,0.286,19,2,38
0,.214,.143,0.333,4,2,9
2,.396,.295,0.336,61,27,53
1,.415,.244,0.347,10,6,12
2,.372,.277,0.364,26,14,31
5,.322,.223,0.316,45,15,58
0,.000,.000,0.125,0,0,2
0,.314,.171,0.293,6,3,25
0,.500,.265,0.371,44,29,48
0,.264,.208,0.313,15,8,23
2,.324,.218,0.28,31,20,40
1,.154,.154,0.209,6,4,17
0,.135,.135,0.179,5,0,16
0,.415,.251,0.305,49,29,55
0,.313,.188,0.316,3,0,9
1,.338,.230,0.285,32,19,36
2,.255,.216,0.261,22,7,30
0,.103,.103,0.188,3,0,10
1,.229,.208,0.291,10,5,26
1,.253,.240,0.376,18,3,34
0,.000,.000,0.263,0,0,5
1,.370,.261,0.341,31,13,35
0,.100,.100,0.182,8,1,29
0,.364,.273,0.324,36,8,41
0,.338,.208,0.274,16,1,30
0,.947,.316,0.316,6,6,5
0,.454,.351,0.462,34,15,30
2,.335,.257,0.311,46,21,51
4,.372,.266,0.292,53,28,54
1,.179,.143,0.265,4,4,15
0,.667,.556,0.6,5,0,3
0,.133,.100,0.182,3,3,11
0,.167,.167,0.286,1,0,2
0,.503,.381,0.443,69,24,47
2,.418,.265,0.302,45,25,44
0,.643,.429,0.429,6,5,4
