Team,OPS,SF,GIDP,SLG,AB,RBI,BB,Player
DSL TWI,0.777,0,3,.398,166,15,10,J Blanco
DSL GSI,0.605,1,3,.244,168,19,34,C Soto
DSL NYY2,0.649,4,3,.301,153,18,20,R Coa
DSL CAR,0.739,1,3,.367,226,20,25,R Reyes
DSL WSX,0.777,1,4,.346,156,18,41,C Sanchez
DSL TIG,0.626,0,2,.313,134,12,5,R Guzman
DSL RGR,0.671,2,3,.282,103,9,20,C Oropeza
DSL AST,0.623,0,2,.323,217,20,16,Y Marte
DSL DIA,0.598,1,2,.263,160,30,26,S Valdez
DSL CUB,0.688,3,3,.348,253,36,24,C Montero
DSL PHI,0.397,1,1,.152,46,2,5,L Mejia
DSL IND,0.707,0,0,.320,25,3,5,A Tejeda
DSL ORI,0.614,1,3,.291,165,24,30,H Gonzalez
DSL FLA,0.759,0,2,.396,111,14,9,P Acosta
DSL DOD,0.763,1,4,.380,208,33,26,J Ramirez
DSL CAR,0.615,1,1,.316,133,19,10,F Baez
DSL MET,0.726,2,1,.350,177,26,29,Y Ruiz
DSL CUB,0.715,1,3,.359,223,35,27,E Santana
DSL PIR,0.564,0,3,.277,220,18,19,R Fortunato
DSL MET,0.412,1,6,.140,136,6,25,K Weijgertse
DSL DOD,0.697,1,1,.328,174,14,28,J Infante
DSL PAD,0.785,2,2,.384,125,18,21,M Del Castillo
DSL PAD,0.698,1,4,.361,180,10,18,A Martinez
DSL MET,0.569,0,2,.275,69,5,5,D Diaz
DSL ROY,0.904,3,9,.476,164,28,26,J Bonifacio
DSL ANG,0.541,0,3,.255,102,15,9,A Suriel
DSL CAR,0.525,1,1,.230,87,7,15,V Ferreira
DSL ATH,0.661,0,0,.300,30,2,4,J Zarraga
DSL PHI,0.638,8,4,.318,245,22,15,C Valenzuela
DSL CUB,0.741,3,3,.345,197,28,41,D Arcila
DSL WSX,0.722,0,6,.345,203,30,33,J Alcala
DSL FLA,0.693,0,6,.340,156,15,23,F Munoz
DSL REDS,0.818,0,1,.422,102,10,18,J Victor
DSL NYY2,0.973,1,1,.533,199,38,35,R Santana
DSL ANG,0.649,1,0,.339,62,5,8,E Salcedo
DSL ROY,0.769,1,0,.400,150,18,20,P Nivar
DSL ATH,0.537,2,1,.247,73,6,11,A Sosa
DSL NYY1,0.99,4,7,.551,245,44,43,Y Calderon
DSL DOD,0.662,6,5,.355,211,34,12,W Rivas
DSL RSX,0.451,0,0,.163,49,4,6,R Kortstam
DSL ATH,0.495,0,0,.165,79,3,18,W Martinez
DSL ROCK,0.399,0,0,.184,87,4,6,E Morrobel
DSL ROCK,0.54,2,4,.245,151,17,17,J Briceno
DSL AST,0.343,0,1,.161,62,2,1,Y Angulo
DSL BRW,0.692,2,1,.335,200,25,29,H Arias
DSL DOD,0.654,0,4,.361,147,18,10,R Lugo
DSL SEA,0.49,0,0,.242,120,13,8,I Brea
DSL BLJ,0.651,0,7,.327,159,13,11,S Javier
DSL CUB2,0.637,2,7,.308,224,19,18,F Cabrera
DSL FLA,0.445,1,1,.195,82,7,8,R Vigil
DSL REDS,1.073,0,2,.587,63,14,7,F Perez
DSL RGR,0.5,0,0,.250,8,2,0,A Frias
DSL AST,0.579,4,3,.313,115,15,4,M Laguna
DSL CAR,0.0,0,0,.000,4,0,0,A Ceballo
DSL TIG,0.527,1,1,.227,198,7,36,S Crafort
DSL FLA,0.443,0,0,.174,23,2,3,C Diaz
DSL NYY1,0.674,4,3,.328,67,14,9,J Valera
DSL TIG,0.486,2,7,.246,240,18,10,A Delgado
DSL BLJ,0.703,3,3,.376,141,17,14,S Nessy
DSL TWI,0.319,1,0,.096,94,6,12,R Pina
DSL ORI,0.441,0,1,.200,130,8,10,P Perez
DSL CAR,0.806,5,3,.397,179,30,29,L Perez
DSL ROCK,0.562,0,3,.285,130,12,6,J Morales
DSL NYY2,0.806,0,4,.414,152,27,22,M Aquino
DSL IND,0.471,2,1,.233,133,7,9,X De Los Santos
DSL ROY,0.47,1,3,.169,77,10,14,M Gomez
DSL AST,0.885,1,2,.461,89,13,13,F Campusano
DSL BLJ,0.404,0,6,.192,130,3,6,A Rojas
DSL TIG,0.625,1,2,.280,75,6,10,R Leiva
DSL TIG,0.567,1,6,.278,194,15,12,F Contreras
DSL DIA,0.76,1,5,.401,237,45,35,W Mateo
DSL CAR,0.567,0,1,.222,90,7,22,D Diaz
DSL AST,0.752,2,1,.407,226,30,21,L De La Rosa
DSL ROCK,0.712,1,3,.345,145,10,11,M De Leon
DSL RSX,0.71,4,6,.344,256,27,41,J Loya
DSL BRW,0.79,1,1,.368,163,18,21,R Ozuna
DSL SEA,0.594,2,0,.247,97,13,22,M Sanchez
DSL ROY,0.643,3,2,.298,151,20,19,P Gonzalez
DSL CUB2,0.482,0,2,.195,154,12,24,J Puente
DSL AST,0.674,2,2,.290,100,5,19,C Alcantara
DSL AST,0.764,1,0,.426,68,12,3,A Sierra
DSL BAL,0.0,0,0,--,0,0,0,W Portes
DSL CUB2,0.45,0,0,.250,96,4,6,R Valdez
DSL PHI,0.597,2,1,.310,84,11,8,E Berroa
DSL ANG,0.583,0,0,.295,95,2,10,L Jolly
DSL BRA,0.498,0,0,.222,27,1,1,E Maldonado
DSL CAR,0.54,1,2,.222,126,10,19,E Celestino
DSL REDS,0.807,0,4,.406,170,24,31,A Baez
DSL ATH,0.886,0,1,.486,37,12,5,M Marte
DSL CUB2,0.336,1,4,.140,100,7,11,J Altagracia
DSL PIR,0.754,2,1,.429,170,40,10,J Vasquez
DSL BLJ,0.72,0,4,.377,130,17,8,J Delgado
DSL PHI,0.678,1,2,.320,147,12,22,R Torres
DSL RGR,0.687,1,1,.311,90,12,14,L Mendez
DSL SEA,0.286,0,0,.000,10,0,3,M Beltre
DSL IND,0.526,1,0,.279,86,4,2,M Boscan
DSL BAL,0.631,4,3,.271,140,19,28,G Lino
DSL DOD,0.517,1,1,.163,49,4,14,R De La Rosa
DSL REDS,0.768,0,3,.358,106,10,19,B Arias
DSL ORI,0.51,0,0,.190,21,0,3,D Cueva
DSL IND,0.437,1,4,.204,54,6,4,G Rojas
DSL CUB,0.675,0,2,.283,127,12,28,H Suarez
DSL TWI,1.009,1,0,.547,64,10,14,M Sano
DSL ROY,0.665,1,1,.309,110,8,18,L Villegas
DSL SEA,0.617,0,1,.283,120,9,23,N Berroa
DSL NYY1,0.767,5,3,.385,270,33,28,D Lopez
DSL CUB2,0.318,0,0,.161,31,2,1,F Perez
DSL FLA,0.448,0,1,.153,72,4,15,J Gomez
DSL CUB2,0.596,0,0,.284,67,0,13,R Disla
DSL CAR,0.469,3,6,.222,185,19,18,J Lopez
DSL NYY1,0.519,0,2,.185,54,2,10,M Guzman
DSL FLA,0.648,1,5,.309,136,15,24,V Castro
DSL DIA,0.481,1,1,.204,103,3,13,F Betemit
DSL BRW,0.509,0,0,.194,31,3,7,D Mejia
DSL CUB,0.661,2,3,.295,176,15,36,K Encarnacion
DSL PAD,0.632,1,2,.315,181,21,26,C Martinez
DSL NAT,0.5,0,3,.212,137,12,14,J Arismendy
DSL PHI,0.642,2,7,.339,227,23,13,D Francisco
DSL REDS,0.65,0,3,.336,107,14,9,W Gomez
DSL BLJ,0.561,1,2,.238,105,5,14,A Blanco
DSL WSX,0.766,2,4,.372,188,22,18,J Puentes
DSL PHI,0.52,1,1,.192,52,3,7,F Dicen
DSL TB,0.678,0,1,.200,15,0,7,W Rosario
DSL RSX,0.561,1,5,.231,182,17,31,D Ruiz
DSL PAD,0.591,1,2,.264,87,5,16,R Bruguera
DSL PAD,0.727,2,8,.395,228,37,27,Y Asencio
DSL IND,0.864,4,2,.461,206,27,36,L Rodriguez
DSL CUB2,0.435,0,0,.217,23,1,0,M Perez
DSL PHI,0.743,5,5,.428,229,37,21,J Castillo
DSL SEA,0.586,1,1,.283,113,13,11,B Sanon
DSL DIA,0.627,1,2,.250,168,24,46,P Ruiz
DSL ROY,0.668,1,1,.318,66,12,13,O Calixte
DSL WSX,0.571,0,5,.260,131,17,10,L Polanco
DSL ROY,0.609,3,1,.291,179,20,22,R Torres
DSL ORI,0.767,0,2,.402,82,6,12,G Parra
DSL RSX,0.777,1,5,.380,142,16,27,J Gutierrez
DSL FLA,0.491,0,5,.214,112,10,16,J Eusebio
DSL WSX,0.596,0,2,.309,139,21,7,D Yepez
DSL PIR,0.361,0,0,.120,25,1,3,A Valdemora
DSL BRW,0.806,0,0,.454,163,28,12,R Puello
DSL BAL,0.531,0,1,.235,149,7,17,C Hanley
DSL IND,0.516,0,1,.215,79,11,8,S Figuereo
DSL TIG,0.637,0,0,.304,56,4,4,O Oses
DSL REDS,0.437,0,2,.183,60,1,6,J Ortuno
DSL RGR,0.642,1,0,.337,86,9,8,R Sierra
DSL BLJ,0.488,0,0,.230,87,3,4,G Quintana
DSL RGR,0.508,0,5,.206,102,9,11,G Edmonds
DSL MTS,0.694,0,1,.385,39,8,1,J Decena
DSL DIA,0.57,0,1,.222,90,7,10,E Delgado
DSL TWI,0.755,1,3,.377,106,11,15,K Ortiz
DSL DIA,0.737,3,1,.327,165,30,36,M Sosa
DSL SEA,0.548,2,3,.244,123,18,20,A Wel
DSL NYY1,0.0,0,0,--,0,0,0,Y Bello
DSL DOD,0.534,0,2,.242,91,8,11,A Nieto
DSL NAT,0.557,3,6,.271,133,15,11,A Ruiz
DSL ORI,0.668,1,2,.317,142,21,16,J Boni
DSL ROY,0.41,1,1,.171,82,9,5,R Bello
DSL REDS,0.595,1,5,.307,202,19,25,R Ramirez
DSL ROCK,0.492,2,1,.188,85,6,11,D Bustamante
DSL NAT,0.57,1,1,.277,148,11,16,W Difo
DSL MET,0.531,2,4,.266,214,24,15,E Barrera
DSL NAT,0.557,1,6,.231,229,18,28,N Ortega
DSL GSI,0.679,1,5,.312,247,24,31,A Robles
DSL BAL,0.598,0,0,.280,75,4,6,J Pimentel
DSL RGR,0.692,0,0,.423,26,3,0,E Ceballo
DSL SEA,0.673,2,3,.305,151,17,34,E Nunez
DSL NYY2,0.633,2,2,.336,122,15,12,F Duran
DSL DIA,0.76,0,1,.385,26,3,4,R Ortiz
DSL NYY1,0.0,0,0,--,0,0,0,W Bravo
DSL DIA,0.857,0,0,.357,28,7,8,J Alegria
DSL IND,0.709,2,1,.363,212,26,30,J Kelly
DSL NAT,0.545,0,2,.295,44,5,4,J Pena
DSL BRA,0.885,0,1,.432,74,11,18,E Salcedo
DSL CUB2,0.64,0,4,.281,160,17,23,J Rodriguez
DSL ATH,0.879,0,0,.545,11,2,1,K Rojas
DSL TIG,0.606,4,2,.296,115,11,9,C De Los Santos
DSL CAR,0.503,1,2,.179,106,7,21,V Encarnacion
DSL TB,0.592,0,1,.198,86,7,24,F Eder
DSL TWI,0.674,0,0,.329,76,6,10,E Ciprian
DSL BRA,0.594,0,2,.292,48,5,2,E Herrera
DSL BRW,0.761,1,1,.318,44,7,14,J De La Cruz
DSL ROY,0.683,2,1,.302,235,26,42,C Garcia
DSL CUB2,0.78,0,1,.375,64,9,8,W Contreras
DSL RGR,0.717,0,1,.376,85,8,9,J Santa
DSL NYY2,0.727,0,0,.340,53,7,8,R Morillo
DSL BLJ,0.651,0,4,.317,145,13,18,G Gonzalez
DSL GSI,0.79,4,1,.386,176,20,25,V Feliz
DSL TIG,0.573,2,5,.290,193,11,19,J Romero
DSL TIG,0.397,0,1,.161,31,2,3,F Felida
DSL MTS,0.424,1,0,.174,69,6,6,A Machillanda
DSL NYY1,0.692,3,3,.365,203,36,30,C Custodio
DSL RGR,0.678,0,2,.338,80,5,11,B Campos
DSL FLA,0.647,2,3,.290,200,14,38,Y Hernandez
DSL TWI,0.592,2,1,.283,60,7,6,J Polanco
DSL BAL,0.685,1,2,.350,183,14,19,J Conde
DSL MET,0.822,5,6,.435,248,45,19,E Pina
DSL NYY1,0.967,3,2,.534,148,23,25,J Alcantara
DSL REDS,0.906,5,2,.471,244,44,35,C Sanchez
DSL MTS,0.467,0,0,.217,175,14,9,V Liriano
DSL DOD,0.575,0,3,.240,179,12,25,G Pena
DSL MTS,0.795,1,2,.387,204,25,43,T De Wolf
DSL AST,0.627,1,2,.344,221,27,12,Y Mejia
DSL CUB2,0.718,1,1,.373,150,15,19,J Casilla
DSL TB,0.695,0,2,.361,249,34,36,J Natera
DSL DOD,0.682,1,6,.307,137,12,17,L Rodriguez
DSL SEA,0.804,3,3,.429,196,36,26,J Zorrilla
DSL ROCK,0.603,3,1,.269,175,25,23,J Basilio
DSL MET,0.587,1,3,.286,112,9,12,M Leal
DSL BRA,0.458,0,3,.175,40,3,3,L Madrid
DSL RSX,0.577,0,1,.237,241,14,46,L Urena
DSL TIG,0.52,0,1,.242,33,4,2,R Figueroa
DSL PHI,0.595,0,2,.285,158,11,24,R Balentien
DSL BAL,0.687,0,4,.343,181,21,25,E Familia
DSL FLA,0.278,0,1,.048,21,0,4,J Jimenez
DSL ANG,0.367,0,0,.167,24,0,0,M Alamanzar
DSL GSI,0.819,0,3,.447,76,16,8,F Pujadas
DSL TWI,0.65,0,0,.250,40,7,8,D Baez
DSL MTS,0.651,3,4,.344,227,22,20,A Caba
DSL DOD,0.583,0,3,.250,236,15,37,D Morales
DSL TB,0.73,3,5,.374,195,28,19,J Medina
DSL BAL,0.328,3,3,.150,40,4,2,N Aguida
DSL REDS,0.461,1,2,.176,102,11,12,Y Suero
DSL WSX,0.502,0,0,.290,31,3,1,J Ramirez
DSL ATH,0.781,1,9,.453,170,23,8,L Baez
DSL NYY2,0.891,4,5,.472,144,28,21,A Castillo
DSL TIG,0.712,0,3,.360,139,10,15,S Ortiz
DSL PAD,0.629,0,1,.246,57,3,15,D Jones
DSL BAL,0.509,1,10,.258,240,20,7,F Bido
DSL BRA,0.745,2,4,.364,206,27,15,G Reyes
DSL MET,0.525,1,3,.251,199,25,19,L Natera
DSL NAT,0.832,0,4,.412,136,24,16,V Chavez
DSL BRA,0.527,0,0,.216,51,1,8,D Castro
DSL NAT,0.691,2,6,.336,146,20,14,P Chacin
DSL BRW,0.665,3,8,.339,186,25,33,J Pena
DSL ORI,0.542,1,2,.239,180,18,22,C Araujo
DSL PIR,0.772,0,1,.414,99,10,8,Y Jaquez
DSL IND,0.623,0,1,.282,39,8,5,A Hernandez
DSL CUB,0.854,1,3,.472,180,26,20,A Lugo
DSL PAD,0.554,3,2,.275,211,24,19,G Quintana
DSL NAT,0.557,1,1,.286,196,15,8,N Mesa
DSL BAL,0.636,0,3,.305,200,13,33,D Dominguez
DSL BRA,0.339,0,2,.156,45,3,4,L Ramirez
DSL FLA,0.556,0,0,.205,44,5,9,F Garcia
DSL BRW,0.583,2,5,.315,200,17,6,J Garcia
DSL PAD,0.668,2,2,.343,70,10,7,R Valenzuela
DSL RSX,0.691,5,3,.346,263,38,38,D Guerrero
DSL BRA,0.611,1,3,.303,142,19,18,C Franco
DSL MTS,0.662,1,5,.328,235,21,16,S Batista
DSL TB,0.526,2,3,.290,93,14,5,C Guillen
DSL WSX,0.419,0,0,.159,44,1,5,M Garcia
DSL NYY2,0.84,1,3,.476,248,30,12,R Polo
DSL MET,0.421,0,2,.191,68,3,4,L Cessa
DSL PIR,0.734,0,1,.337,98,5,27,R Pena
DSL BRA,0.663,0,2,.318,192,11,23,H Garcia
DSL ATH,0.0,0,0,--,0,0,0,V Trinidad
DSL IND,0.476,0,1,.222,54,3,4,J Marte
DSL DIA,0.683,0,1,.235,51,3,20,K Javier
DSL FLA,0.412,0,3,.193,88,3,8,J Astacio
DSL ATH,0.675,3,7,.326,172,16,31,L Osorio
DSL REDS,0.718,1,6,.348,161,16,22,R Galindez
DSL REDS,0.541,0,2,.269,104,7,9,J Reynoso
DSL BRW,0.508,2,2,.222,99,14,9,J Abreu
DSL PIR,0.766,3,2,.384,237,24,26,J Carvajal
DSL AST,0.497,1,1,.226,62,4,4,R Perez
DSL NYY2,1.0,0,0,.500,2,0,0,B Acenor
DSL BRW,0.71,1,1,.364,110,13,16,C Pena
DSL AST,0.587,1,4,.287,129,16,8,F Polanco
DSL TWI,0.443,1,2,.168,95,3,15,J Hinojosa
DSL ORI,0.446,1,2,.157,134,5,23,M Hernandez
DSL RGR,0.664,0,5,.366,161,25,8,E Abreu
DSL GSI,0.72,3,3,.380,200,33,25,L Fuentes
DSL TIG,0.517,0,5,.239,197,12,11,C Lara
DSL TIG,0.491,0,1,.216,88,3,6,A Navia
DSL BLJ,0.295,0,2,.092,65,1,6,M De La Cruz
DSL BLJ,0.475,0,3,.220,41,2,1,K Santiago
DSL PHI,0.735,4,4,.393,168,19,17,Y Morales
DSL NYY1,0.597,3,2,.292,72,8,5,J Palomo
DSL GSI,0.598,1,1,.264,87,5,10,J Cedeno
DSL TB,0.25,0,0,.000,6,0,1,R De Castro
DSL TB,0.5,0,0,.000,1,0,1,J Cabrera
DSL CUB2,0.725,1,3,.369,179,19,17,B Inoa
DSL GSI,0.733,3,3,.375,128,26,16,L Vasquez
DSL ANG,0.627,1,3,.302,159,17,11,I Dionicio
