OBP,H,RBI,SB,CS,AVG,2B
0.381,7,3,0,0,0.212,0
0.329,34,9,4,2,0.266,4
0.3,20,8,0,0,0.208,7
0.323,12,3,3,3,0.222,2
0.338,30,19,9,2,0.233,5
0.341,48,18,6,3,0.241,5
0.258,22,8,1,1,0.188,10
0.345,55,28,6,3,0.291,11
0.326,28,16,1,0,0.23,9
0.291,42,18,7,9,0.202,7
0.255,15,7,8,2,0.122,2
0.382,46,22,12,3,0.235,16
0.5,4,2,0,1,0.364,0
0.346,51,25,1,3,0.254,13
0.364,33,17,2,5,0.26,9
0.316,43,25,2,2,0.25,11
0.371,28,11,1,1,0.298,10
0.378,50,18,18,5,0.254,8
0.273,2,1,2,1,0.059,0
0.292,22,10,3,2,0.196,8
0.222,1,1,0,0,0.071,0
0.346,35,28,2,2,0.227,7
0.359,57,25,8,8,0.258,14
0.316,2,1,1,0,0.143,0
0.313,30,8,1,0,0.199,7
0.279,19,8,4,2,0.171,4
0.298,22,12,1,3,0.182,3
0.31,52,30,16,9,0.232,9
0.304,20,5,0,2,0.204,2
0.307,44,11,6,7,0.22,7
0.289,14,9,0,0,0.171,2
0.285,36,18,2,1,0.216,3
0.28,14,4,1,0,0.192,3
0.357,34,11,6,4,0.236,4
0.338,42,11,1,1,0.286,4
0.214,8,3,0,0,0.195,1
0.323,21,12,6,2,0.25,5
0.31,57,16,13,5,0.225,5
0.271,19,12,2,1,0.161,2
0.25,1,2,1,0,0.167,0
0.289,55,22,4,4,0.25,11
0.407,3,0,3,0,0.158,1
0.333,60,39,9,2,0.256,11
0.333,15,9,3,1,0.2,1
0.418,84,28,19,6,0.336,15
0.349,7,3,1,2,0.2,1
0.348,38,25,6,3,0.273,13
0.352,49,13,13,6,0.246,7
0.2,1,0,0,0,0.2,0
0.25,0,0,0,1,0.0,0
0.413,54,18,9,8,0.329,7
0.314,29,10,0,1,0.259,4
0.429,45,29,16,5,0.288,9
0.284,40,18,12,4,0.204,2
0.278,62,28,18,14,0.235,10
0.378,51,28,18,3,0.313,15
0.396,72,27,14,8,0.301,14
0.286,39,16,7,5,0.214,9
0.312,34,25,4,7,0.198,4
0.31,3,2,1,0,0.136,0
0.299,62,16,19,12,0.255,7
0.232,7,4,3,2,0.117,1
0.304,21,7,6,2,0.228,3
0.318,24,4,8,2,0.247,1
0.365,23,3,11,7,0.261,3
0.352,52,28,19,8,0.259,11
0.311,35,11,9,12,0.235,1
0.167,1,1,0,0,0.167,0
0.342,53,26,12,4,0.239,13
0.254,32,17,6,4,0.19,2
0.264,25,9,3,1,0.221,2
0.278,42,14,1,0,0.208,10
0.43,66,25,41,10,0.317,7
0.314,20,1,2,5,0.194,3
0.333,23,13,4,3,0.19,4
0.293,42,17,1,4,0.246,12
0.29,21,7,12,5,0.154,4
0.307,26,6,2,4,0.248,9
0.372,48,27,2,2,0.244,6
0.289,22,5,0,2,0.179,4
0.243,8,4,1,2,0.222,1
0.248,23,18,3,2,0.162,6
0.373,67,20,12,5,0.302,12
0.346,33,21,7,2,0.289,5
0.416,72,29,21,18,0.338,12
0.213,21,7,3,1,0.148,4
0.375,29,17,9,7,0.248,7
0.37,48,15,12,8,0.298,9
0.365,12,3,0,1,0.231,2
0.369,22,18,7,1,0.2,1
0.369,51,21,6,1,0.249,8
0.263,19,7,3,3,0.145,5
0.263,12,5,1,3,0.171,5
0.342,14,3,5,1,0.226,1
0.386,36,9,2,4,0.313,3
0.364,20,2,2,3,0.29,2
0.333,2,0,1,0,0.167,0
0.322,49,25,2,5,0.245,6
0.377,15,7,2,0,0.268,1
0.303,17,10,1,1,0.218,0
0.281,10,5,3,1,0.135,1
0.279,12,6,1,2,0.138,3
0.319,39,19,0,3,0.234,6
0.331,62,22,7,4,0.249,9
0.384,46,22,10,3,0.274,3
0.394,44,16,14,11,0.291,4
0.24,43,23,0,0,0.194,3
0.261,47,24,4,4,0.2,10
0.172,2,0,1,0,0.077,0
0.311,23,3,5,3,0.202,1
0.214,28,14,3,6,0.157,6
0.216,30,7,18,7,0.123,7
0.352,57,17,11,8,0.297,5
0.302,24,20,3,3,0.19,5
0.378,5,4,3,4,0.179,1
0.317,8,3,1,2,0.163,1
0.365,14,4,1,2,0.298,2
0.5,4,2,1,0,0.4,0
0.294,27,21,2,3,0.188,8
0.307,19,5,1,4,0.238,1
0.215,10,2,3,6,0.167,1
0.23,22,8,1,1,0.19,5
0.359,66,23,7,6,0.264,10
0.248,19,10,4,3,0.156,4
0.428,44,17,8,3,0.299,3
