GIDP,BB,AVG,HR,OPS
0,1,0.222,0,0.493
2,6,0.168,0,0.428
7,13,0.194,1,0.469
4,20,0.327,3,0.898
8,21,0.247,1,0.716
2,7,0.198,0,0.509
3,36,0.249,1,0.671
1,8,0.159,0,0.493
4,14,0.19,0,0.456
1,9,0.208,2,0.741
1,2,0.167,0,0.399
3,10,0.196,0,0.533
1,9,0.117,0,0.399
7,19,0.302,1,0.752
2,11,0.242,0,0.609
0,3,0.213,0,0.565
0,0,0.0,0,0.0
2,12,0.227,0,0.559
0,5,0.167,0,0.465
0,0,0.0,0,0.0
6,2,0.223,0,0.502
1,4,0.143,0,0.459
1,9,0.137,0,0.437
4,17,0.232,2,0.652
1,22,0.252,0,0.65
3,13,0.317,0,0.807
7,39,0.28,8,0.855
1,5,0.269,2,0.693
0,6,0.152,0,0.512
2,19,0.269,2,0.796
2,5,0.224,1,0.613
3,13,0.2,0,0.563
2,12,0.232,2,0.668
2,31,0.336,1,0.906
2,9,0.097,0,0.346
0,10,0.099,0,0.351
0,3,0.125,0,0.375
2,2,0.238,0,0.733
8,14,0.225,2,0.677
3,9,0.212,1,0.56
3,12,0.284,1,0.75
6,27,0.249,2,0.656
1,17,0.185,2,0.527
0,4,0.188,0,0.646
4,33,0.212,5,0.661
5,11,0.266,0,0.671
1,23,0.227,6,0.736
