Points,IGP,Shots,FirstA/60,GP,A,Team,iFenwick,G,#
50,31.4,201,0.60,139,28,Buffalo,257,22,80
9,2.0,79,0.07,123,8,San Jose,102,1,527
31,28.2,252,0.50,199,20,Calgary,351,11,301
23,38.7,196,0.27,165,11,Dallas,287,12,274
48,41.5,249,0.23,187,21,Edmonton,338,27,102
42,7.8,311,0.24,207,30,Boston,431,12,382
96,31.1,319,0.71,198,55,Boston,409,41,30
34,5.0,221,0.28,196,27,Philadelphia,351,7,444
95,26.2,271,1.09,189,62,Dallas,367,33,109
58,23.3,266,0.60,181,38,Colorado,341,20,257
39,5.6,151,0.26,182,32,Buffalo,228,7,427
20,2.8,121,0.12,189,17,San Jose,168,3,509
110,36.2,354,0.95,195,63,Edmonton,474,47,22
116,25.2,353,1.13,207,79,Philadelphia,478,37,103
47,27.9,193,0.58,131,30,Washington,264,17,167
15,5.0,111,0.03,148,12,Vancouver,166,3,480
33,4.8,155,0.23,189,28,Minnesota,244,5,470
37,4.0,186,0.37,186,33,Ottawa,261,4,489
52,25.7,263,0.74,151,34,Detroit,357,18,158
36,8.8,178,0.26,194,26,Columbus,241,10,390
77,30.2,314,0.74,189,45,St. Louis,414,32,112
40,4.8,254,0.19,183,34,NY Islanders,378,6,456
21,3.8,112,0.13,156,18,Minnesota,178,3,491
18,18.2,120,0.27,168,12,Los Angeles,151,6,334
40,9.7,250,0.24,208,29,Columbus,376,11,391
71,27.6,341,0.50,198,39,Minnesota,477,32,178
60,25.0,398,0.53,209,38,Washington,507,22,241
83,30.1,362,0.53,196,42,Philadelphia,487,41,43
57,10.7,379,0.37,208,41,Nashville,556,16,345
20,11.8,51,0.38,91,14,Nashville,71,6,330
28,17.0,175,0.44,147,20,New Jersey,231,8,326
31,9.1,123,0.36,157,24,New Jersey,187,7,404
70,30.8,271,0.61,203,42,Los Angeles,410,28,164
138,30.0,404,0.86,207,84,Tampa Bay,551,54,36
58,21.7,227,0.57,204,38,Buffalo,330,20,278
26,4.7,198,0.21,169,21,Arizona,284,5,462
63,16.2,311,0.37,191,42,San Jose,452,21,300
18,12.3,127,0.14,138,11,Los Angeles,186,7,351
46,36.1,240,0.43,192,24,Tampa Bay,322,22,208
80,33.3,395,0.74,188,44,Buffalo,497,36,59
52,23.5,257,0.50,150,33,Florida,322,19,232
92,40.5,442,0.61,191,43,Columbus,567,49,17
89,31.9,378,0.69,203,46,Toronto,543,43,53
18,11.5,115,0.21,122,12,Florida,155,6,367
94,17.8,255,0.92,210,70,San Jose,341,24,266
35,28.3,160,0.48,172,20,Montreal,216,15,265
107,35.0,570,0.74,204,58,Washington,807,49,46
33,28.0,150,0.54,123,19,Philadelphia,189,14,185
34,3.2,131,0.22,212,30,Los Angeles,200,4,501
16,8.1,96,0.10,104,11,Carolina,139,5,400
61,29.0,214,0.43,173,34,Florida,291,27,168
37,22.7,269,0.36,198,22,Carolina,382,15,305
29,30.2,223,0.34,196,16,NY Islanders,314,13,296
70,26.0,380,0.56,181,45,NY Rangers,510,25,212
49,38.6,161,0.75,136,27,Nashville,207,22,35
30,0.8,158,0.29,185,29,Winnipeg,241,1,531
37,40.0,167,0.37,158,17,Colorado,211,20,119
18,2.0,115,0.16,138,17,Los Angeles,176,1,529
45,12.2,206,0.27,178,31,Arizona,302,14,327
6,6.1,71,0.09,89,4,Minnesota,103,2,481
42,7.6,208,0.22,190,32,Boston,316,10,372
15,3.3,123,0.04,182,12,Colorado,191,3,508
72,30.0,362,0.44,190,42,Calgary,464,30,126
38,32.7,314,0.45,205,21,Boston,410,17,238
54,11.0,206,0.30,184,37,NY Islanders,296,17,322
41,25.9,231,0.53,156,26,San Jose,304,15,271
44,25.0,197,0.24,206,27,Boston,273,17,280
56,25.9,246,0.71,112,35,NY Rangers,309,21,98
41,32.8,263,0.38,178,20,Philadelphia,352,21,222
82,27.2,297,0.86,211,51,Vancouver,397,31,129
35,7.9,164,0.35,170,26,NY Rangers,240,9,374
22,26.5,152,0.42,139,13,Buffalo,202,9,291
29,30.4,142,0.42,109,15,Philadelphia,192,14,169
14,4.7,69,0.09,90,12,NY Rangers,103,2,472
39,12.1,264,0.14,169,27,Winnipeg,391,12,346
80,35.8,404,0.56,190,42,Arizona,531,38,49
30,2.1,120,0.21,182,27,Pittsburgh,188,3,511
18,1.8,73,0.20,127,17,Tampa Bay,139,1,528
43,24.2,230,0.57,135,27,Philadelphia,315,16,224
42,15.6,205,0.17,189,23,St. Louis,274,19,314
39,7.2,235,0.20,180,29,Detroit,356,10,373
48,24.1,229,0.37,194,29,Winnipeg,332,19,268
31,8.6,178,0.19,152,21,Detroit,256,10,348
56,50.7,475,0.18,210,19,New Jersey,612,37,73
72,22.5,287,0.69,196,49,NY Islanders,397,23,236
51,23.0,178,0.82,118,34,Boston,257,17,163
73,33.0,298,0.46,211,38,St. Louis,449,35,110
85,33.6,424,0.36,212,41,San Jose,568,44,65
94,36.5,567,0.67,195,48,Winnipeg,756,46,33
53,21.1,273,0.75,172,37,Washington,359,16,283
36,4.5,91,0.35,146,31,Chicago,142,5,438
20,4.4,116,0.25,162,17,Minnesota,169,3,496
44,4.4,204,0.20,208,38,NY Rangers,315,6,474
61,27.8,203,0.64,185,36,Winnipeg,284,25,176
59,10.8,285,0.32,211,43,Washington,397,16,333
39,5.9,125,0.35,164,33,Montreal,181,6,420
39,28.1,245,0.31,177,23,Columbus,321,16,277
111,27.0,440,0.93,210,71,Carolina,619,40,113
25,37.8,133,0.29,181,11,Minnesota,180,14,218
17,3.6,82,0.36,104,15,NY Islanders,114,2,487
27,1.8,93,0.24,166,25,Montreal,152,2,522
99,34.8,458,0.65,199,50,Pittsburgh,614,49,18
12,6.3,81,0.11,121,8,Tampa Bay,119,4,422
61,29.8,251,0.59,202,36,Montreal,369,25,179
24,13.3,159,0.21,115,14,Washington,230,10,324
50,7.6,250,0.25,180,39,Vancouver,382,11,366
48,19.2,220,0.65,186,34,St. Louis,312,14,312
13,11.8,102,0.12,96,7,Edmonton,147,6,344
22,7.4,67,0.41,87,17,Toronto,116,5,371
64,36.3,307,0.49,177,31,Calgary,413,33,85
35,33.3,149,0.31,140,16,Buffalo,202,19,120
28,4.0,111,0.24,204,24,Edmonton,186,4,497
39,5.0,169,0.25,184,32,Pittsburgh,241,7,431
44,23.1,166,0.62,188,29,Chicago,230,15,289
56,35.7,359,0.49,161,26,Montreal,500,30,79
65,22.9,206,0.44,201,38,Toronto,283,27,229
89,38.9,392,0.45,210,40,Dallas,534,49,21
25,20.0,129,0.52,124,17,Tampa Bay,176,8,307
45,25.4,267,0.38,185,28,New Jersey,368,17,273
44,7.5,228,0.23,205,34,Dallas,355,10,396
36,25.5,148,0.41,172,23,Columbus,203,13,240
38,19.4,231,0.43,183,25,Arizona,299,13,309
80,28.9,284,0.39,200,45,Toronto,428,35,88
72,24.0,321,0.57,209,49,Columbus,392,23,251
13,8.7,52,0.14,89,9,Ottawa,72,4,394
