AVG,Team,SB,H,AB,G,R,3B,Player,POS
.294,BRE,17,30,102,30,11,1,J Davis,OF
.322,RAN,12,48,149,41,36,0,I Kiner-Falefa,2B
.236,ANG,3,43,182,50,21,2,T Johnson,1B
.258,ROY,4,23,89,30,12,0,C Cano,OF
.271,ANG,4,52,192,51,23,2,N Delgado,OF
.297,IND,3,51,172,44,32,5,C Frazier,CF
.262,ANG,3,11,42,23,7,0,P Pizarro,C
.272,DOD,4,31,114,36,17,0,J Cordero,1B
.167,CUB,0,1,6,2,0,0,K Bryant,3B
.238,DIA,1,25,105,28,12,3,Y Rosario,OF
.260,RED,1,45,173,45,17,0,K Franklin,3B
.310,MAR,2,31,100,28,12,3,T O'Neill,OF
.159,DIA,2,14,88,31,9,1,D Smith,OF
.307,GIA,13,31,101,34,22,1,C Paulino,OF
.178,DOD,3,16,90,31,13,4,R Torres,OF
.360,GIA,0,9,25,7,6,0,R Tuntland,3B
.000,PAD,0,0,5,2,1,0,E Minaya,RF
.260,BRE,6,33,127,37,16,1,E Williams,OF
.360,MAR,2,9,25,7,4,0,E Mejia,SS
.227,RED,0,17,75,23,10,1,A Guzman,1B
.333,IND,0,5,15,5,4,0,F Lora,RF
.000,RAN,0,0,4,1,0,0,R Duran,3B
.209,RED,8,34,163,41,11,0,A Chavez,1B
.000,DOD,0,0,4,1,0,0,D Papantonopoulos,C
.257,PAD,1,49,191,49,32,5,J Urena,OF
.224,PAD,0,24,107,33,10,2,J Ruiz,C
.284,MAR,5,42,148,42,23,4,C Scammell,1B
.154,GIA,0,2,13,4,0,0,R Melendez,C
.175,BRE,0,7,40,16,4,0,J Andrade,C
.167,RED,0,4,24,9,2,0,C Tromp,C
.288,ANG,13,45,156,48,28,3,Q Davis,LF
.125,MAR,2,4,32,15,5,3,R Michel,OF
.250,ATH,2,16,64,22,12,1,S Masik,OF
.241,RAN,4,39,162,42,14,4,T McDonald,OF
.244,ROY,6,19,78,25,15,1,L Davis,SS
.333,RED,1,6,18,5,4,1,R Bueno,SS
.315,RAN,0,17,54,14,5,0,E Pinto,RF
.225,GIA,0,27,120,32,18,0,J Jones,1B
.278,PAD,10,44,158,44,33,2,J VanMeter,SS
.286,BRE,21,46,161,45,37,5,B Diaz,OF
.409,ANG,6,27,66,20,19,2,M Fish,OF
.714,CUB,1,5,7,2,2,0,L Valbuena,3B
.167,DIA,4,26,156,43,16,0,D McFarland,OF
.299,DOD,3,23,77,22,11,0,J Henderson,LF
.286,PAD,0,2,7,2,3,0,E Charles,2B
.270,PAD,2,17,63,24,9,1,C Martinez,3B
.000,ATH,0,0,3,1,0,0,J Whitaker,RF
.292,DIA,3,45,154,40,31,8,J Westbrook,SS
.486,IND,2,18,37,10,9,2,L Washington,CF
.133,ATH,0,4,30,11,2,0,I Akau,C
.077,CUB,0,1,13,5,1,0,J Vitters,3B
.266,RED,3,50,188,48,34,1,C Thompson,SS
.087,PAD,0,2,23,7,2,0,R Bruguera,3B
.160,RED,0,4,25,9,5,0,J Jocketty,DH
.285,RAN,5,41,144,39,31,3,T Demeritte,SS
.297,GIA,0,11,37,14,5,0,D Stiner,C
.281,RAN,9,55,196,53,29,5,L Mendez,2B
.196,DIA,6,11,56,18,10,1,M Vinson,OF
.154,CUB,0,2,13,4,3,0,C Penalver,SS
.462,RAN,2,6,13,4,3,0,G Miclat,SS
.208,CUB,2,31,149,41,20,5,F Sanchez,SS
.316,ROY,0,25,79,21,9,0,X Fernandez,C
.214,ATH,0,6,28,11,4,1,R Healy,1B
.306,GIA,0,30,98,34,12,2,F Pujadas,C
.214,RAN,0,21,98,32,11,0,C Garay,C
.333,PAD,0,7,21,6,4,0,G Quintana,3B
.349,MAR,6,29,83,22,15,1,K Petty,C
.165,ANG,0,15,91,34,11,0,C Patterson,C
.294,IND,1,15,51,22,8,0,J De La Cruz,C
.317,DOD,1,19,60,18,10,0,T Pederson,2B
.231,IND,0,3,13,4,1,0,A Monsalve,C
.243,DOD,3,25,103,32,25,1,J Harris,CF
.182,DOD,2,2,11,3,2,0,T Gwynn Jr.,LF
.305,IND,3,32,105,30,16,1,F Mejia,C
.226,DOD,0,7,31,9,4,0,C O'Brien,C
.164,ROY,4,9,55,27,10,0,M Holloway,OF
.209,PAD,3,27,129,37,13,2,M Smith,OF
.269,ROY,4,35,130,38,21,1,A Patino,2B
.265,CUB,0,13,49,16,6,0,E Castillo,C
.182,GIA,0,2,11,3,2,0,T Ross,C
.333,ROY,1,6,18,6,2,0,T Ferguson,OF
.205,RED,1,8,39,10,5,0,A Aldazoro,DH
.198,DIA,0,16,81,29,18,3,R Mejias,3B
.308,GIA,0,8,26,6,5,1,F Peguero,LF
.244,BRE,2,31,127,40,22,1,D Denson,1B
.286,GIA,1,8,28,7,9,1,K Tomlinson,SS
.247,DOD,0,20,81,26,12,1,J Leon,C
.262,ANG,5,16,61,16,10,1,A Allbritton,SS
.000,ATH,0,0,8,3,0,0,F Contreras,2B
.250,ROY,0,1,4,1,2,0,A Estades,CF
.000,DOD,0,0,1,1,0,0,J Linares,C
.385,MAR,1,10,26,8,7,0,L Kauppila,SS
.250,DOD,1,5,20,8,3,1,S Henderson,RF
.192,RAN,3,14,73,26,9,0,O Caraballo,OF
.278,ANG,0,32,115,35,10,0,G Beltran,OF
.258,MAR,2,47,182,47,19,2,E Morales,OF
.212,ROY,3,25,118,36,10,2,R King,OF
