SH,BB,OPS,R,CS,RBI,Team,Player,HR,3B
1,24,0.531,15,1,7,DSL TWI,A Tovar,0,0
0,2,0.399,9,6,2,DSL DIA,F Tineo,0,0
0,14,0.538,16,3,12,DSL MET,L Montero,0,2
4,31,0.757,30,4,31,DSL SEA,A Jimenez,5,1
10,28,0.734,38,3,42,DSL PIR,E Figueroa,2,8
1,31,0.854,53,10,48,DSL TIG,F Contreras,5,5
0,1,0.417,1,0,2,DSL FLA,C Ynoa,0,0
2,20,0.587,20,4,9,DSL GSI,R Rodriguez,0,1
1,5,0.56,13,0,7,DSL ROCK,W Jimenez,0,0
1,17,0.587,23,5,23,DSL DIA,I Pena,1,2
5,10,0.611,19,2,17,DSL WSX,R Valdez,1,0
1,8,0.476,13,1,6,DSL SEA,M Almonte,0,1
0,38,0.867,44,10,26,DSL NYY1,F Frias,4,3
1,1,0.411,1,0,1,DSL BRA,A Maradiaga,0,0
0,0,0.0,0,0,0,DSL RSX,R Oliveras,0,0
3,11,0.6,17,4,25,DSL MET,J Carrion,2,1
0,5,0.731,16,3,21,DSL DIA,L Veras,1,2
2,20,0.898,25,3,31,DSL DOD,I Isabel,3,5
1,8,0.493,9,1,2,DSL ORI,C Larez,0,1
1,10,0.849,26,4,22,DSL TB,A Moreno,4,3
3,25,0.646,30,2,36,DSL PIR,J Herrera,2,2
4,25,0.376,29,7,7,DSL WSX,J Cruz,0,1
0,24,0.714,22,2,38,DSL PAD,J Lantigua,1,2
0,8,0.816,2,3,4,DSL DIA,G Martinez,0,0
5,30,0.667,25,5,25,DSL ROY,A Castellano,0,1
0,28,0.816,41,6,56,DSL CUB,S Ubiera,4,3
1,20,0.871,37,5,48,DSL TIG,M Joseph,3,2
1,9,0.346,6,2,3,DSL NYY2,J De la Rosa,0,0
0,7,0.509,17,3,8,DSL DIA,J Ordaz,0,1
2,12,0.584,5,1,3,DSL FLA,J Heredia,0,0
0,5,0.693,18,2,28,DSL TWI,F Mateo,2,2
0,8,0.675,10,0,8,DSL BRA,J Cortes,3,0
1,13,0.539,15,1,15,DSL TWI,R Silva,0,0
0,27,0.717,20,4,16,DSL DIA,G Jimenez,1,1
2,20,0.507,13,2,5,DSL FLA,P Made,0,1
1,25,0.74,28,2,27,DSL NYY2,B Reyes,5,0
0,22,0.694,12,6,17,DSL ANG,L Espinoza,1,0
1,16,0.608,8,1,28,DSL BRA,A Flores,1,0
8,16,0.545,23,4,18,DSL AST,J Reynoso,1,3
0,22,0.635,31,9,30,DSL BRW,Y Santana,2,3
0,8,0.642,10,2,6,DSL FLA,G Moscat,0,0
3,24,0.797,41,9,33,DSL REDS,H Vargas,0,1
3,56,0.826,43,3,35,DSL TIG,Y Pena,3,2
0,0,0.333,1,0,0,DSL BRW,C Belonis,0,0
0,33,0.69,33,1,39,DSL NYY1,P Urena,6,0
0,1,0.434,0,0,3,DSL FLA,S Corcino,0,0
0,2,0.249,1,0,0,DSL TWI,L Gonzalez,0,0
1,19,0.543,15,0,5,DSL BRW,J De Leon,0,0
3,13,0.743,13,4,9,DSL ORI,F Betemit,0,1
0,17,0.565,22,8,27,DSL TB,M Hernandez,2,1
1,6,0.447,4,0,2,DSL CUB,B Flete,0,0
0,3,0.5,1,0,0,DSL MET,W Rasquin,0,0
2,37,0.786,38,7,27,DSL RGR,J Martinez,1,4
3,8,0.579,14,2,13,DSL ROCK,J Piron,0,4
0,18,0.608,13,1,13,DSL CAR,S Ripoll,1,0
1,24,0.617,21,5,17,DSL IND,F Miguel,5,1
3,23,0.631,19,12,11,DSL FLA,J Richards,0,1
2,15,0.661,9,0,5,DSL RGR,D Cedeno,0,0
3,26,0.581,32,4,19,DSL BRW,Y Martinez,0,1
2,9,0.362,9,0,2,DSL PIR,E Rangel,0,0
1,23,0.729,19,4,10,DSL GSI,M Guzman,1,1
2,3,0.458,2,0,1,DSL NAT,P Mendoza,0,0
0,12,0.924,23,3,29,DSL CAR,B Franco,3,3
5,25,0.88,41,18,29,DSL PHI,O Marte,1,6
1,10,0.516,8,3,9,DSL ANG,G Santana,0,0
1,30,0.707,29,8,25,DSL MTS,A Maracaro,0,3
