RBI,AVG,G,H,SF,OBP,SLG,SH,Team
5,.265,8,9,0,.286,.471,0,NOR
23,.215,48,39,5,.250,.309,0,NOR
4,.292,8,7,1,.419,.583,1,LHV
26,.224,64,47,1,.302,.400,0,CHA
44,.285,108,109,2,.360,.385,7,BUF
11,.166,58,29,0,.255,.251,4,BUF
12,.222,24,16,0,.282,.333,0,CHA
23,.248,61,51,3,.285,.354,1,COL
0,.000,1,0,0,.000,.000,0,SYR
34,.256,70,69,1,.301,.396,0,NOR
1,.192,7,5,0,.250,.192,0,COL
53,.288,116,113,8,.381,.426,9,CHA
31,.215,65,43,3,.339,.365,1,ROC
9,.302,25,29,2,.330,.385,2,IND
25,.266,92,85,1,.353,.367,7,COL
16,.233,63,49,4,.307,.281,1,SYR
16,.202,40,25,3,.244,.315,0,TOL
3,.267,7,4,0,.313,.333,1,SYR
0,.000,4,0,0,.071,.000,0,PAW
5,.187,28,17,1,.219,.231,1,LOU
34,.309,104,121,2,.375,.402,5,LHV
14,.194,66,44,2,.302,.251,1,CHA
5,.241,18,13,1,.311,.278,1,PAW
1,.190,7,4,0,.261,.190,0,TOL
9,.172,20,11,1,.239,.297,0,ROC
68,.295,104,119,4,.352,.485,0,LHV
