G,oppAVG,PA,oppOPS,TEAM,SLG,AB,GS,VORP,IP
42,0.249,200,0.718,BOS,0.293,188,0,7.7,51.3
32,0.255,131,0.735,PHI,0.327,107,0,4.1,27.3
30,0.25,461,0.72,NYA,0.455,415,17,6.1,107.3
18,0.252,457,0.711,HOU,0.48,408,18,4.1,104.3
45,0.257,163,0.715,ARI,0.463,136,0,1.4,37.3
11,0.259,50,0.734,SDN,0.364,44,0,0.2,11.7
18,0.25,134,0.699,CHA,0.586,128,1,-6.7,30.0
42,0.254,306,0.716,CHA,0.348,256,4,3.4,70.3
11,0.284,26,0.786,LAN,0.136,22,0,0.8,6.7
33,0.259,944,0.747,TBA,0.383,869,33,19.2,227.7
33,0.256,858,0.722,CIN,0.39,777,33,21.2,209.3
8,0.257,156,0.739,TBA,0.312,141,8,6.1,38.0
13,0.255,73,0.718,KCA,0.4,60,0,0.4,13.3
70,0.251,303,0.706,MIL,0.447,275,0,1.6,68.3
17,0.259,119,0.713,CHN,0.547,106,1,-3.9,24.3
76,0.256,344,0.729,KCA,0.342,316,0,15.4,84.3
5,0.253,66,0.73,BAL,0.482,56,2,-0.2,15.3
1,0.244,22,0.663,SDN,0.526,19,1,-0.0,5.0
31,0.254,791,0.718,OAK,0.424,745,31,21.4,190.0
31,0.25,788,0.705,SFN,0.379,707,31,17.7,189.7
23,0.259,416,0.729,DET,0.423,376,18,14.5,99.3
9,0.254,102,0.736,TOR,0.562,89,2,-3.1,21.3
11,0.238,51,0.677,WAS,0.564,39,0,-0.1,9.3
1,0.293,3,0.844,OAK,0.333,3,0,0.1,0.7
4,0.228,45,0.658,SFN,0.548,42,1,1.0,9.7
3,0.24,14,0.687,ANA,0.3,10,0,-1.0,2.3
19,0.258,456,0.74,MIN,0.584,421,19,-14.5,98.7
1,0.265,24,0.773,BOS,0.273,22,0,2.8,5.7
11,0.26,268,0.743,MIN,0.508,256,11,-0.4,63.0
23,0.258,81,0.74,BOS,0.279,68,0,3.6,20.0
22,0.26,84,0.731,SLN,0.397,73,0,-0.6,19.3
44,0.257,177,0.71,SFN,0.331,163,0,3.9,43.7
31,0.25,759,0.72,TBA,0.38,663,31,24.3,177.3
65,0.26,301,0.729,CHA,0.351,262,0,7.1,71.7
33,0.259,196,0.728,SDN,0.366,172,5,3.4,46.3
32,0.258,882,0.727,CHA,0.387,816,32,24.7,219.0
29,0.263,97,0.743,SLN,0.323,93,0,2.9,26.3
18,0.258,434,0.735,BAL,0.389,391,15,10.7,105.3
33,0.258,939,0.739,SEA,0.333,867,33,35.8,232.0
29,0.254,730,0.72,TEX,0.446,666,27,-1.0,175.3
45,0.251,216,0.702,NYN,0.395,185,0,-5.9,47.3
13,0.257,93,0.738,DET,0.41,83,0,0.7,22.3
4,0.254,85,0.707,CHN,0.526,76,4,0.2,18.7
12,0.257,253,0.724,CHA,0.405,215,11,3.9,56.7
14,0.26,50,0.741,CHN,0.3,40,0,1.8,12.0
31,0.253,142,0.707,ATL,0.273,128,0,6.5,36.0
2,0.269,34,0.776,BOS,1.03,33,2,-3.0,5.7
50,0.26,226,0.73,DET,0.296,189,0,9.8,54.7
65,0.256,224,0.737,PHI,0.358,193,0,7.4,52.0
3,0.267,21,0.784,TBA,0.813,16,0,-0.4,3.3
72,0.259,278,0.737,ARI,0.282,252,0,16.5,68.3
67,0.256,280,0.719,SDN,0.369,241,0,-2.7,66.7
32,0.26,112,0.727,CHA,0.426,101,0,-4.9,26.7
43,0.253,162,0.713,PIT,0.407,135,0,2.4,35.7
30,0.255,747,0.729,ANA,0.463,691,30,13.6,176.7
48,0.256,237,0.725,CIN,0.327,208,0,9.3,57.3
3,0.251,20,0.728,ANA,0.579,19,0,-2.0,3.7
6,0.257,54,0.726,SLN,0.204,49,1,4.3,13.7
15,0.261,347,0.736,MIN,0.392,286,15,-5.4,79.0
12,0.258,285,0.729,MIA,0.418,251,12,1.2,63.0
10,0.241,36,0.713,TOR,0.7,30,0,-2.3,8.0
17,0.257,375,0.74,MIN,0.438,349,16,4.9,87.7
75,0.259,289,0.736,OAK,0.253,257,0,6.3,74.7
37,0.252,325,0.724,BOS,0.378,286,9,7.8,76.3
6,0.258,138,0.731,PHI,0.488,127,6,-0.2,33.0
1,0.255,4,0.73,PHI,0.5,4,0,0.7,0.7
40,0.249,180,0.703,ARI,0.38,163,0,3.1,43.3
1,0.261,6,0.783,BOS,1.5,4,0,-0.6,1.0
25,0.258,87,0.733,CIN,0.361,83,0,5.2,22.3
14,0.256,72,0.735,MIL,0.385,65,0,2.2,16.7
18,0.258,198,0.733,KCA,0.405,173,6,3.2,44.0
41,0.256,161,0.731,MIA,0.407,150,0,-4.0,39.0
5,0.254,49,0.726,ANA,0.467,45,0,1.2,10.3
1,0.258,6,0.728,ARI,0.5,4,0,-0.1,1.0
3,0.252,72,0.725,SLN,0.424,66,3,1.5,17.0
73,0.257,272,0.738,SFN,0.363,245,0,-2.5,63.3
2,0.242,24,0.717,ATL,0.217,23,1,1.2,6.3
22,0.258,106,0.725,PHI,0.398,88,1,-1.8,25.0
31,0.259,807,0.746,TOR,0.473,744,31,-11.5,187.3
64,0.263,244,0.751,PIT,0.35,217,0,13.2,58.7
9,0.255,202,0.726,ARI,0.54,187,9,-1.3,45.3
76,0.255,257,0.721,ATL,0.396,225,0,-2.3,61.0
7,0.269,183,0.741,LAN,0.395,167,7,2.7,43.0
8,0.255,202,0.716,LAN,0.299,177,8,1.9,48.7
6,0.26,34,0.751,PHI,0.839,31,0,-5.0,6.3
6,0.256,33,0.721,TOR,0.75,28,0,0.0,6.3
64,0.257,230,0.737,ATL,0.302,205,0,3.5,57.3
12,0.255,57,0.712,PIT,0.388,49,0,0.5,12.0
18,0.252,69,0.696,KCA,0.292,65,0,2.1,17.3
28,0.247,123,0.703,CIN,0.264,106,0,4.5,30.7
5,0.25,116,0.719,CHN,0.548,104,5,-5.5,24.3
11,0.252,48,0.703,SDN,0.395,43,0,1.2,10.3
20,0.258,395,0.727,CLE,0.471,348,17,-5.6,90.7
10,0.261,245,0.732,NYN,0.338,210,10,11.3,59.3
5,0.258,130,0.706,SDN,0.333,120,5,3.0,31.0
1,0.242,4,0.653,CHA,0.333,3,0,3.3,1.0
54,0.251,224,0.719,BAL,0.335,209,0,9.4,55.7
6,0.258,47,0.736,BAL,0.488,41,0,-0.1,10.3
30,0.259,709,0.737,KCA,0.411,632,25,7.1,166.0
14,0.265,366,0.755,KCA,0.36,339,14,8.4,91.0
23,0.244,459,0.681,COL,0.48,396,20,-0.0,98.0
12,0.248,57,0.709,SFN,0.491,53,0,2.1,12.3
11,0.257,227,0.721,ATL,0.544,206,10,-3.5,48.3
59,0.254,194,0.72,NYA,0.358,173,0,6.6,46.0
35,0.258,134,0.729,HOU,0.439,123,0,-0.6,30.7
37,0.253,674,0.716,PHI,0.416,606,25,10.2,159.3
51,0.256,168,0.734,KCA,0.379,145,0,4.6,38.7
6,0.259,137,0.716,OAK,0.295,129,6,5.5,35.0
8,0.26,99,0.723,NYN,0.663,86,4,-0.9,21.3
34,0.255,107,0.726,NYN,0.398,93,0,-1.7,25.7
31,0.26,832,0.727,MIA,0.423,751,31,14.7,191.0
14,0.255,145,0.724,BAL,0.376,125,2,-1.9,32.3
10,0.25,158,0.714,WAS,0.586,133,5,-5.3,32.3
21,0.251,560,0.706,PHI,0.458,530,20,10.0,133.3
4,0.24,32,0.687,SLN,0.633,30,0,-0.4,6.3
10,0.256,170,0.749,TOR,0.385,148,6,13.2,40.3
7,0.258,160,0.737,MIN,0.629,140,7,-6.8,34.0
48,0.256,197,0.722,LAN,0.431,174,0,-1.3,47.7
31,0.25,798,0.703,MIA,0.363,713,31,18.9,191.3
33,0.253,414,0.717,NYA,0.377,363,11,7.5,99.7
22,0.26,97,0.722,COL,0.517,87,0,-0.7,22.3
1,0.247,22,0.704,HOU,0.421,19,1,-0.4,6.0
32,0.256,815,0.728,NYA,0.46,758,32,19.5,191.3
1,0.26,5,0.804,TOR,1.0,4,0,-1.5,1.0
68,0.269,286,0.759,LAN,0.278,252,0,2.9,71.0
66,0.248,262,0.706,TBA,0.395,243,0,3.7,62.3
34,0.259,827,0.735,KCA,0.486,764,34,19.3,191.7
34,0.246,927,0.695,NYN,0.362,848,33,30.6,233.7
14,0.25,69,0.716,SFN,0.429,63,0,-2.0,15.3
58,0.253,277,0.708,NYN,0.357,235,0,4.6,63.7
26,0.266,68,0.757,SDN,0.197,61,0,3.3,16.7
28,0.259,689,0.739,SEA,0.397,620,28,6.7,161.0
4,0.269,16,0.751,PIT,0.357,14,0,0.9,2.7
67,0.256,279,0.73,SLN,0.331,257,0,6.5,72.0
72,0.257,278,0.723,CLE,0.305,249,0,3.8,67.0
3,0.27,61,0.774,DET,0.585,53,3,-2.5,12.3
30,0.255,148,0.721,OAK,0.353,136,0,4.7,35.3
1,0.25,7,0.687,HOU,0.857,7,0,-1.5,1.0
26,0.257,173,0.742,BOS,0.391,151,0,-2.6,42.0
55,0.256,141,0.714,SDN,0.342,120,0,4.7,31.7
72,0.254,295,0.727,KCA,0.38,255,0,10.0,69.7
17,0.251,463,0.708,NYN,0.386,422,17,13.6,109.7
5,0.248,120,0.713,HOU,0.561,98,5,-7.4,24.0
30,0.257,143,0.718,HOU,0.484,126,0,2.3,29.7
8,0.258,33,0.732,NYA,0.448,29,0,0.0,7.3
24,0.252,557,0.703,PIT,0.418,491,24,9.1,125.7
30,0.254,728,0.721,ATL,0.407,651,30,3.9,179.3
36,0.256,269,0.717,CIN,0.398,236,0,10.0,61.0
25,0.256,628,0.721,HOU,0.44,570,25,5.7,141.3
16,0.268,60,0.754,ARI,0.698,53,0,-3.0,12.0
20,0.256,102,0.726,NYN,0.444,81,0,0.6,21.3
32,0.245,822,0.698,WAS,0.299,725,32,37.0,199.3
5,0.272,115,0.756,LAN,0.347,98,5,3.7,26.7
3,0.26,85,0.711,NYN,0.35,80,3,6.6,19.7
6,0.251,26,0.733,ARI,1.087,23,0,-3.1,2.7
12,0.257,67,0.738,CHN,0.339,56,0,-0.9,14.7
1,0.278,11,0.763,TOR,0.0,9,0,-0.5,3.0
44,0.258,191,0.73,OAK,0.341,176,0,13.5,47.3
18,0.267,83,0.748,HOU,0.279,68,0,3.8,19.3
12,0.256,148,0.726,KCA,0.427,131,2,0.8,34.7
13,0.251,233,0.702,SDN,0.505,204,9,1.5,48.7
73,0.26,256,0.736,CIN,0.308,237,0,14.1,61.0
13,0.249,88,0.707,CHN,0.471,70,0,-3.3,16.0
22,0.255,95,0.73,NYA,0.477,86,0,3.5,20.7
3,0.252,79,0.714,HOU,0.597,72,3,-3.6,17.7
54,0.247,284,0.712,TBA,0.299,254,0,15.2,70.3
37,0.261,154,0.736,HOU,0.362,141,0,5.6,36.0
32,0.251,831,0.708,SLN,0.392,758,32,28.4,198.7
63,0.254,254,0.72,PIT,0.341,214,0,5.3,59.7
65,0.259,252,0.729,LAN,0.274,226,0,12.2,65.0
31,0.249,761,0.697,ATL,0.464,675,31,1.4,174.7
12,0.248,27,0.754,ANA,0.304,23,0,0.9,6.0
52,0.262,253,0.739,HOU,0.489,219,0,-2.6,55.0
3,0.264,7,0.714,CHA,0.667,6,0,-0.8,2.0
17,0.265,147,0.745,CLE,0.364,132,2,3.2,34.3
8,0.262,177,0.738,SDN,0.468,158,8,2.0,40.3
13,0.247,37,0.702,NYN,0.258,31,0,0.1,10.0
66,0.259,307,0.717,LAN,0.326,267,0,0.6,67.7
65,0.253,270,0.718,MIA,0.393,244,0,7.9,60.3
9,0.255,69,0.717,MIL,0.483,58,0,-0.8,14.0
18,0.257,109,0.738,SEA,0.333,96,0,6.5,25.0
4,0.265,24,0.719,NYA,0.524,21,0,-0.7,4.7
7,0.243,31,0.663,CHN,0.704,27,0,-1.5,6.0
7,0.245,165,0.697,MIL,0.412,148,7,8.0,39.0
45,0.251,306,0.714,WAS,0.398,269,1,5.1,72.0
5,0.247,20,0.72,PIT,0.125,16,0,0.8,5.0
25,0.26,99,0.742,CHN,0.321,78,0,1.2,21.7
26,0.261,116,0.726,OAK,0.515,103,0,-1.2,25.0
60,0.263,208,0.746,MIA,0.428,173,0,4.2,44.0
