G,Player,R,SLG,SH,RBI,SB,H,SO
135,N Castellanos,65,.436,1,76,3,158,130
45,M Brownstein,20,.372,2,20,8,41,25
105,M Walker,54,.455,3,72,7,101,120
22,K Holloway,7,.333,0,6,0,18,23
28,J Arias,5,.163,6,5,1,13,20
60,M McGee,44,.426,2,29,5,67,40
52,R Cuneo,25,.379,0,28,1,52,36
12,S Cilladi,1,.296,2,2,0,5,5
123,C Bisson,61,.325,6,43,21,109,106
55,J Campos,23,.241,5,9,0,34,38
87,M Gibbs,32,.317,0,28,1,75,69
55,M Browning,21,.307,2,19,4,44,29
53,G Hall,23,.404,5,16,4,46,46
116,E Inciarte,73,.333,12,25,26,118,59
65,C Stang,30,.387,4,14,12,64,50
60,A Martinez,21,.265,6,24,8,46,53
118,J Marisnick,68,.496,0,77,37,148,91
25,M O'Neill,15,.438,2,10,1,27,13
31,D Iden,14,.253,0,10,1,20,20
64,J Rogers,29,.429,2,37,6,66,48
83,D Harris,44,.361,1,35,12,64,95
14,B Miller,9,.528,0,7,1,22,9
68,V Sanchez,28,.342,0,28,4,58,39
38,J Hicks,21,.446,0,26,2,43,17
65,C Jacobs,31,.521,0,33,0,62,62
30,A Fields,9,.304,0,11,0,22,23
104,J Duran,48,.463,0,71,1,97,152
32,R Grichuk,12,.402,0,13,0,28,29
127,M Helm,58,.379,0,60,16,118,134
69,R Castillo,21,.357,0,32,5,44,58
122,C Moncrief,73,.422,3,53,20,108,158
127,D Vidal,85,.498,2,85,3,127,111
98,R Rodriguez,41,.449,4,42,10,91,83
130,M Wiswall,49,.340,2,57,4,122,104
29,B Fuenmayor,10,.362,0,11,0,27,19
17,M Bourgeois,3,.306,0,0,1,11,8
97,Z Walters,69,.485,3,56,12,109,96
26,R Gale,9,.333,1,13,0,24,23
42,J Blash,13,.347,0,13,5,27,43
7,P Mooney,3,.600,0,1,0,9,5
79,Y Rodriguez,38,.393,2,40,20,71,84
100,J Bosnik,31,.363,1,42,2,78,79
40,J Paciorek,17,.361,0,14,0,37,35
37,J Hawkins,23,.306,2,10,10,28,32
47,K Wong,39,.510,0,25,9,65,24
16,R Enos,5,.278,0,8,2,11,5
104,D Santana,55,.373,10,41,24,90,98
6,C Adamson,0,.222,0,1,0,3,7
120,C Grider,66,.345,8,25,31,96,105
32,Y Rivera,6,.262,4,5,0,20,34
91,D D'Anna,47,.422,0,58,2,92,62
92,J Almanzar,34,.295,4,37,2,72,61
53,G Klein,24,.410,0,33,1,55,57
35,J Bergman,24,.356,0,18,2,34,16
127,D Dietrich,73,.502,0,81,5,133,128
78,W Hatton,27,.311,0,37,4,56,79
85,N Akins,43,.394,0,45,0,66,77
27,B Stone,7,.301,0,10,0,16,24
13,K Smith,4,.242,0,2,0,6,9
7,S Caseres,2,.269,0,2,0,6,4
27,M Littlewood,7,.211,0,6,0,15,23
132,L Ray,76,.432,2,74,10,119,132
108,T Thompson,46,.408,0,59,3,103,57
67,J Aparicio,18,.260,1,14,1,39,78
80,J Morban,44,.382,6,28,10,77,99
71,T Streich,31,.304,4,16,0,46,42
66,J Cedeno,30,.394,0,31,4,65,67
66,J Matthews,26,.364,1,21,7,47,60
113,N Leyja,72,.349,2,35,28,99,118
91,B Fletcher,54,.560,0,60,4,112,80
31,C Ramirez,20,.370,1,12,1,28,17
121,M Knecht,77,.474,0,86,4,120,124
75,D McCallum,21,.258,2,23,2,42,65
13,F Cruz,2,.227,1,0,0,10,8
56,G Pierre,25,.262,1,18,6,35,52
69,H Guevara,24,.372,0,29,2,58,37
33,K Knudson,12,.278,2,17,0,26,33
12,J Agudelo,4,.220,1,2,2,8,11
120,K Kiermaier,54,.338,9,39,27,97,99
3,K Young,1,.100,0,0,0,1,0
20,K Conley,8,.426,0,7,0,15,23
24,F Parejo,11,.320,0,10,2,12,31
20,K Broxton,8,.282,0,1,6,18,30
30,T Cannon,18,.613,0,17,2,34,20
43,B Klafczynski,8,.283,2,13,0,37,36
125,A Giansanti,53,.372,3,56,8,103,80
6,J Pozo,1,.235,2,2,0,4,7
7,S Irvine,3,.176,0,1,1,3,4
6,E Williams,5,.300,0,1,3,6,3
40,P Polk,15,.169,1,5,2,21,28
6,M Parker,0,.235,0,1,0,3,5
3,C Noble,0,.167,0,0,0,1,2
48,T Pechek,11,.219,1,10,0,24,41
35,M Watts,8,.289,0,13,0,24,46
45,R Garvey,14,.248,0,9,5,27,38
59,A Bryant,25,.380,4,25,0,51,51
125,L Landry,59,.360,8,41,28,125,67
26,J Smit,17,.489,0,11,1,31,24
114,G Hopkins,54,.333,6,53,16,95,88
96,T Morris,44,.356,0,42,21,85,87
