OBP,OPS,RBI,HR,AB,Team,SF,CS,Player Name,BB
0.237,0.429,2,1,52,BOS,0,0,"Craig, Allen",5
0.295,0.602,11,0,114,PHI,0,1,"Brown, Domonic",8
0.355,0.737,43,10,317,CLE,3,1,"Santana, Carlos",64
0.295,0.579,14,1,222,MIA,2,5,"Suzuki, Ichiro",17
0.303,0.663,24,6,272,CHC,0,3,"Russell, Addison",26
0.304,0.622,13,4,157,ATL,2,1,"Gomes, Jonny",22
0.311,0.718,45,12,327,TEX,4,1,"Choo, Shin-Soo",33
0.286,0.726,6,1,25,PIT,0,0,"Ishikawa, Travis",3
0.4,0.9,5,1,48,TB,1,0,"Jaso, John",6
0.355,0.83,41,10,318,SF,2,2,"Belt, Brandon",36
0.31,0.707,38,8,345,OAK,1,1,"Lawrie, Brett",15
0.406,0.92,58,15,368,TEX,3,0,"Fielder, Prince",37
0.278,0.528,1,0,16,ARI,0,0,"Hernandez, Oscar",2
0.306,0.817,7,3,45,SEA,1,0,"Gutierrez, Franklin",3
0.257,0.532,25,4,218,PHI,6,0,"Utley, Chase",21
0.325,0.761,24,4,218,DET,1,0,"McCann, James",11
0.203,0.348,4,0,55,TB,0,0,"Wilson, Bobby",4
0.266,0.507,3,2,54,NYM,0,0,"Recker, Anthony",9
0.329,0.703,13,1,131,CHC,1,1,"Denorfia, Chris",7
0.345,0.774,23,10,280,CHC,0,1,"Coghlan, Chris",37
0.353,0.831,52,12,318,COL,3,0,"Tulowitzki, Troy",24
0.25,0.52,5,0,89,COL,0,0,"Ynoa, Rafael",3
0.259,0.633,15,4,99,MIL,2,1,"Herrera, Elian",7
0.239,0.52,8,1,64,MIN,0,0,"Herrmann, Chris",6
0.194,0.368,4,0,69,SEA,0,1,"Bloomquist, Willie",2
0.239,0.55,24,9,280,SEA,2,1,"Zunino, Mike",18
0.271,0.615,27,6,244,BAL,2,0,"Hardy, J.J.",12
0.42,0.94,48,18,346,CIN,1,2,"Votto, Joey",68
0.328,0.724,35,6,283,NYM,1,2,"Murphy, Daniel",22
0.337,0.729,32,10,217,CHC,2,0,"Montero, Miguel",33
0.389,0.722,0,0,15,LAD,0,0,"Barnes, Austin",2
0.288,0.663,8,3,72,MIA,0,0,"Baker, Jeff",8
0.393,0.893,3,1,24,ATL,0,0,"Lavarnway, Ryan",4
0.25,0.479,4,0,96,BAL,2,0,"Cabrera, Everth",5
0.306,0.601,4,0,78,KC,0,1,"Colon, Christian",7
0.301,0.644,7,3,102,TEX,0,4,"Rosales, Adam",10
0.306,0.5,3,0,31,TOR,0,0,"Saunders, Michael",5
0.31,0.783,27,11,222,NYY,0,1,"Young, Chris",15
0.306,0.696,30,7,200,BAL,1,0,"Joseph, Caleb",19
0.111,0.222,0,0,9,SF,0,0,"Parker, Jarrett",0
0.444,1.027,6,1,24,CLE,0,0,"Sands, Jerry",3
0.296,0.652,23,5,295,SEA,1,8,"Jackson, Austin",17
0.462,1.065,74,21,345,ARI,5,4,"Goldschmidt, Paul",79
0.28,0.669,29,4,211,MIN,3,3,"Escobar, Eduardo",9
0.36,0.711,6,0,74,WAS,2,2,"Rendon, Anthony",9
0.335,0.744,20,2,159,ARI,0,1,"Lamb, Jake",13
0.37,0.773,39,4,347,COL,0,3,"LeMahieu, DJ",31
0.143,0.295,4,0,46,MIA,2,0,"Mathis, Jeff",1
0.227,0.545,9,3,110,NYM,0,0,"Mayberry, John",9
0.365,0.865,58,16,316,MIL,2,0,"Lind, Adam",40
0.291,0.65,6,2,78,SD,0,2,"Upton Jr., Melvin",8
0.315,0.772,55,14,357,MIN,2,0,"Plouffe, Trevor",31
0.246,0.543,13,2,128,LAA,1,0,"Perez, Carlos",5
0.297,0.678,43,16,299,HOU,4,1,"Carter, Chris",45
0.295,0.725,22,7,214,HOU,0,2,"Gonzalez, Marwin",8
0.246,0.598,9,2,54,PIT,1,0,"Hart, Corey",1
0.339,0.792,65,12,358,KC,2,0,"Morales, Kendrys",27
0.21,0.499,24,5,239,TB,2,0,"Rivera, Rene",9
0.319,0.663,4,1,61,ARI,1,0,"Saltalamacchia, Jarrod",9
0.302,0.76,34,13,253,HOU,2,1,"Rasmus, Colby",25
0.339,0.766,40,14,347,NYM,2,1,"Duda, Lucas",43
0.333,0.754,3,0,19,NYY,0,0,"Ryan, Brendan",1
0.25,0.393,0,0,7,DET,0,0,"Machado, Dixon",1
0.277,0.696,17,4,148,KC,0,1,"Orlando, Paulo",5
0.284,0.644,7,2,89,MIL,0,0,"Rogers, Jason",5
0.327,0.75,22,6,194,LAD,1,2,"Puig, Yasiel",20
0.267,0.635,21,5,228,HOU,3,4,"Marisnick, Jake",10
0.354,0.738,8,3,112,CIN,1,1,"Barnhart, Tucker",14
0.32,0.666,34,2,358,LAA,4,4,"Aybar, Erick",20
0.232,0.535,4,1,66,NYY,1,0,"Pirela, Jose",2
0.241,0.586,19,4,177,CLE,2,1,"Chisenhall, Lonnie",7
0.217,0.62,4,3,67,TEX,0,0,"Rua, Ryan",2
0.232,0.381,2,0,74,STL,0,0,"Kozma, Pete",7
0.229,0.502,5,0,77,ATL,0,0,"Young Jr., Eric",6
0.331,0.902,67,27,380,CIN,4,4,"Frazier, Todd",28
0.356,0.837,15,5,104,ARI,0,0,"Castillo, Welington",12
0.264,0.628,10,0,88,ATL,2,1,"Ciriaco, Pedro",0
0.273,0.673,2,0,10,OAK,0,0,"Ladendorf, Tyler",1
0.298,0.682,15,4,138,PHI,2,0,"Ruf, Darin",8
0.455,1.0,1,0,11,BAL,0,0,"Clevenger, Steve",0
0.371,0.795,4,1,33,NYM,0,0,"Wright, David",2
0.173,0.24,0,0,45,OAK,0,0,"Crisp, Coco",7
0.333,0.666,8,2,66,ARI,2,0,"Pacheco, Jordan",9
0.362,0.73,15,3,209,NYY,2,6,"Ellsbury, Jacoby",21
0.368,0.884,41,12,258,ATL,1,1,"Freeman, Freddie",27
0.313,0.697,22,4,305,PIT,2,4,"Harrison, Josh",11
0.316,0.704,28,8,286,SEA,3,1,"Miller, Brad",33
0.277,0.591,12,4,159,MIA,0,0,"Morse, Mike",12
0.261,0.783,3,1,23,CIN,0,0,"Dominguez, Chris",0
0.453,1.12,11,3,48,CHC,0,1,"Schwarber, Kyle",5
0.283,0.654,39,8,275,WAS,1,3,"Taylor, Michael",17
0.308,0.726,21,4,225,MIN,1,5,"Rosario, Eddie",8
0.32,0.774,39,10,284,BAL,2,2,"Paredes, Jimmy",14
0.169,0.312,1,0,56,CIN,0,0,"Boesch, Brennan",3
0.303,0.58,18,3,148,NYM,2,2,"Campbell, Eric",25
0.365,0.822,29,13,276,HOU,2,3,"Springer, George",42
0.31,0.772,8,2,39,HOU,0,1,"Santana, Domingo",2
0.348,0.774,34,9,303,BOS,3,1,"Pedroia, Dustin",28
0.163,0.242,2,0,38,OAK,1,0,"Gentry, Craig",3
0.31,0.609,3,0,77,ATL,0,0,"Perez, Eury",6
0.319,0.679,36,3,333,LAA,6,1,"Giavotella, Johnny",27
0.286,0.737,9,5,82,COL,0,1,"Stubbs, Drew",8
0.277,0.61,12,1,147,BOS,0,2,"Swihart, Blake",8
0.333,0.758,33,9,339,STL,2,2,"Heyward, Jason",26
0.315,0.805,7,2,51,DET,0,0,"Collins, Tyler",3
0.368,0.793,30,5,332,WAS,2,2,"Escobar, Yunel",19
0.312,0.613,16,2,206,PHI,1,1,"Ruiz, Carlos",24
0.37,0.868,66,21,321,TOR,6,2,"Bautista, Jose",69
0.309,0.648,17,3,177,TB,2,4,"Loney, James",15
0.275,0.519,2,0,45,CIN,0,0,"Mesoraco, Devin",5
0.287,0.596,6,1,81,LAD,1,0,"Uribe, Juan",5
0.294,0.691,33,15,290,TB,0,5,"Souza, Steven",34
0.28,0.585,17,2,190,NYM,3,0,"Plawecki, Kevin",10
0.317,0.767,9,3,100,COL,0,0,"Morneau, Justin",3
0.311,0.685,22,4,174,BAL,2,0,"Flaherty, Ryan",16
0.345,0.78,21,6,207,TB,0,2,"Butler, Joey",13
0.333,0.741,43,10,355,TB,5,1,"Longoria, Evan",35
0.365,0.889,51,21,370,BAL,3,4,"Machado, Manny",42
0.394,0.851,39,11,258,KC,3,4,"Gordon, Alex",39
0.304,0.654,27,4,320,MIL,1,3,"Segura, Jean",9
0.28,0.593,14,1,192,OAK,1,2,"Fuld, Sam",20
0.335,0.722,13,4,155,MIN,2,3,"Hicks, Aaron",15
0.357,0.711,23,1,237,PHI,1,4,"Hernandez, Cesar",29
0.322,0.826,23,6,135,OAK,1,0,"Phegley, Josh",8
0.288,0.584,6,0,98,PHI,0,0,"Sizemore, Grady",6
0.337,0.858,27,8,163,HOU,2,1,"Correa, Carlos",12
0.263,0.527,12,3,144,MIL,1,1,"Maldonado, Martin",15
0.333,0.825,19,3,120,BOS,1,1,"De Aza, Alejandro",6
0.301,0.731,47,14,284,PIT,3,0,"Alvarez, Pedro",27
0.322,0.806,60,22,343,BAL,5,0,"Davis, Chris",41
0.315,0.698,45,9,345,OAK,4,0,"Butler, Billy",29
0.224,0.443,3,0,64,STL,0,0,"Cruz, Tony",3
0.355,0.829,22,4,133,CLE,1,0,"Raburn, Ryan",16
0.143,0.286,0,0,7,BOS,0,0,"Marrero, Deven",0
0.32,0.671,20,3,202,BAL,0,0,"Snider, Travis",22
0.432,0.999,10,4,60,HOU,0,0,"Lowrie, Jed",12
0.294,0.611,13,0,126,MIN,1,1,"Robinson, Shane",8
0.326,0.78,58,15,280,NYY,5,0,"McCann, Brian",28
0.315,0.76,11,2,119,MIN,1,3,"Nunez, Eduardo",7
0.0,0.0,0,0,7,PIT,0,0,"Ramirez, Aramis",0
0.353,0.545,0,0,26,LAD,0,0,"Heisey, Chris",8
0.243,0.543,20,0,247,MIN,0,4,"Santana, Danny",5
0.219,0.419,3,0,30,ARI,0,0,"Dorn, Danny",2
0.323,0.906,74,25,360,COL,5,3,"Arenado, Nolan",18
0.358,0.803,56,13,326,CHC,4,3,"Bryant, Kris",51
0.312,0.703,35,9,258,STL,2,1,"Reynolds, Mark",30
0.356,0.821,58,14,310,OAK,7,1,"Vogt, Stephen",41
0.27,0.549,3,1,68,NYM,0,1,"Ceciliani, Darrell",4
0.383,0.768,19,2,262,SF,0,5,"Aoki, Norichika",23
0.301,0.638,26,4,297,MIA,2,1,"Ozuna, Marcell",21
0.313,0.593,10,1,118,ARI,2,0,"Pennington, Cliff",14
0.327,0.747,39,9,350,PIT,2,0,"Walker, Neil",24
0.435,0.864,3,0,21,DET,0,0,"Wilson, Josh",0
0.13,0.225,0,0,21,MIL,0,0,"Centeno, Juan",2
0.456,1.034,54,15,277,DET,1,1,"Cabrera, Miguel",53
0.306,0.726,31,7,262,NYY,2,0,"Beltran, Carlos",18
0.289,0.609,24,4,194,ARI,3,1,"Hill, Aaron",20
0.583,1.25,3,0,9,NYM,0,0,"Conforto, Michael",2
0.241,0.602,29,9,255,SD,4,1,"Middlebrooks, Will",11
0.303,0.683,30,8,292,NYM,0,0,"Cuddyer, Michael",20
0.299,0.595,4,0,71,ATL,0,1,"Cunningham, Todd",4
0.353,0.753,2,0,30,MIA,1,0,"Rojas, Miguel",3
0.259,0.606,5,2,49,WAS,0,0,"den Dekker, Matt",5
0.331,0.727,40,7,371,LAD,1,2,"Kendrick, Howie",25
0.321,0.701,16,2,274,DET,0,6,"Gose, Anthony",19
0.3,0.522,1,0,9,CLE,0,0,"Aguilar, Jesus",0
0.288,0.57,21,0,262,OAK,1,1,"Sogard, Eric",14
0.333,0.691,8,0,106,PIT,1,0,"Stewart, Chris",5
0.125,0.25,0,0,8,WAS,0,0,"Difo, Wilmer",0
0.304,0.742,54,16,338,MIN,3,3,"Hunter, Torii",24
0.285,0.609,9,4,185,CLE,1,0,"Aviles, Mike",13
0.293,0.589,14,1,108,WAS,0,1,"Uggla, Dan",15
0.243,0.493,1,0,68,MIL,0,0,"Sardinas, Luis",2
0.341,0.63,4,0,38,PIT,0,1,"Tabata, Jose",2
0.272,0.589,11,2,101,TOR,4,0,"Navarro, Dioner",9
0.25,0.75,0,0,8,NYY,0,0,"Figueroa, Cole",0
0.293,0.545,8,1,107,ATL,2,0,"Callaspo, Alberto",14
0.264,0.601,6,2,83,TOR,0,0,"Pompey, Dalton",6
0.208,0.435,1,0,22,LAA,0,1,"Nieuwenhuis, Kirk",2
0.321,0.772,34,9,182,ATL,1,1,"Johnson, Kelly",13
0.237,0.599,3,1,58,LAD,0,0,"Crawford, Carl",1
0.192,0.384,2,0,26,CIN,0,0,"Bourgeois, Jason",0
