Team,RBI,2B,Player,AB,SLG,SF,OBP
TIJ,23,4,P O'Sullivan,97,.619,1,.459
TIJ,6,4,J Martinez,119,.303,0,.396
SLT,17,6,J Aceves,159,.453,0,.328
MVA,1,0,J Aguilar,18,.222,0,.222
LAR,17,8,S Guerrero,257,.296,0,.345
LAR,14,2,J Romo,168,.292,2,.332
SLT,30,8,F Arias,211,.318,4,.300
MIN,22,12,D Urias,228,.320,1,.309
OAX,14,6,Y Angulo,115,.391,1,.318
OAX,41,13,H Leal,231,.446,0,.349
VAQ,32,7,H Castaneda,227,.348,1,.393
VRA,26,13,P Mere,218,.362,1,.347
PUE,14,10,J Arredondo,241,.320,1,.371
VRA,5,2,R Soriano,98,.255,0,.364
LAR,12,10,R Gonzalez,226,.319,3,.304
MXO,23,11,R Lopez,146,.473,2,.379
MIN,5,14,R Rios,178,.421,0,.367
MVA,37,19,J Salazar,280,.354,1,.341
QR,29,10,E Guzman,234,.427,0,.413
VAQ,21,5,L Garcia,115,.461,0,.390
MTY,97,33,M Lopez,390,.579,10,.403
VAQ,1,0,R Ramirez,14,.286,0,.286
TAB,31,17,M Santana,378,.368,2,.339
PUE,7,2,E Ortiz,146,.308,0,.260
CHI,15,6,L Bustillos,104,.365,2,.292
SLT,19,11,H Salas,181,.315,3,.295
CAM,15,5,J Esqueda,141,.333,1,.283
MIN,2,2,E Reyes,65,.231,0,.297
TAB,8,2,M Eylward,50,.340,0,.309
VAQ,6,2,E Martinez,71,.254,2,.250
TIJ,1,1,J Laurean,17,.235,0,.222
MIN,29,13,E Arano,387,.372,1,.348
MTY,6,2,S Langaigne,55,.236,1,.262
OAX,4,1,N Becerra,122,.164,0,.248
MXO,46,14,A Cazana,188,.617,1,.493
MIN,61,23,W Otanez,400,.413,6,.368
YUC,33,15,S Palafox,309,.395,3,.377
MIN,2,0,F Ledezma,18,.222,0,.364
VAQ,21,12,J Castaneda,269,.342,1,.344
VAQ,0,1,M Nieves,19,.158,0,.227
TAB,24,10,R Taylor,119,.588,2,.432
SLT,62,22,R Cervantes,271,.609,4,.370
VAQ,19,9,R Castaneda,121,.397,1,.386
MVA,14,4,N Ahumada,146,.322,1,.331
TAB,2,1,C Resendez,7,.571,0,.556
MVA,42,11,D Castro,338,.317,3,.292
VAQ,35,21,N Garcia,311,.389,2,.303
YUC,67,21,J Hernandez,396,.427,3,.382
MVA,45,32,D McDonald,409,.506,1,.413
TIJ,4,3,J Hernandez,64,.234,0,.402
PUE,18,6,M Torrero,177,.288,0,.356
QR,40,14,L Suarez,279,.412,7,.361
PUE,70,28,C Tapia,379,.483,4,.390
CAM,0,0,S Low,7,.143,0,.143
TIJ,11,7,E Vega,127,.394,0,.286
VAQ,20,12,R Gonzalez,162,.389,2,.350
TIJ,0,0,R Pacheco,13,.000,0,.000
QR,26,9,O Sandoval,238,.403,1,.335
LAR,9,2,J Arevalo,117,.205,1,.232
MVA,0,0,A Rodriguez,5,.200,0,.333
VAQ,19,7,A Nunez,109,.376,2,.376
VRA,48,22,S Gonzalez,476,.389,4,.343
TIJ,27,20,L Heras,280,.414,2,.322
MXO,6,4,M Velez,80,.375,0,.360
TIJ,69,33,O Ramirez,358,.483,3,.435
VRA,32,6,H Hernandez,232,.306,4,.297
PUE,40,14,I Cervantes,318,.384,2,.318
QR,15,6,J Franco,128,.336,0,.356
VAQ,51,16,M Valdez,258,.484,4,.380
MIN,4,1,E Trujillo,61,.230,1,.246
MVA,16,4,I Salas,112,.438,0,.398
VRA,76,23,S Adriana,419,.523,5,.419
TIJ,33,7,J Cruz,146,.521,2,.431
SLT,51,15,M Valenzuela,338,.470,0,.364
VAQ,47,20,S Gastelum,319,.408,1,.408
MXO,2,0,J Cordova,27,.111,0,.200
CAM,10,3,M Lopez,164,.274,1,.301
PUE,30,15,R Serrano,335,.355,3,.301
MTY,59,13,L Garcia,290,.400,6,.348
TIJ,4,1,G Sotomayor,41,.341,1,.341
MIN,15,4,U Valdez,101,.366,0,.319
LAR,1,0,M Escalante,34,.206,0,.231
MVA,12,4,O Castaneda,119,.277,1,.311
YUC,34,12,F Valenzuela Jr.,242,.455,4,.382
PUE,10,3,J Trapaga,53,.283,1,.311
SLT,42,19,J Rodriguez,322,.435,2,.349
VRA,38,21,L Buelna,397,.373,1,.369
CHI,36,15,C Valle,274,.361,0,.326
VAQ,8,0,J Canizales,47,.362,0,.333
CAM,40,14,H Paez,305,.407,3,.308
MXO,47,14,I Terrazas,335,.487,3,.381
MXO,37,15,J Sandoval,291,.375,7,.340
MIN,37,11,C Zazueta,354,.316,1,.303
VAQ,1,1,E Moran,7,.286,0,.143
CAM,0,0,F Villaescusa,12,.083,0,.267
MIN,3,1,M Rivera,34,.265,0,.171
VAQ,4,0,R Pereyra,95,.211,0,.286
OAX,41,9,E Rodriguez,324,.340,4,.347
CHI,20,8,W Veras,173,.416,1,.380
MIN,8,3,O Bramasco,58,.431,1,.281
LAR,26,11,L Martinez,338,.355,1,.303
CHI,11,3,A Ahumada,157,.395,2,.345
PUE,37,19,L Figueroa,262,.439,3,.388
OAX,1,0,J Rushford,20,.250,0,.400
MIN,11,4,I Bellazetin,113,.310,0,.294
MVA,50,20,S Soto,336,.440,2,.359
SLT,4,1,C Alvarez,58,.293,0,.274
VAQ,4,2,C Marquez,53,.396,0,.382
