DRB,TOV,RPG,ORB,3PA,SPG,FG%
21.6,10.9,30.2,8.5,18.6,6.1,0.421
24.5,10.4,33.6,9.1,19.7,5.0,0.469
21.4,12.4,33.2,11.9,18.2,7.2,0.416
20.8,17.5,30.0,9.2,16.4,4.4,0.361
22.3,12.3,30.4,8.2,15.8,5.3,0.449
24.3,14.7,36.7,12.4,16.7,7.6,0.412
23.4,15.4,34.2,10.9,18.2,5.5,0.449
22.4,15.2,33.2,10.8,18.9,6.3,0.44
25.0,12.1,35.6,10.6,18.2,6.9,0.438
22.7,14.3,31.6,8.8,15.7,7.1,0.434
22.8,12.1,31.3,8.4,16.3,3.4,0.413
20.8,12.4,28.2,7.4,21.1,6.8,0.457
