Team,SO,2B,H,HR,CS,SF,OPS,G,AVG
TIG,18,6,27,2,0,1,.673,32,.243
RSX,6,0,5,1,1,0,.684,6,.227
YAN,3,1,3,0,0,1,.422,9,.167
ORI,35,12,45,2,2,3,.777,40,.283
RDS,14,2,13,0,1,0,.560,21,.213
MTS,22,11,40,0,3,3,.744,37,.294
CAR,10,0,3,0,0,0,.317,12,.125
NAT,24,1,6,0,1,0,.444,24,.111
DGR,2,0,2,0,0,1,.396,7,.133
ORI,4,4,7,0,0,0,.844,9,.233
TWI,20,5,18,2,0,1,.777,22,.273
PIR,14,3,19,1,0,0,.687,19,.284
CAR,1,1,4,0,0,0,.968,4,.333
PIR,0,1,4,0,0,0,.785,4,.308
YAN,18,6,30,3,0,1,.786,33,.280
TIG,24,5,36,1,1,0,.832,44,.313
BLU,29,6,30,1,0,1,.578,39,.221
NAT,15,0,19,0,0,0,.526,31,.202
IND,20,4,29,4,1,0,.606,34,.228
PHL,42,3,23,1,1,0,.543,36,.211
DGR,16,0,8,0,1,1,.475,18,.163
TWI,23,2,40,0,2,0,.651,45,.288
TIG,23,1,9,1,0,2,.383,22,.130
YAN,39,7,47,6,5,0,.815,47,.283
CAR,13,1,6,1,0,0,.488,16,.143
PHL,13,5,26,0,3,0,.631,31,.255
MRL,5,5,11,0,0,1,1.063,7,.440
TIG,52,9,40,4,1,0,.798,46,.270
TWI,44,6,31,2,5,2,.762,38,.256
CAR,7,1,10,0,0,0,.830,10,.385
YAN,1,1,1,0,0,0,1.667,1,.500
RDS,27,6,35,0,4,2,.528,43,.227
MRL,30,10,23,1,3,0,.713,37,.221
PHL,0,0,1,0,0,0,1.167,1,.500
BRA,4,4,8,1,1,1,.910,8,.296
NAT,24,8,32,1,2,0,.796,28,.305
MTS,3,1,2,0,0,0,.573,3,.200
PHL,18,4,18,0,1,0,.545,32,.184
TIG,23,3,18,1,1,0,.612,24,.225
TIG,36,9,51,3,4,0,.755,50,.279
BRA,18,1,12,0,0,0,.576,24,.188
TIG,8,1,15,2,0,1,.804,14,.313
ORI,1,1,2,0,0,0,.714,2,.286
RDS,1,2,2,0,0,0,.857,4,.286
MRL,6,2,7,0,0,0,.668,8,.269
MTS,17,1,10,0,0,0,.709,13,.250
CAR,1,0,2,0,0,1,.468,4,.182
MTS,16,4,34,0,1,2,.768,35,.283
MRL,23,9,50,3,1,3,.725,50,.276
CAR,49,5,44,0,5,0,.676,53,.257
DGR,20,5,23,0,1,1,.737,27,.295
ORI,30,10,48,6,0,1,.936,43,.318
RSX,18,3,15,2,0,0,.597,25,.200
PHL,45,10,53,2,5,1,.742,53,.272
TWI,3,3,4,1,0,0,.856,5,.222
CAR,9,0,3,0,0,2,.358,9,.150
PHL,11,9,15,1,0,1,.859,24,.283
BLU,28,7,42,2,2,0,.674,40,.269
ORI,9,1,5,0,0,1,.516,14,.167
DGR,41,13,57,1,4,0,.758,51,.284
MRL,6,1,3,0,0,0,.433,6,.167
PIR,12,5,16,1,1,0,.890,17,.308
MTS,2,1,5,1,0,0,1.012,5,.333
BLU,44,1,31,2,4,0,.515,42,.187
RDS,6,2,10,0,1,0,.648,10,.286
BRA,13,1,17,0,4,0,.574,21,.279
RDS,26,4,30,1,0,0,.580,40,.219
BRA,9,1,6,0,0,1,.362,17,.143
DGR,14,5,29,0,1,0,.779,36,.305
MRL,7,1,4,0,2,0,.415,11,.138
IND,27,6,19,2,0,0,.714,26,.229
RSX,26,8,53,1,6,2,.747,47,.301
TIG,5,0,1,0,0,0,.313,6,.063
TWI,11,1,13,0,2,1,.563,22,.232
MTS,29,8,61,1,5,0,.866,45,.341
PIR,20,0,7,0,1,1,.292,22,.109
BLU,1,1,3,0,0,0,.535,6,.176
BRA,8,5,11,1,2,1,1.045,11,.355
MRL,19,2,23,0,2,0,.635,21,.277
RDS,56,8,42,7,2,1,.755,51,.246
YAN,8,4,14,1,1,1,.808,16,.286
YAN,31,6,20,2,2,0,.719,32,.233
DGR,20,0,13,0,1,0,.585,25,.232
RSX,15,1,3,0,0,2,.349,8,.107
MTS,1,1,2,0,0,0,.804,2,.286
BLU,28,11,32,1,0,1,.913,27,.337
MRL,33,10,27,3,3,0,.863,27,.267
TIG,2,0,1,0,0,0,.833,4,.333
YAN,2,0,1,0,0,0,.347,3,.125
NAT,2,0,1,0,0,1,.733,1,.333
MTS,22,9,40,0,2,3,.699,36,.288
CAR,1,0,1,0,0,0,1.000,1,.500
MRL,9,4,21,3,1,0,1.111,13,.412
ORI,12,4,15,0,1,0,.600,22,.221
MTS,6,0,5,1,0,1,.649,11,.167
YAN,55,10,36,3,3,1,.679,49,.235
PHL,21,9,39,2,2,0,.952,29,.371
YAN,19,8,40,6,1,2,1.008,38,.345
IND,1,1,1,0,0,0,.733,2,.200
MTS,66,8,56,2,1,1,.669,52,.264
TIG,38,4,30,4,0,0,.710,40,.238
NAT,47,6,40,9,2,1,.780,42,.248
TWI,17,4,35,0,2,3,.779,35,.321
CAR,1,0,0,0,0,0,.000,2,.000
PHL,7,1,2,0,0,0,.258,12,.077
PHL,23,3,34,4,2,2,.626,41,.241
RSX,44,3,26,5,3,1,.710,34,.208
BRA,14,3,16,3,0,0,.563,34,.198
MTS,11,5,27,0,1,0,.632,26,.262
RDS,18,3,13,1,1,0,.485,24,.163
RDS,34,7,41,2,1,1,.759,43,.293
RDS,2,1,5,1,0,0,1.212,4,.417
NAT,9,0,3,0,1,0,.387,10,.120
YAN,11,0,4,0,1,0,.353,10,.121
TIG,5,3,9,0,0,0,.640,9,.257
BLU,4,3,18,0,1,0,.642,27,.269
BRA,33,7,60,6,2,1,.674,59,.268
RSX,42,10,46,4,3,5,.787,43,.263
TWI,6,1,8,0,0,0,.676,9,.286
CAR,16,6,27,0,3,0,.722,39,.281
PHL,5,1,3,0,1,0,.597,6,.167
BRA,15,1,6,1,0,2,.354,25,.103
YAN,17,5,30,5,2,1,.833,32,.280
DGR,36,5,24,2,0,0,.692,30,.250
PIR,22,7,42,2,3,1,.925,37,.344
RDS,12,0,7,0,0,0,.387,21,.146
NAT,41,3,15,0,0,0,.431,31,.169
DGR,34,15,62,5,2,3,.960,54,.343
RDS,5,0,11,0,0,0,.886,9,.379
MRL,1,2,6,0,2,0,1.639,4,.667
IND,4,0,1,0,1,0,.259,5,.071
NAT,8,1,4,0,1,1,.497,6,.182
RDS,2,1,2,0,0,0,.833,2,.333
PIR,13,10,35,1,4,1,.725,43,.255
MRL,22,2,11,0,0,2,.402,29,.149
PIR,1,1,6,0,0,0,.769,6,.273
IND,29,5,44,0,3,1,.684,41,.288
DGR,2,0,5,1,0,0,.908,4,.333
RSX,39,8,37,7,0,2,.850,42,.268
