OBP,3B,Team,SF,2B,Player,H,BB,OPS,AB
0.222,0,TAM,1,1,A Maruszak,12,7,0.383,81
0.28,2,CLR,1,8,F Galvis,62,10,0.587,251
0.26,2,DAY,1,7,J Vitters,45,5,0.604,189
0.25,0,STL,0,0,J Abruzzo,1,2,0.35,10
0.359,1,FTM,8,27,C Parmelee,109,65,0.8,422
0.357,1,PMB,0,1,A Brown,2,2,0.812,11
0.331,4,LAK,1,14,J Henry,109,45,0.639,424
0.357,0,FTM,0,2,D Rams,4,1,0.819,13
0.326,2,FTM,1,9,D Berg,38,16,0.666,159
0.25,0,STL,0,0,L Nieves,1,0,0.5,4
0.311,1,SAR,3,22,D Mesoraco,71,35,0.692,312
0.315,1,DAY,1,8,R Canzler,27,7,0.745,100
0.111,0,PMB,0,0,K Moscatel,1,0,0.222,9
0.317,2,FTM,3,6,C Cates,93,34,0.595,370
0.341,1,BRE,3,18,E Farris,141,29,0.725,473
0.304,2,JUP,3,16,H Mense,86,31,0.629,364
0.241,2,CLR,0,7,L Arzeno,27,4,0.554,131
0.286,0,STL,1,5,J Eigsti,29,9,0.551,128
0.348,2,JUP,1,14,B Tripp,87,26,0.789,313
0.284,1,CHA,1,6,M Hall,58,25,0.566,266
0.303,1,LAK,0,1,S Roof,8,2,0.658,31
0.388,2,CHA,2,9,S O'Malley,98,58,0.699,366
0.376,11,TAM,2,24,D Sublett,107,65,0.792,397
0.289,0,BRE,0,2,J Sanchez,8,3,0.575,35
0.301,2,JUP,1,12,S McDougall,44,21,0.653,196
0.315,2,BRE,4,20,C Errecart,82,26,0.703,335
0.273,0,CHA,0,0,F Perez,2,1,0.473,10
0.125,0,SAR,0,1,M Konstanty,1,1,0.258,15
0.314,1,CLR,2,12,A Quiroz,65,35,0.592,284
0.267,1,PMB,0,12,D Bolivar,58,13,0.56,256
0.222,0,STL,1,0,J Rivera,2,0,0.472,8
0.563,0,STL,0,2,A Pagan,5,4,1.146,12
0.261,1,DUN,2,26,J Gonzalez,89,10,0.679,381
0.352,2,PMB,1,7,C Sedbrook,50,29,0.651,224
0.37,16,PMB,2,17,A Chambers,127,47,0.77,448
0.248,1,LAK,2,8,M Loyola,29,8,0.529,139
0.327,3,LAK,2,19,M Bertram,82,20,0.796,292
0.282,2,TAM,0,7,M Hilligoss,38,11,0.582,163
0.1,0,CHA,0,0,D Luis,0,1,0.1,9
0.189,1,SAR,2,4,J Tordi,35,4,0.399,209
0.354,0,PMB,0,4,N Derba,18,20,0.629,91
0.244,0,SAR,1,1,T Brown,7,2,0.541,37
0.414,3,FTM,2,10,J Benson,75,46,0.817,263
0.365,5,TAM,2,13,J Rye,61,40,0.731,238
0.277,1,PMB,0,6,P Vasquez,38,3,0.644,150
0.292,0,LAK,1,5,S De Leon,22,4,0.614,84
0.391,0,DAY,0,0,K Soto,7,1,0.725,21
0.39,3,JUP,1,9,M Stanton,53,28,0.968,180
0.18,0,PMB,0,2,C Kingrey,6,2,0.35,47
0.206,1,SAR,4,4,D Perales,13,1,0.555,63
0.369,6,BRE,4,31,L Schafer,143,38,0.815,457
0.336,2,FTM,1,22,E Bigley,92,22,0.742,328
0.327,7,CHA,2,12,E Salem,91,36,0.654,357
0.333,1,SAR,2,4,K Day,25,16,0.651,107
0.208,0,JUP,0,1,J Blackwood,16,4,0.458,92
0.286,1,PMB,1,6,M Carpenter,25,10,0.628,114
0.323,3,DUN,1,12,R Barron,56,17,0.701,212
0.382,2,CLR,5,27,T Kennelly,82,33,0.832,271
0.289,1,LAK,1,4,H Perez,19,3,0.637,72
0.248,0,TAM,0,4,J Gil,20,5,0.498,96
0.406,1,TAM,1,15,J Montero,64,14,0.989,180
0.444,0,DUN,1,0,B Van Kirk,6,6,1.044,20
0.406,2,PMB,1,10,C Cutler,40,25,0.796,146
0.333,0,STL,0,4,R Pena,20,14,0.633,90
0.372,4,FTM,3,13,B Revere,145,40,0.741,466
0.23,1,SAR,4,18,J Louwsma,67,18,0.516,347
0.311,3,LAK,3,19,J Newton,70,16,0.759,266
0.363,4,LAK,2,9,K Kaiser,44,23,0.823,165
0.474,0,STL,0,2,R Henriquez,8,1,1.029,18
0.3,1,PMB,3,10,J Garcia,63,15,0.62,244
0.327,0,DAY,0,1,M Smith,13,5,0.907,50
0.25,0,CLR,0,0,O Guevara,1,0,0.393,7
0.444,0,FTM,1,2,J Mauer,6,2,0.978,15
0.333,0,SAR,0,0,J Votto,0,1,0.333,2
0.286,0,STL,0,2,S Ratliff,8,0,0.643,28
0.375,0,CHA,0,2,M Thomas,3,0,1.0,8
0.308,0,JUP,3,7,B Harrison,46,34,0.674,227
0.246,1,LAK,1,5,A Casanova,24,13,0.469,152
0.311,3,FTM,11,18,D Romero,94,50,0.63,417
0.321,1,DUN,3,12,J Jackson,53,39,0.59,249
0.36,6,TAM,3,17,D Adams,65,26,0.858,231
0.297,2,STL,1,15,G Veloz,83,28,0.599,357
0.143,0,BRE,0,1,M Roberts,3,0,0.333,21
0.643,0,CHA,0,0,B Upton,4,4,1.087,9
0.236,0,CHA,2,5,C Lopez,20,6,0.48,115
