H,OBP,R,Player,3B,POS
33,0.263,22,K Skipworth,0,C
1,0.179,2,M Montero,0,C
0,0.0,0,C Phelps,0,2B
41,0.335,15,A Vargas,1,1B
27,0.331,10,J Torres,0,SS
34,0.338,19,L Mateo,1,SS
3,0.75,0,N Recknagel,0,C
36,0.343,12,O Casamayor,1,3B
3,0.6,1,A Pagan,0,OF
18,0.296,7,A Schoenberger,1,SS
9,0.393,6,R Gomez,1,3B
0,0.0,0,Y Hiciano,0,C
24,0.281,19,M Pasek,1,3B
16,0.408,4,K Gronauer,0,C
33,0.287,18,A Acevedo,2,3B
21,0.281,12,J Gonzalez,0,2B
35,0.347,15,Z Collier,1,LF
6,0.524,4,T Atherton,0,RF
23,0.256,14,A Hewitt,1,3B
44,0.387,14,M Gonzales,1,1B
