SF,BB,SLG,2B,OPS,SH,POS,SB,AB,3B
2,12,.336,9,0.633,0,C,3,122,1
0,3,.212,1,0.482,1,C,0,33,0
2,11,.415,7,0.786,1,CF,9,123,2
0,24,.290,4,0.615,0,P,3,131,0
0,3,.190,0,0.51,0,SS,1,21,0
0,25,.325,3,0.727,4,C,4,114,3
0,16,.323,10,0.623,0,CF,9,217,1
1,18,.303,4,0.611,0,3B,3,142,1
1,13,.318,6,0.668,0,SS,3,66,0
1,5,.283,2,0.547,2,DH,1,120,3
0,4,.200,0,0.405,0,C,0,40,0
2,14,.442,18,0.825,0,3B,9,240,1
0,20,.235,3,0.683,0,DH,0,51,0
0,2,.250,0,0.618,0,OF,2,16,0
0,8,.375,2,0.78,0,3B,2,64,1
2,23,.280,10,0.611,0,OF,3,189,0
0,3,.143,1,0.362,0,DH,0,28,0
1,12,.286,5,0.587,3,C,5,112,1
3,41,.357,7,0.764,5,2B,12,224,4
3,19,.298,7,0.643,5,C,2,151,0
0,31,.406,8,0.807,3,1B,4,170,3
2,3,.264,6,0.514,2,DH,2,144,0
0,4,.222,2,0.476,0,OF,3,54,0
0,0,.200,0,0.4,0,P,0,5,0
0,3,.161,0,0.397,0,C,0,31,0
2,28,.266,4,0.6,10,OF,18,199,1
0,1,.236,1,0.429,1,C,0,55,0
4,20,.301,7,0.649,0,DH,2,153,0
2,8,.310,5,0.597,0,SS,4,84,1
1,25,.140,2,0.412,6,1B,2,136,0
0,11,.110,0,0.348,0,C,1,91,1
0,2,.120,1,0.316,0,1B,0,50,0
1,4,.189,0,0.468,0,C,0,37,0
0,4,.230,2,0.488,2,SS,6,87,0
1,8,.196,1,0.479,1,C,0,51,0
1,34,.244,3,0.605,9,1B,0,168,0
1,31,.346,8,0.705,5,OF,14,246,2
2,5,.236,6,0.482,1,OF,6,178,0
0,6,.143,2,0.349,0,2B,5,56,0
0,15,.360,6,0.712,3,2B,2,139,3
4,28,.271,10,0.631,2,C,4,140,0
0,12,.325,6,0.693,1,2B,5,83,0
0,8,.447,6,0.819,0,C,0,76,0
0,6,.192,3,0.404,2,1B,7,130,0
0,16,.214,4,0.491,0,OF,2,112,1
0,7,.587,5,1.073,0,OF,2,63,1
0,0,.423,0,0.692,0,RF,1,26,2
0,20,.358,5,0.736,0,OF,5,106,3
0,1,.000,0,0.5,0,RF,0,1,0
6,17,.354,8,0.663,1,3B,3,209,1
1,7,.487,8,0.803,0,OF,3,150,2
0,1,.341,0,0.651,0,C,3,41,1
0,9,.320,6,0.631,1,SS,4,150,0
0,0,--,0,0.0,0,CF,0,0,0
0,32,.263,5,0.603,1,1B,3,133,0
0,10,.398,11,0.777,1,2B,18,166,1
0,9,.178,2,0.469,0,3B,1,45,0
0,17,.235,3,0.531,3,2B,11,149,1
1,6,.182,0,0.656,0,OF,2,11,0
0,6,.184,2,0.399,1,3B,2,87,0
1,27,.359,7,0.715,0,DH,10,223,6
0,9,.250,2,0.59,0,C,0,44,0
3,2,.150,0,0.328,1,C,0,40,0
2,2,.275,7,0.546,1,1B,0,102,0
1,9,.118,0,0.328,6,SS,6,93,0
4,14,.333,11,0.667,3,OF,8,168,0
0,28,.283,4,0.675,1,C,0,127,0
5,42,.508,15,0.947,0,C,2,177,0
0,4,.385,2,0.76,0,RF,2,26,1
1,5,.171,1,0.41,0,C,1,82,0
1,42,.250,7,0.638,0,1B,7,168,0
0,17,.305,11,0.606,5,OF,6,154,0
0,15,.153,1,0.448,2,OF,0,72,0
1,9,.450,7,0.793,1,3B,6,171,1
1,26,.315,9,0.632,0,2B,9,181,2
1,10,.280,2,0.625,0,1B,1,75,0
0,11,.349,7,0.714,3,OF,12,175,2
0,15,.246,2,0.629,0,3B,1,57,0
3,26,.429,12,0.804,2,OF,12,196,2
1,22,.331,6,0.711,1,C,6,130,1
4,36,.461,7,0.864,1,2B,31,206,10
4,36,.336,10,0.712,2,DH,4,152,3
1,35,.267,2,0.682,4,C,2,116,1
2,36,.270,7,0.619,1,SS,7,215,1
0,8,.193,2,0.412,0,OF,1,88,1
0,11,.235,2,0.552,0,1B,0,68,0
1,16,.364,4,0.71,2,C,0,110,2
2,5,.290,4,0.526,0,OF,1,93,0
5,30,.423,7,0.819,0,SS,4,239,5
0,46,.237,8,0.577,8,2B,12,241,1
0,16,.340,3,0.669,3,C,7,147,3
1,23,.157,2,0.446,0,3B,4,134,1
0,22,.414,8,0.806,1,OF,5,152,0
0,13,.262,3,0.562,2,CF,3,84,1
2,15,.266,9,0.531,0,1B,8,214,2
0,6,.250,1,0.45,2,LF,0,96,1
3,22,.336,9,0.665,2,SS,20,265,4
3,23,.249,4,0.533,3,DH,7,181,1
0,15,.336,7,0.682,3,1B,6,116,0
0,23,.281,5,0.64,1,2B,11,160,0
0,4,.309,2,0.631,1,OF,1,55,0
1,18,.309,3,0.665,2,C,0,110,2
0,12,.405,4,0.754,0,P,2,74,1
1,19,.222,2,0.54,1,RF,6,126,0
0,5,.324,0,0.624,0,OF,1,34,1
3,9,.250,2,0.583,0,C,0,52,0
0,0,.351,0,0.659,0,C,1,37,0
0,2,.268,1,0.564,0,OF,0,41,0
4,9,.328,4,0.674,1,C,2,67,0
1,4,.241,0,0.529,1,SS,2,54,0
0,0,--,0,0.0,0,P,0,0,0
0,15,.367,7,0.692,0,OF,8,139,2
6,20,.418,14,0.735,1,1B,1,232,2
2,39,.299,6,0.702,2,OF,8,174,1
1,13,.268,3,0.559,0,2B,2,112,2
0,18,.317,5,0.651,1,LF,4,145,3
1,40,.364,8,0.721,3,OF,3,176,6
2,13,.255,3,0.591,1,3B,2,137,0
5,28,.385,10,0.767,1,OF,17,270,6
3,18,.222,3,0.469,1,3B,7,185,1
0,22,.258,3,0.562,4,OF,22,190,2
1,7,.343,3,0.655,3,C,1,99,3
3,23,.374,14,0.725,0,1B,1,238,2
1,17,.369,7,0.725,1,DH,3,179,3
0,1,.214,0,0.402,0,CF,0,14,1
1,34,.287,6,0.658,1,3B,7,171,0
0,2,.284,2,0.497,0,OF,8,102,2
0,0,.000,0,0.0,0,OF,0,1,0
1,10,.160,1,0.389,5,1B,0,106,0
2,18,.242,6,0.495,0,C,0,165,0
3,31,.326,12,0.675,0,2B,15,172,1
2,18,.298,6,0.621,4,C,3,121,0
0,0,.417,1,0.817,1,C,0,24,0
2,7,.267,1,0.577,2,OF,4,60,1
0,8,.215,3,0.516,0,OF,0,79,0
0,4,.191,2,0.421,0,2B,1,68,0
0,5,.320,2,0.707,0,OF,1,25,0
1,25,.254,8,0.577,3,LF,2,142,1
2,30,.363,8,0.709,2,SS,14,212,8
2,13,.257,3,0.594,0,C,0,70,0
4,43,.551,16,0.99,2,RF,5,245,6
0,1,.000,0,0.083,1,P,1,11,0
2,16,.340,10,0.667,4,3B,1,197,2
1,31,.312,6,0.679,5,2B,20,247,3
1,13,.204,1,0.481,1,2B,4,103,1
1,30,.310,3,0.719,2,2B,5,129,2
2,22,.247,3,0.594,0,1B,0,97,0
