SB,Age,Inn,E,RF/9,Ch,A,RF/G
4,27,51.2,0,2.44,14,8,0.25
6,27,69.2,1,1.42,12,4,0.16
1,42,40.0,0,2.48,11,7,1.38
1,29,22.2,0,2.38,6,2,0.32
2,40,15.1,0,0.00,0,0,0.00
2,32,75.2,0,1.90,16,10,0.22
2,30,93.0,2,1.94,22,10,0.57
1,26,31.0,0,1.45,5,2,0.14
2,33,17.2,2,2.55,7,2,0.25
1,24,67.1,1,0.67,6,3,0.36
4,27,48.0,1,1.88,11,9,0.19
0,27,12.0,0,0.00,0,0,0.00
8,25,89.0,2,1.72,19,14,0.65
1,28,14.1,0,1.26,2,1,0.10
0,26,5.2,0,3.18,2,1,0.50
10,25,90.2,0,0.99,10,6,0.63
4,30,213.1,1,2.28,55,41,1.64
2,26,80.0,2,0.90,10,5,0.11
0,28,3.0,0,0.00,0,0,0.00
8,28,125.1,0,2.08,29,19,1.21
4,26,28.1,0,1.59,5,4,0.63
2,40,28.0,0,2.89,9,7,0.20
3,28,67.2,0,2.53,19,9,0.26
1,30,30.1,0,1.19,4,3,0.50
5,34,64.1,1,1.96,15,8,0.40
2,27,14.2,0,3.07,5,3,1.67
0,26,2.2,0,13.50,4,4,2.00
1,26,6.2,0,2.70,2,2,1.00
0,24,10.2,0,0.00,0,0,0.00
