Points,IGP,Shots,FirstA/60,GP,A,Team,iFenwick,G,#
63,5.9,274,0.57,168,54,Pittsburgh,378,9,384
59,10.8,285,0.32,211,43,Washington,397,16,333
44,23.1,166,0.62,188,29,Chicago,230,15,289
17,12.2,104,0.26,84,11,NY Islanders,154,6,338
34,3.2,131,0.22,212,30,Los Angeles,200,4,501
29,24.0,181,0.39,196,17,Winnipeg,242,12,302
8,2.2,48,0.09,92,7,Vancouver,70,1,519
32,9.9,148,0.41,142,23,Washington,220,9,336
28,4.0,142,0.21,163,24,NY Rangers,212,4,476
34,5.0,221,0.28,196,27,Philadelphia,351,7,444
39,5.6,151,0.26,182,32,Buffalo,228,7,427
15,13.5,70,0.19,84,8,Buffalo,106,7,320
40,9.7,250,0.24,208,29,Columbus,376,11,391
26,6.5,148,0.23,152,20,NY Rangers,211,6,416
49,28.2,289,0.59,174,27,Colorado,406,22,190
27,3.1,169,0.33,184,24,Colorado,226,3,502
50,7.6,250,0.25,180,39,Vancouver,382,11,366
37,8.7,170,0.36,174,27,Buffalo,250,10,363
63,16.2,311,0.37,191,42,San Jose,452,21,300
116,25.2,353,1.13,207,79,Philadelphia,478,37,103
20,4.4,116,0.25,162,17,Minnesota,169,3,496
47,8.7,248,0.27,192,34,Buffalo,372,13,353
112,34.9,467,0.73,208,60,Pittsburgh,620,52,34
100,31.4,233,1.75,99,63,Pittsburgh,302,37,1
27,3.6,184,0.23,175,23,Columbus,282,4,483
25,7.8,182,0.24,164,17,Arizona,267,8,381
31,39.0,164,0.44,145,15,Edmonton,221,16,138
47,24.7,240,0.51,166,27,New Jersey,347,20,203
60,31.6,440,0.70,186,35,Pittsburgh,574,25,155
65,33.7,324,0.45,166,32,Ottawa,458,33,64
38,37.3,266,0.32,176,16,Winnipeg,346,22,170
35,28.3,160,0.48,172,20,Montreal,216,15,265
91,25.6,332,0.92,210,57,Tampa Bay,438,34,92
35,4.5,228,0.28,190,29,Calgary,337,6,455
80,35.8,404,0.56,190,42,Arizona,531,38,49
107,24.8,526,0.87,208,72,Detroit,700,35,143
105,32.6,364,0.75,200,62,NY Rangers,511,43,67
37,24.6,217,0.52,155,23,Ottawa,291,14,263
68,35.2,340,0.49,174,36,Vancouver,446,32,68
27,30.4,195,0.27,127,13,Washington,280,14,183
11,6.2,55,0.21,110,8,Vancouver,82,3,443
98,34.3,426,0.57,211,52,Winnipeg,585,46,50
85,26.1,403,0.65,199,54,Arizona,568,31,171
26,4.7,198,0.21,169,21,Arizona,284,5,462
46,7.4,198,0.39,169,36,NY Rangers,287,10,387
6,6.1,71,0.09,89,4,Minnesota,103,2,481
61,21.7,192,0.88,134,41,Colorado,267,20,137
34,23.2,187,0.46,147,21,Anaheim,257,13,254
36,20.4,221,0.72,142,25,Anaheim,317,11,297
18,1.8,73,0.20,127,17,Tampa Bay,139,1,528
66,29.9,258,0.56,212,37,Anaheim,353,29,172
38,6.5,176,0.29,191,30,Carolina,256,8,408
52,38.9,384,0.29,202,24,NY Rangers,527,28,151
65,34.7,348,0.37,189,32,Minnesota,464,33,87
89,38.9,392,0.45,210,40,Dallas,534,49,21
37,22.7,269,0.36,198,22,Carolina,382,15,305
22,7.9,113,0.23,135,17,Detroit,174,5,423
32,4.8,158,0.22,195,26,Chicago,238,6,457
51,5.0,221,0.29,193,43,Vancouver,334,8,425
53,24.1,216,0.59,146,33,Tampa Bay,277,20,166
71,27.6,341,0.50,198,39,Minnesota,477,32,178
101,29.8,395,0.93,185,59,Carolina,607,42,31
51,21.2,284,0.46,164,33,Arizona,418,18,261
42,7.6,208,0.22,190,32,Boston,316,10,372
18,2.0,115,0.16,138,17,Los Angeles,176,1,529
83,30.1,362,0.53,196,42,Philadelphia,487,41,43
13,8.7,52,0.14,89,9,Ottawa,72,4,394
16,6.8,74,0.22,105,12,Montreal,119,4,424
55,36.6,296,0.47,193,29,Columbus,419,26,177
28,4.0,111,0.24,204,24,Edmonton,186,4,497
15,5.0,111,0.03,148,12,Vancouver,166,3,480
29,3.3,170,0.20,187,25,St. Louis,239,4,488
69,25.2,270,0.65,195,43,NY Rangers,341,26,188
27,1.8,93,0.24,166,25,Montreal,152,2,522
43,9.6,290,0.22,196,30,Toronto,429,13,360
62,22.8,222,0.61,157,41,Vancouver,287,21,211
12,5.3,87,0.14,126,9,Dallas,139,3,466
49,40.6,147,0.45,115,23,St. Louis,200,26,28
76,32.4,238,0.49,183,40,Pittsburgh,327,36,57
89,31.9,378,0.69,203,46,Toronto,543,43,53
95,26.2,271,1.09,189,62,Dallas,367,33,109
75,21.2,230,0.60,180,54,Washington,304,21,250
119,30.4,453,0.97,201,74,Vancouver,603,45,41
38,21.4,175,0.35,159,23,Edmonton,250,15,285
9,2.0,79,0.07,123,8,San Jose,102,1,527
73,31.1,341,0.53,207,41,Columbus,451,32,136
68,31.2,382,0.52,191,39,Detroit,493,29,130
38,7.5,218,0.20,206,26,Tampa Bay,323,12,375
14,3.6,73,0.15,104,12,Calgary,104,2,495
24,1.6,58,0.24,132,23,Chicago,97,1,526
75,31.6,272,0.63,197,44,Chicago,370,31,101
31,28.2,252,0.50,199,20,Calgary,351,11,301
49,10.3,269,0.25,201,33,Dallas,414,16,328
72,24.0,321,0.57,209,49,Columbus,392,23,251
73,34.0,340,0.59,166,37,Toronto,446,36,24
35,33.3,149,0.31,140,16,Buffalo,202,19,120
71,24.1,191,0.77,183,45,Washington,249,26,160
58,27.0,248,0.62,176,34,Ottawa,345,24,202
31,29.8,143,0.33,133,17,Colorado,197,14,223
31,22.6,131,0.41,125,19,Chicago,166,12,258
85,33.6,424,0.36,212,41,San Jose,568,44,65
47,40.0,340,0.40,192,21,Minnesota,469,26,149
27,5.7,133,0.21,171,21,Boston,186,6,415
68,33.3,450,0.56,179,37,Nashville,568,31,78
23,2.2,102,0.19,163,21,Philadelphia,175,2,515
56,50.7,475,0.18,210,19,New Jersey,612,37,73
45,12.2,206,0.27,178,31,Arizona,302,14,327
73,35.1,315,0.62,174,39,Florida,425,34,82
52,16.9,240,0.44,192,38,Washington,305,14,313
105,22.7,281,1.02,204,76,Washington,377,29,209
68,29.7,316,0.83,157,41,San Jose,414,27,122
58,25.9,303,0.51,208,36,Florida,419,22,248
