WAR,RAR,Rbat,WAA,Rbaser,Acquired,Age,Rpos,Rdp,oWAR,dWAR
1.1,12,-15,0.3,-1,Waivers,26,2,1,-0.7,2.0
0.0,0,-4,0.0,-0,Traded,26,5,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,26,0,0,0.0,-0.0
-0.2,-2,-3,-0.2,-0,Amateur Free Agent,23,1,-0,-0.2,-0.0
0.0,0,0,0.0,0,Traded,29,0,0,0.0,-0.0
0.2,2,-8,0.2,-0,Traded,31,11,-0,0.3,-0.0
0.0,0,-0,0.0,0,Amateur Free Agent,30,0,0,0.0,-0.0
-1.0,-7,-2,-2.3,-0,Traded,29,-3,1,0.6,-2.1
-0.1,-0,-2,-0.1,-0,Amateur Draft,27,2,-0,-0.0,-0.0
0.0,0,0,0.0,0,Waivers,28,0,0,0.0,-0.0
1.8,21,5,-0.4,5,Amateur Draft,28,3,1,3.6,-1.5
2.1,20,10,1.3,-0,Amateur Draft,29,-2,0,1.7,0.1
1.4,15,-2,0.1,-1,Traded,23,5,1,1.6,0.3
-0.2,-1,-4,-0.2,-0,Traded,34,3,0,-0.1,0.0
0.0,0,0,0.0,0,Free Agency,31,0,0,0.0,-0.0
-0.1,0,-4,-0.4,1,Amateur Draft,25,1,1,0.3,-0.2
4.9,47,28,3.5,-2,Amateur Free Agent,22,-4,1,3.9,0.6
0.0,0,0,0.0,0,Free Agency,28,0,0,0.0,-0.0
0.1,1,-0,0.1,-0,Free Agency,35,1,0,0.1,0.0
-0.2,-2,-10,-0.2,-1,Traded,27,9,0,-0.2,-0.0
2.5,27,29,0.6,1,Free Agency,33,-6,-4,4.1,-2.2
-0.0,-0,-1,-0.0,-0,Traded,28,1,0,-0.0,-0.0
-0.1,-1,-5,-0.1,-0,Free Agency,34,4,0,-0.1,-0.0
0.7,8,0,0.0,2,Amateur Draft,24,-1,0,0.8,-0.2
-0.3,-2,-10,-0.3,-0,Amateur Draft,28,8,-0,-0.2,-0.0
0.2,2,0,0.2,0,Traded,27,-0,-0,0.1,0.1
2.0,20,10,1.2,-3,Free Agency,29,3,-0,2.0,0.4
0.0,0,-1,0.0,0,Traded,29,1,0,0.0,-0.0
0.0,0,-4,0.0,-0,Traded,23,5,0,0.0,-0.0
0.0,0,-0,0.0,0,Amateur Draft,25,1,-0,0.0,0.0
4.1,40,8,2.7,1,Free Agency,34,2,-0,2.5,1.8
0.0,0,-0,0.0,0,Amateur Draft,26,0,0,0.0,-0.0
-0.0,-0,-0,-0.0,0,Free Agency,30,0,0,-0.0,-0.0
0.2,2,-3,0.2,-0,Traded,23,5,-0,0.2,-0.0
-0.0,-0,-0,-0.0,0,Amateur Draft,27,0,0,-0.0,-0.0
0.3,3,-6,0.3,0,Amateur Draft,27,9,0,0.4,-0.0
0.4,5,1,-0.1,-0,Free Agency,35,1,-0,0.5,-0.1
0.0,0,0,0.0,0,Waivers,28,0,0,0.0,-0.0
-0.1,-1,-4,-0.4,1,Amateur Draft,24,-1,-0,-0.1,-0.2
-0.1,-0,-2,-0.1,0,Free Agency,35,-0,-0,-0.2,0.1
0.0,0,0,0.0,0,Traded,25,0,0,0.0,-0.0
-0.8,-7,-4,-1.0,0,Traded,26,0,-0,-0.3,-0.5
0.0,0,-0,0.0,0,Amateur Free Agent,25,1,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,35,0,0,0.0,-0.0
2.9,30,19,0.9,3,Traded,25,-7,0,3.5,-1.5
-0.1,-0,-2,-0.1,-0,Free Agency,31,1,0,-0.1,-0.0
0.4,5,-0,-0.1,1,Free Agency,28,-2,0,0.4,-0.3
0.0,0,0,0.0,0,Traded,27,0,0,0.0,0.0
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,25,0,0,0.0,-0.0
0.5,5,-1,0.5,-0,Traded,23,6,1,0.5,-0.0
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
-0.1,-1,-9,-0.1,0,Traded,25,7,1,-0.1,-0.0
0.4,4,-3,0.2,0,Free Agency,32,1,-1,-0.2,0.6
0.0,0,0,0.0,0,Waivers,24,0,0,0.0,0.0
3.9,39,18,1.8,-3,Traded,31,-8,0,2.8,0.1
0.8,9,0,0.1,1,Waivers,28,1,-0,0.8,-0.0
-0.1,-1,-10,-0.1,-0,Free Agency,34,9,0,-0.1,-0.0
0.1,1,-1,0.1,-0,Traded,21,2,0,0.1,-0.0
0.3,3,-6,0.3,-1,Free Agency,34,10,1,0.3,-0.0
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,0.0
-1.0,-7,-6,-2.3,-0,Amateur Draft,30,2,-0,0.7,-1.5
2.3,24,2,0.8,0,Amateur Draft,32,7,-0,2.3,0.7
0.5,5,-4,0.5,-0,Amateur Free Agent,22,9,0,0.5,-0.0
-0.4,-3,-5,-0.8,-0,Amateur Draft,26,-1,-0,-0.4,-0.1
0.0,0,0,0.0,0,Amateur Free Agent,31,0,0,0.0,0.0
-0.1,-1,-1,-0.1,0,Traded,37,1,0,-0.1,-0.0
5.4,52,33,4.3,0,Traded,29,4,1,5.1,0.7
0.1,0,-0,0.1,0,Free Agency,25,1,0,0.1,-0.0
-0.6,-5,-5,-0.7,-0,Free Agency,29,0,0,-0.5,-0.1
-0.8,-7,-4,-0.9,-0,Traded,24,-0,-0,-0.4,-0.5
0.0,0,0,0.0,0,Free Agency,34,0,0,0.0,0.0
0.5,4,-4,0.5,-0,Amateur Draft,27,8,-0,0.5,-0.0
4.2,41,25,2.3,-0,Amateur Draft,25,-8,1,3.8,-0.5
0.0,0,-0,0.0,0,Traded,29,1,0,0.0,-0.0
0.5,5,-0,0.1,0,Traded,24,2,1,0.6,0.0
-1.7,-14,-11,-2.2,-1,Free Agency,37,-1,1,-0.9,-1.0
0.1,1,-1,0.1,-0,Amateur Draft,24,2,0,0.2,0.0
0.0,0,0,0.0,0,Traded,28,0,0,0.0,-0.0
2.2,21,9,1.4,0,Amateur Draft,23,1,1,2.0,0.3
0.0,0,-3,0.0,-0,Amateur Draft,26,3,0,0.0,0.0
0.2,2,-1,-0.1,0,Traded,32,-1,-0,0.1,-0.1
-0.2,-1,-9,-0.2,-0,Amateur Free Agent,24,8,-0,-0.2,-0.0
0.0,0,-1,0.0,-0,Traded,26,1,0,0.0,-0.0
0.7,9,6,-0.3,-0,Traded,29,-4,-0,1.1,-0.9
-0.4,-3,-6,-0.6,-1,Amateur Free Agent,27,1,-0,-0.5,0.2
-0.0,-0,-2,-0.0,-0,Amateur Draft,25,2,0,-0.0,0.0
-0.1,-1,-4,-0.1,-0,Amateur Draft,26,3,0,-0.1,0.0
0.0,0,-0,0.0,0,Amateur Draft,23,0,0,0.0,-0.0
3.8,39,26,1.6,4,Traded,30,-7,1,4.7,-1.7
0.9,9,5,0.4,-1,Amateur Draft,26,-2,-1,0.6,0.1
0.0,0,0,0.0,0,Free Agency,35,0,0,0.0,-0.0
0.1,0,-1,0.1,-0,Waivers,27,1,0,0.1,-0.0
0.7,7,-2,0.7,0,Traded,26,9,0,0.8,-0.0
0.1,3,-10,-1.1,-3,Amateur Draft,25,6,0,0.2,0.4
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,28,0,0,0.0,-0.0
0.1,1,0,-0.0,-0,Waivers,26,-0,0,0.1,-0.1
-0.3,1,-29,-1.8,1,Amateur Draft,25,6,1,-1.0,1.3
2.2,23,9,0.4,0,Traded,37,3,1,3.0,-0.6
0.0,0,-0,0.0,0,Traded,24,0,0,0.0,-0.0
0.1,1,-9,0.1,-0,Amateur Draft,27,10,-0,0.1,-0.0
0.0,0,-9,0.0,-0,Amateur Draft,26,9,-0,0.0,-0.0
0.6,7,-2,0.2,-1,Waivers,29,2,1,0.6,0.3
-0.0,-0,-1,-0.0,0,Purchased,29,0,0,-0.0,0.0
1.5,16,-9,0.2,1,Free Agency,31,0,1,0.4,1.1
-0.3,-2,-9,-0.7,0,Amateur Draft,24,1,0,-0.4,0.2
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,25,0,0,0.0,0.0
-0.3,-2,-2,-0.3,0,Amateur Draft,25,0,0,-0.2,-0.1
-0.0,-0,-0,-0.0,0,Traded,24,0,0,-0.0,0.0
-0.3,-2,-6,-0.3,0,Amateur Draft,22,3,0,-0.3,-0.0
1.1,10,-2,0.8,-0,Amateur Draft,26,-0,-0,-0.1,1.1
2.3,25,10,0.4,-0,Amateur Free Agent,26,2,-2,3.0,-0.4
0.0,0,-0,0.0,0,Traded,34,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,34,0,0,0.0,-0.0
0.0,0,-0,0.0,0,Amateur Draft,25,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Free Agent,26,0,0,0.0,0.0
-0.7,-2,-15,-2.5,4,Amateur Draft,28,-4,1,0.1,-1.3
-0.2,-1,-4,-0.2,-0,Amateur Draft,24,2,0,-0.2,-0.0
-1.3,-8,-0,-3.1,-0,Traded,36,0,-2,1.5,-2.8
0.0,0,-0,-0.0,-0,Amateur Draft,25,0,0,0.0,-0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,25,1,0,-0.1,-0.0
-1.0,-8,-12,-1.4,1,Free Agency,36,-1,1,-1.0,-0.1
5.3,52,17,3.2,0,Amateur Draft,26,-7,2,3.4,1.1
-0.1,-1,-3,-0.1,-0,Free Agency,30,3,0,-0.1,-0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,24,-0,-0,-0.1,-0.0
-0.4,1,-31,-2.2,1,Amateur Draft,27,3,-2,-1.5,1.5
-0.2,-1,-4,-0.3,1,Traded,22,0,0,-0.2,0.0
-0.0,0,-5,-0.0,-0,Free Agency,35,6,-0,0.0,-0.0
-0.6,-4,-5,-1.0,1,Amateur Free Agent,25,0,1,0.1,-0.7
0.0,0,0,0.0,0,Traded,29,0,0,0.0,-0.0
-0.1,-1,-1,-0.1,0,Amateur Draft,28,1,0,-0.1,0.0
-0.1,-0,-10,-0.1,-0,Amateur Draft,28,10,0,-0.1,-0.0
0.0,0,-0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.9,10,3,-0.3,-0,Free Agency,37,-4,-0,0.9,-0.5
-0.1,-1,-6,-0.1,0,Traded,23,5,0,-0.1,-0.0
-0.0,-0,-0,-0.0,0,Amateur Draft,25,0,0,-0.0,-0.0
0.0,0,0,0.0,0,Amateur Free Agent,27,0,0,0.0,-0.0
0.2,2,-2,-0.2,1,Waivers,29,0,-0,0.2,0.0
-0.3,-2,-3,-0.3,0,Amateur Draft,24,-0,0,-0.3,-0.0
-0.1,-1,-2,-0.1,0,Free Agency,28,1,-0,-0.1,0.0
0.1,3,4,-0.7,0,Free Agency,35,0,-0,1.3,-1.2
0.1,1,-8,0.1,-0,Traded,23,10,0,0.1,-0.0
-0.0,-0,-1,-0.0,0,Waivers,27,1,0,-0.0,-0.0
0.0,0,0,0.0,0,Traded,24,0,0,0.0,-0.0
-0.2,-2,-2,-0.3,-0,Free Agency,33,-0,-0,-0.2,-0.0
-0.4,-3,-2,-0.8,0,Traded,24,-1,0,0.0,-0.6
0.0,0,0,0.0,0,Amateur Draft,24,0,0,0.0,0.0
0.8,9,3,-0.1,2,Amateur Draft,26,-2,1,1.2,-0.7
-0.0,0,-2,-0.0,-0,Amateur Draft,24,2,0,0.0,-0.0
0.2,2,-0,0.1,0,Amateur Free Agent,23,0,-0,0.1,0.1
-0.9,-7,-12,-1.7,1,Amateur Free Agent,23,3,0,-0.2,-0.4
-0.4,-3,-3,-0.6,0,Amateur Free Agent,24,-0,0,-0.2,-0.3
-0.0,-0,-0,-0.0,0,Amateur Draft,25,0,0,-0.0,0.0
0.0,0,0,0.0,0,Traded,31,0,0,0.0,-0.0
-0.0,-0,-0,-0.0,0,Waivers,25,0,0,-0.0,-0.0
-0.4,-0,-6,-1.9,-3,Amateur Draft,39,-6,0,-0.3,-0.8
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,-0.0
-0.1,-1,-4,-0.1,-0,Free Agency,30,3,0,-0.1,-0.0
-0.3,-2,-5,-0.5,-0,Free Agency,29,1,-0,-0.4,0.2
3.2,32,13,1.5,3,Amateur Draft,30,-2,2,3.2,-0.4
0.0,0,0,0.0,0,Free Agency,28,0,0,0.0,-0.0
0.0,0,-5,0.0,-0,Amateur Draft,25,5,0,0.0,-0.0
1.1,12,10,-0.1,-1,Traded,31,2,-1,2.2,-0.9
0.0,0,-1,0.0,-0,Free Agency,32,2,0,0.0,-0.0
-0.0,-0,-1,-0.0,0,Amateur Draft,29,1,-0,-0.0,-0.0
0.0,0,-1,0.0,0,Free Agency,30,1,0,0.0,-0.0
-0.2,-1,-3,-0.3,0,Free Agency,35,-0,-0,-0.3,0.1
0.0,0,0,0.0,0,Free Agency,36,0,0,0.0,-0.0
0.0,0,-4,0.0,0,Amateur Draft,22,4,0,0.0,-0.0
0.0,0,0,0.0,0,Traded,28,0,0,0.0,-0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,25,1,0,-0.1,0.0
0.8,10,-2,-0.2,3,Traded,25,2,1,1.5,-0.4
0.0,0,-0,-0.0,-0,Free Agency,33,0,0,0.0,0.0
8.1,78,43,6.0,3,Amateur Draft,26,3,0,7.4,1.0
0.3,3,-2,0.3,0,Amateur Draft,23,5,0,0.3,-0.0
1.5,16,2,0.5,3,Free Agency,33,1,1,1.8,-0.2
0.1,1,-0,0.1,-0,Amateur Draft,24,0,0,0.0,0.1
-0.3,-2,-5,-0.3,-0,Traded,36,3,0,-0.3,0.0
0.6,8,-0,-0.4,-0,Amateur Draft,26,-5,1,0.4,-0.5
0.0,0,0,0.0,0,Amateur Free Agent,23,0,0,0.0,0.0
0.0,2,-3,-1.0,-0,Free Agency,29,-4,-0,0.2,-0.6
3.8,37,-11,2.1,0,Amateur Draft,22,2,-1,0.4,3.6
1.7,18,-1,0.4,-2,Waivers,27,2,-0,1.1,0.8
-0.1,-1,-3,-0.1,-0,Traded,27,3,0,-0.1,0.0
-0.1,-1,-4,-0.1,-0,Amateur Draft,27,3,0,-0.1,0.0
0.0,0,0,0.0,0,Amateur Free Agent,24,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,25,0,0,0.0,0.0
-0.0,-0,-0,-0.0,0,Traded,27,0,0,-0.0,-0.0
-0.2,-1,-3,-0.2,-0,Traded,26,2,0,-0.2,0.0
4.7,46,33,3.0,0,Free Agency,34,-5,-0,4.7,-0.6
-0.4,-2,-4,-1.1,0,Amateur Draft,28,-0,1,0.3,-0.8
-0.0,-0,-2,-0.0,-0,Free Agency,32,3,-0,-0.0,-0.0
0.0,0,0,0.0,0,Traded,25,0,0,0.0,0.0
-0.0,-0,-0,-0.0,0,Free Agency,28,0,0,-0.0,-0.0
0.0,0,-0,-0.1,-0,Free Agency,30,0,-0,0.0,0.0
3.7,38,16,1.7,2,Amateur Draft,28,2,-1,4.0,-0.0
0.0,0,-9,0.0,-0,Amateur Draft,27,9,0,0.0,-0.0
0.1,1,0,0.1,-0,Free Agency,30,1,0,0.1,-0.0
0.0,2,-4,-0.7,0,Amateur Free Agent,23,1,0,0.4,-0.3
-1.2,-8,-2,-2.1,-1,Free Agency,27,-3,-1,0.0,-1.6
-0.3,-1,-7,-1.0,0,Free Agency,33,4,-2,0.2,-0.1
2.0,20,20,0.9,-0,Traded,30,-3,-1,2.6,-1.0
1.0,11,-16,-0.1,-1,Free Agency,34,5,0,-0.3,1.8
0.0,0,-0,0.0,0,Free Agency,30,1,0,0.0,-0.0
-0.4,-3,-4,-0.5,-1,Traded,30,1,-1,-0.4,0.1
0.0,0,0,0.0,0,Free Agency,26,0,0,0.0,0.0
4.9,49,22,3.0,-2,Amateur Draft,26,6,-0,4.6,1.0
0.0,0,0,0.0,0,Amateur Draft,24,0,0,0.0,0.0
-0.5,-4,-4,-0.7,-0,Amateur Draft,27,0,1,-0.2,-0.2
2.2,23,-6,0.4,1,Amateur Draft,26,7,1,2.0,0.9
0.7,8,-6,-0.0,2,Free Agency,28,2,0,0.4,0.5
0.7,7,2,0.7,3,Amateur Draft,22,0,0,0.6,0.1
0.1,1,-0,-0.1,0,Traded,27,0,0,0.2,-0.1
0.0,0,0,0.0,0,Waivers,26,0,0,0.0,0.0
0.0,0,0,0.0,0,Free Agency,31,0,0,0.0,-0.0
0.2,2,-7,0.2,-0,Waivers,33,9,1,0.3,-0.0
2.8,28,9,1.5,2,Rule 5 Draft,26,5,2,3.2,0.1
-0.7,-5,-7,-1.1,-1,Free Agency,33,-0,0,-0.6,-0.2
-0.1,-0,-1,-0.1,0,Traded,24,1,0,-0.1,-0.0
-0.1,1,-5,-0.9,1,Amateur Draft,26,1,-1,0.2,-0.2
8.5,79,19,6.6,1,Traded,27,3,-1,4.2,4.6
0.0,0,0,0.0,0,Traded,35,0,0,0.0,-0.0
0.0,0,-1,0.0,0,Amateur Draft,24,1,-0,0.0,-0.0
-0.1,1,-14,-0.7,-1,Free Agency,26,3,0,-0.7,0.9
-0.4,-3,-2,-0.6,0,Conditional Deal,27,1,0,0.2,-0.5
0.1,1,-1,0.1,-1,Traded,26,2,0,0.1,0.0
0.4,6,-0,-0.5,2,Amateur Draft,28,1,-0,1.1,-0.6
0.0,0,-2,0.0,-0,Free Agency,33,3,-0,0.0,0.0
0.1,5,-9,-1.4,-2,Amateur Free Agent,29,7,-2,0.8,0.1
0.0,0,0,0.0,0,Rule 5 Draft,27,0,0,0.0,0.0
0.0,0,0,0.0,0,Amateur Draft,27,0,0,0.0,0.0
-0.3,-2,-6,-0.7,-0,Traded,24,2,-0,-0.1,-0.0
-0.4,-3,-7,-0.6,1,Amateur Draft,22,0,1,-0.4,0.0
0.1,1,-1,-0.0,0,Traded,23,0,0,0.1,0.0
-0.1,-0,-1,-0.1,0,Amateur Draft,25,1,0,-0.1,0.0
2.8,29,3,0.6,-3,Traded,23,-9,1,1.0,0.6
0.0,0,0,0.0,0,Free Agency,35,0,0,0.0,-0.0
0.5,5,-3,0.3,-1,Free Agency,29,1,1,-0.0,0.7
0.4,6,-6,-0.5,-1,Free Agency,31,-1,-0,-0.1,0.3
-1.5,-11,-17,-2.2,-2,Traded,23,4,-1,-1.1,0.0
-0.0,0,-2,-0.1,-0,Amateur Free Agent,21,0,-0,-0.1,0.1
0.0,0,0,0.0,0,Amateur Draft,23,0,0,0.0,-0.0
0.2,2,-2,0.1,0,Amateur Free Agent,25,-0,0,-0.1,0.2
0.2,4,-4,-1.0,0,Amateur Draft,26,-5,-1,0.1,-0.6
0.1,1,-0,-0.1,0,Traded,37,0,-1,0.1,0.0
2.3,24,2,0.8,2,Amateur Free Agent,24,6,0,2.6,0.4
0.3,4,-7,-0.3,-1,Traded,25,3,-1,-0.1,0.7
-0.0,1,-3,-0.8,1,Traded,23,1,1,0.7,-0.6
0.0,0,-0,-0.0,0,Amateur Draft,27,0,0,0.0,-0.0
0.7,8,-4,-0.1,0,Amateur Draft,28,-3,-0,-0.1,0.4
-0.3,-3,-11,-0.3,0,Amateur Draft,24,8,-0,-0.3,-0.0
1.9,20,6,0.7,-2,Amateur Draft,26,5,1,2.2,0.2
0.0,0,0,0.0,0,Free Agency,39,0,0,0.0,-0.0
-0.1,-0,-1,-0.1,0,Free Agency,30,1,0,-0.1,-0.0
0.1,1,0,0.1,-0,Traded,23,1,0,0.1,0.0
0.2,3,-1,-0.1,-1,Traded,25,0,0,0.1,0.1
0.1,1,-7,0.1,-0,Traded,28,8,-0,0.1,-0.0
1.7,20,-14,-0.2,2,Amateur Draft,27,8,0,1.4,1.1
0.0,0,0,0.0,0,Amateur Draft,25,0,0,0.0,-0.0
5.3,51,23,3.6,1,Amateur Draft,28,6,-1,4.7,1.2
7.1,68,46,4.9,0,Amateur Draft,25,-9,-3,5.7,0.3
-0.0,-0,-0,-0.0,0,Amateur Free Agent,24,0,0,-0.0,0.0
-0.5,-0,-0,-2.1,-2,Traded,30,2,-3,1.2,-1.5
-0.7,-3,-4,-1.9,-2,Traded,26,-3,0,0.2,-1.3
0.0,0,0,0.0,0,Free Agency,32,0,0,0.0,-0.0
-0.4,-3,-6,-0.7,-0,Free Agency,31,2,-0,-0.3,0.0
-0.1,-1,-3,-0.1,-0,Amateur Draft,21,3,0,-0.1,-0.0
3.9,38,10,2.1,-0,Amateur Draft,27,3,-1,2.9,1.2
1.3,12,3,1.3,-0,Free Agency,29,10,0,1.3,-0.0
-0.7,-4,-16,-1.5,2,Free Agency,29,-2,0,-1.1,0.1
0.1,0,-0,0.1,-0,Amateur Draft,24,1,0,0.1,0.0
-0.1,-0,-4,-0.3,-0,Traded,32,1,-1,-0.3,0.3
3.6,37,8,1.5,2,Amateur Draft,27,8,0,4.1,0.4
0.1,1,-1,0.1,-0,Amateur Draft,23,0,0,0.0,0.1
5.7,55,36,3.7,2,Amateur Draft,23,-8,-1,5.0,-0.3
-0.1,-1,-3,-0.1,-0,Amateur Free Agent,27,3,0,-0.1,0.0
-0.2,1,7,-1.4,-1,Amateur Draft,27,-5,0,1.3,-2.1
-0.7,-5,-11,-1.1,0,Free Agency,32,-1,1,-0.9,0.0
0.0,0,0,0.0,0,Free Agency,27,0,0,0.0,-0.0
-0.1,2,-2,-1.3,-1,Amateur Draft,23,3,0,1.2,-1.0
-0.9,-7,-6,-1.5,-1,Amateur Draft,26,-2,1,-0.4,-0.8
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,26,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,28,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
0.1,1,-1,0.1,-0,Traded,29,2,0,0.2,0.0
-0.1,0,-6,-0.5,2,Waivers,27,-0,1,-0.1,-0.1
-0.1,-0,-9,-0.1,0,Free Agency,29,8,0,-0.1,-0.0
-0.4,-3,-5,-0.6,-1,Traded,26,-0,0,-0.4,-0.0
0.0,0,0,0.0,0,Traded,38,0,0,0.0,-0.0
-1.4,-10,-2,-2.6,-1,Traded,33,-1,-0,0.6,-2.2
-0.1,-1,-9,-0.1,0,Amateur Draft,22,8,-0,-0.1,-0.0
-0.1,-1,-3,-0.1,-0,Free Agency,28,2,-0,-0.1,-0.0
0.1,1,-2,0.1,-1,Free Agency,28,3,0,0.1,0.0
-0.1,-0,-1,-0.1,-0,Amateur Free Agent,28,-0,0,-0.1,-0.0
0.0,0,-0,0.0,0,Traded,28,1,0,0.0,-0.0
1.0,11,-3,0.2,3,Waivers,26,-1,1,0.7,0.1
-0.5,-3,-12,-1.1,-1,Free Agency,34,3,-0,-0.6,0.4
-0.3,-1,-2,-0.9,-1,Free Agency,35,3,-1,0.5,-0.4
-0.0,2,8,-1.0,0,Amateur Draft,26,-4,-1,1.2,-1.8
0.0,0,0,0.0,0,Free Agency,30,0,0,0.0,-0.0
1.2,12,5,0.4,-1,Amateur Draft,28,-2,-0,1.0,-0.0
2.3,25,17,0.3,1,Free Agency,36,-6,-1,3.1,-1.5
0.0,0,0,0.0,0,Traded,35,0,0,0.0,-0.0
-0.1,0,1,-0.6,-1,Waivers,28,1,-0,0.5,-0.5
-0.1,-0,-4,-0.3,0,Free Agency,29,-1,-0,-0.3,0.1
-0.0,-0,-0,-0.0,0,Traded,23,0,0,-0.0,-0.0
-0.1,-1,-1,-0.1,0,Amateur Draft,27,-0,-0,-0.1,0.0
0.1,1,-0,0.1,-0,Traded,28,2,0,0.1,-0.0
-0.0,-0,-0,-0.0,0,Amateur Draft,26,0,0,-0.0,0.0
0.2,2,1,0.0,-0,Free Agency,34,-1,-1,0.1,0.0
2.0,21,3,0.4,3,Amateur Draft,27,2,0,2.4,-0.2
0.4,5,-3,-0.1,0,Amateur Free Agent,23,2,0,0.4,0.1
4.3,42,10,2.6,2,Free Agency,32,-6,-1,2.1,1.5
0.0,0,-1,0.0,-0,Traded,33,2,-0,0.0,-0.0
-0.0,-0,-0,-0.0,0,Traded,23,0,0,-0.0,-0.0
0.0,0,-0,0.0,0,Amateur Draft,26,0,0,0.0,-0.0
0.3,4,-7,-0.4,-0,Free Agency,28,3,-0,0.1,0.4
-0.6,-5,-5,-0.7,0,Rule 5 Draft,30,0,-0,-0.4,-0.1
-0.3,-3,-9,-0.3,-1,Free Agency,29,7,-0,-0.3,-0.0
0.8,7,4,0.5,0,Amateur Draft,25,-1,0,0.6,-0.0
