SF,SLG,AVG,OBP,H,RBI,G
0,.750,.500,0.714,2,0,3
1,.351,.169,0.244,13,8,27
0,.291,.182,0.25,10,2,19
0,.283,.226,0.349,12,7,21
0,.226,.194,0.279,18,2,32
0,.235,.235,0.316,4,0,5
0,.929,.286,0.375,4,5,5
0,.344,.210,0.275,33,12,50
0,.387,.204,0.314,28,18,46
1,.272,.198,0.25,16,5,24
0,.314,.171,0.293,6,3,25
0,.024,.024,0.07,1,0,18
1,.421,.322,0.354,49,19,42
1,.345,.282,0.391,40,10,47
2,.267,.198,0.264,23,7,35
0,.176,.176,0.222,3,0,5
0,.458,.292,0.32,7,5,7
1,.247,.191,0.318,17,3,32
1,.392,.269,0.373,35,19,35
2,.429,.286,0.353,8,7,9
0,.341,.268,0.302,11,5,13
0,.190,.143,0.26,9,4,24
0,.222,.167,0.25,3,0,7
1,.475,.312,0.38,44,26,36
2,.388,.279,0.353,41,21,48
0,.318,.273,0.347,12,4,16
0,.222,.167,0.167,3,0,6
1,.260,.220,0.31,11,2,18
1,.614,.330,0.388,29,24,25
0,.111,.111,0.111,1,0,3
1,.508,.288,0.388,34,28,37
0,.519,.253,0.392,20,17,25
1,.318,.243,0.294,36,14,38
0,.264,.208,0.313,15,8,23
2,.455,.260,0.306,20,12,26
1,.255,.193,0.253,28,20,38
1,.197,.141,0.235,10,7,26
0,.481,.288,0.327,15,8,23
0,.333,.167,0.286,1,0,2
0,.350,.300,0.3,6,1,5
0,.313,.250,0.455,4,2,7
0,.127,.109,0.183,6,2,20
0,.214,.143,0.333,4,2,9
0,.227,.167,0.257,11,6,21
0,.309,.259,0.322,36,19,41
0,.063,.063,0.25,1,0,6
1,.384,.254,0.399,35,20,42
0,.227,.136,0.208,3,2,11
2,.319,.288,0.395,47,19,50
2,.354,.246,0.271,16,5,24
1,.179,.154,0.261,6,2,24
1,.243,.171,0.268,19,6,41
0,.208,.125,0.222,3,2,9
0,.338,.208,0.274,16,1,30
1,.304,.239,0.293,33,12,44
2,.241,.196,0.303,31,14,51
3,.431,.284,0.344,33,19,32
0,.377,.246,0.352,15,12,25
0,.500,.265,0.371,44,29,48
0,.321,.216,0.324,35,22,51
0,.313,.188,0.316,3,0,9
0,.192,.173,0.306,9,2,19
0,.000,.000,0.0,0,0,2
1,.395,.326,0.4,14,6,20
1,.253,.240,0.376,18,3,34
0,.364,.273,0.324,36,8,41
0,.360,.200,0.31,5,0,8
0,.305,.169,0.246,10,10,16
0,.232,.205,0.264,23,3,36
2,.405,.279,0.359,31,14,31
2,.317,.230,0.289,42,26,54
1,.269,.192,0.371,5,4,11
2,.299,.215,0.277,23,10,31
1,.356,.310,0.322,27,10,25
0,.300,.300,0.391,12,3,17
0,.222,.156,0.208,7,2,19
2,.335,.257,0.311,46,21,51
1,.362,.232,0.325,16,14,25
4,.402,.336,0.37,36,12,34
0,.154,.154,0.29,4,0,8
0,.346,.231,0.286,6,1,9
0,.174,.174,0.208,4,0,6
1,.232,.195,0.295,16,8,30
0,.133,.133,0.278,2,0,6
0,.000,.000,0.263,0,0,5
0,.303,.242,0.286,8,3,9
0,.286,.214,0.329,15,9,24
2,.438,.333,0.439,54,25,50
0,.281,.238,0.341,38,9,47
0,.345,.282,0.307,31,5,31
1,.179,.143,0.265,4,4,15
0,.605,.316,0.395,12,4,13
2,.431,.259,0.272,45,22,48
1,.400,.267,0.286,16,8,17
0,.556,.222,0.364,2,0,3
0,.286,.286,0.375,4,0,5
1,.250,.156,0.2,5,2,10
2,.268,.197,0.252,28,10,40
0,.378,.297,0.418,33,10,38
3,.421,.226,0.33,43,30,57
0,.218,.139,0.237,14,6,41
0,.667,.556,0.6,5,0,3
3,.252,.206,0.262,27,15,36
2,.261,.188,0.293,13,9,23
1,.366,.269,0.341,50,33,53
1,.034,.034,0.256,1,2,11
0,.167,.167,0.286,1,0,2
0,.278,.236,0.353,17,6,24
1,.174,.087,0.267,2,4,12
0,.000,.000,0.2,0,0,3
0,.484,.317,0.386,40,19,37
0,.462,.385,0.467,5,1,4
1,.268,.177,0.218,29,17,45
0,.350,.225,0.326,9,5,19
0,.250,.250,0.25,2,0,2
0,.182,.091,0.259,4,1,17
1,.423,.241,0.352,33,21,45
0,.272,.232,0.329,29,7,43
0,.133,.100,0.182,3,3,11
0,.404,.298,0.411,14,8,16
0,.304,.174,0.345,4,1,8
0,.280,.260,0.339,13,3,15
0,.135,.135,0.179,5,0,16
5,.486,.313,0.377,67,39,55
1,.250,.205,0.308,9,6,15
2,.291,.200,0.28,33,14,49
0,.545,.364,0.432,12,7,10
