Player,AVG,R,3B,SF,BB,SO,SH,2B,RBI
R Oduber,0.0,0,0,0,0,0,0,0,0
E Zambrano,0.268,15,0,0,10,26,4,4,12
A Vasquez,0.268,38,1,2,15,61,6,18,38
D Longley,0.24,4,1,0,1,12,0,0,3
R Cabrera,0.273,47,0,4,36,43,0,22,52
E Gonzalez,0.357,21,3,0,7,23,0,6,16
S Fuld,0.429,4,0,0,2,1,0,2,2
K Johnson,0.259,61,4,5,42,80,1,25,39
S Schoop,0.217,29,0,1,24,56,3,13,25
S Nicol,0.247,17,0,0,8,19,0,6,3
E Duran,0.224,36,2,1,21,57,5,10,25
J Centeno,0.286,8,0,0,6,11,0,5,8
K Hobson,0.215,18,0,0,15,41,0,8,21
A Westlake,0.236,53,1,4,32,120,0,20,49
S Ochinko,0.204,5,0,0,1,5,0,2,8
K Serna,0.273,20,1,0,4,24,2,7,14
J Toole,0.275,25,1,1,14,32,1,13,25
C Albernaz,0.181,19,0,1,10,43,13,6,17
A Munoz,0.043,2,0,1,1,7,0,0,2
G Jacobo,0.146,5,0,2,6,37,0,5,15
Z Collier,0.24,39,4,1,22,82,2,10,29
A Villalona,0.227,35,4,2,23,94,0,18,54
L Davis,0.156,2,0,0,5,10,0,1,7
T LaTorre,0.263,21,0,3,16,43,0,8,12
J Wendle,0.253,46,5,4,26,56,0,20,50
C Walker,0.301,58,2,4,38,83,0,15,77
J Krizan,0.293,68,2,4,53,47,3,31,56
H Gimenez,0.235,6,0,0,2,14,0,3,5
J Rodriguez,0.192,2,0,0,2,2,0,0,1
L Michael,0.34,13,0,0,7,11,0,1,1
N Swisher,0.5,0,0,0,0,1,0,2,2
C Marrero,0.235,30,1,2,20,40,0,10,42
C Serritella,0.186,5,0,1,7,34,0,3,7
D Herrera,0.34,50,3,6,29,52,0,17,48
J Flores,0.293,19,1,0,11,27,3,8,16
G Ngoepe,0.238,58,9,2,51,135,7,17,52
R Rodriguez,0.228,52,0,6,25,92,2,25,34
C Leonida,0.236,12,0,0,14,29,0,10,5
P Mooney,0.161,2,0,0,1,7,0,1,4
C Alonso,0.272,76,3,1,60,70,6,22,44
E Williams,0.233,2,0,3,2,5,2,1,5
M Clark,0.297,32,0,4,25,45,0,14,46
D Ortiz,0.324,22,2,1,4,34,1,16,31
M Newman,0.242,25,4,5,16,81,3,22,39
D Chung,0.24,13,0,2,6,14,1,6,12
W Nieves,0.083,0,0,0,0,2,0,0,1
C Perkins,0.342,25,1,0,20,30,4,19,34
O Linton,0.253,22,2,0,17,34,3,7,13
J Smith,0.248,52,4,3,33,82,0,24,50
J Roof,0.255,24,2,0,19,46,2,11,20
M Lemon,0.252,24,1,1,12,31,3,9,14
M Duffy,0.332,53,4,6,42,66,0,24,62
T Thomas,0.241,71,6,3,37,141,0,29,45
J Boyd,0.293,60,2,3,52,67,0,22,59
S Moya,0.276,81,3,8,23,161,0,33,105
Q Latimore,0.277,48,2,4,36,75,5,10,41
B Boyer,0.246,19,3,5,13,33,4,7,26
R Sandoval,0.262,14,0,0,9,33,0,4,12
C Maron,0.5,0,0,0,0,1,0,0,0
R Lollis,0.217,21,3,2,17,28,3,4,17
B Miller,0.304,9,2,0,9,21,0,5,12
D Gamache,0.275,22,0,1,11,32,2,11,27
M McDade,0.25,25,0,3,20,57,0,11,36
K De La Cruz,0.295,30,0,3,14,55,0,15,30
