iFenwick,iFenwick/60,A,G
361,12.85,24,19
203,4.46,29,9
356,7.08,29,10
218,7.95,13,3
315,11.27,27,16
338,8.45,41,19
277,9.06,33,20
311,10.31,32,11
168,3.27,17,3
367,9.72,36,23
465,10.82,58,40
257,9.57,28,22
307,8.58,43,28
186,6.30,11,7
200,3.34,30,4
439,10.23,55,38
248,6.68,47,16
397,9.25,51,31
269,5.85,20,2
233,4.15,30,2
320,11.02,16,9
233,8.67,19,20
382,9.92,22,15
500,13.66,26,30
568,11.89,54,31
479,10.02,42,27
180,7.31,16,9
108,4.21,13,1
425,10.22,39,34
478,13.29,57,42
322,9.44,33,19
407,10.12,40,24
389,11.42,22,9
629,15.26,30,48
439,9.43,40,32
230,6.43,29,15
493,12.27,39,29
197,4.37,33,10
86,3.85,12,1
143,6.68,17,1
295,10.60,18,19
299,8.54,25,13
188,4.35,23,4
294,9.24,20,19
91,2.80,26,4
732,15.43,53,56
543,11.35,46,43
450,11.52,17,35
265,7.51,26,22
456,11.59,32,32
551,9.85,84,54
273,5.75,20,6
211,5.48,20,6
264,10.13,30,17
265,9.88,18,13
97,3.39,23,1
271,9.62,11,16
599,13.57,48,39
205,6.62,17,8
105,3.61,5,0
190,7.10,25,15
327,8.09,40,36
444,12.46,34,31
257,9.86,21,13
487,11.15,42,41
622,13.04,49,38
317,8.21,40,24
414,9.88,45,32
217,6.88,36,23
601,11.53,78,48
159,3.83,20,5
368,10.01,28,17
142,3.59,31,5
284,7.30,36,25
613,11.78,57,58
203,8.29,23,13
246,5.50,32,6
355,10.55,40,33
126,5.68,10,3
637,13.59,43,51
187,4.49,24,7
210,7.15,17,8
128,4.30,20,5
274,5.20,23,19
478,10.00,79,37
428,11.32,38,22
239,6.52,45,22
339,13.31,30,17
155,5.45,12,6
166,6.86,19,12
415,10.71,43,33
302,12.61,63,37
521,11.83,52,42
203,3.71,23,7
207,9.10,27,22
238,4.45,26,6
314,9.57,16,13
139,4.71,11,5
420,10.16,66,30
237,10.54,18,17
479,13.28,23,25
101,4.80,4,1
216,6.92,20,15
414,11.41,41,27
414,7.51,33,16
279,8.21,30,16
287,5.39,36,10
325,4.93,32,12
182,3.73,20,3
287,11.03,11,12
409,10.81,43,42
312,9.25,33,23
258,6.06,41,31
309,5.74,38,9
503,11.12,61,57
204,5.67,22,7
272,4.33,34,8
491,9.17,26,8
469,8.03,45,13
394,7.75,62,32
508,12.04,61,41
168,5.14,27,15
377,7.39,75,18
364,8.23,59,34
662,11.97,62,80
315,4.80,38,6
250,10.19,25,27
323,8.72,34,15
319,5.19,67,4
317,7.94,31,27
367,13.14,25,13
335,6.37,47,12
337,6.38,29,6
189,8.49,19,14
