G,Player,AB,OBP,CS,POS
10,R Dent,35,.463,3,DH
25,C Maddox,75,.321,0,C
40,B Nicolas,156,.321,2,OF
38,A Morales,121,.357,5,OF
1,R Gonzalez,0,--,0,P
6,J Smith,18,.211,0,DH
10,J Paquette,22,.240,0,C
2,S Choo,5,.333,0,DH
2,P Kelly,5,.200,0,SS
44,J Guzman,151,.261,3,SS
35,R Tejada,120,.401,1,SS
17,D Elorriaga-Matra,42,.196,0,C
31,S Leon,94,.324,0,C
36,L Poole,88,.363,3,OF
51,C Lester,191,.357,7,OF
39,J Spiers,102,.352,3,2B
12,J Bert,28,.361,2,CF
4,C Duffy,13,.400,0,OF
7,T Cruz,32,.382,0,3B
32,B Pullen,95,.286,1,3B
40,C Mendez,132,.291,1,3B
24,R Sanchez,80,.247,1,3B
40,J Bowen,126,.329,0,C
3,F Martinez,9,.200,0,OF
26,R Arias,64,.231,0,C
48,K Ahrens,165,.339,0,SS
42,D McDonald,134,.257,5,OF
37,L Mercedes,100,.280,4,SS
17,Z Booker,47,.450,2,C
7,R White,23,.500,0,OF
1,N Jackson,2,.667,0,OF
59,F Freeman,224,.295,2,1B
7,E Ontiveros,18,.227,0,SS
49,G Zavala,165,.364,0,OF
9,F Parra,18,.200,0,C
12,G Haran,31,.342,0,C
14,B Clevlen,48,.346,0,OF
50,C White,183,.356,4,OF
55,L Ellis,210,.297,2,OF
4,J Poppert,12,.250,0,C
27,J Cabrera,66,.292,1,3B
45,Q Latimore,171,.352,4,OF
57,K Bolt,207,.336,1,1B
53,P Baez,201,.341,1,3B
31,J Morales,102,.327,3,SS
42,J Fitzpatrick,127,.382,1,1B
2,M Mora,7,.286,0,3B
34,C Huang,116,.273,1,1B
6,S McGill,11,.333,0,C
23,C House,56,.351,0,C
27,L Fernandez,67,.329,1,SS
2,D Wise,6,.333,0,OF
27,D Rams,97,.311,0,C
44,S Souza,144,.299,1,3B
10,S Thomas,26,.407,0,C
10,T Blanco,27,.406,0,OF
1,L Tapia,0,1.000,0,C
43,D Scott,140,.359,1,1B
43,C Lin,175,.330,3,OF
40,D Mesoraco,137,.310,0,C
28,E Solano,95,.314,6,SS
32,R Tomas,111,.303,0,SS
35,C Maddox,102,.257,1,LF
43,R Moreta,154,.262,4,SS
10,R Gorecki,32,.389,0,OF
8,M Stanton,26,.321,0,OF
32,O Rodriguez,113,.319,4,OF
13,A Molina,51,.444,1,OF
43,M Pasek,140,.288,1,SS
18,G Erickson,49,.311,1,C
33,J Montero,107,.366,0,C
2,J Wolff,4,.250,0,2B
32,C Pridmore,77,.283,0,3B
38,Y Garcia,127,.338,1,SS
34,D Blocker,113,.373,0,3B
7,J Hage,28,.452,0,OF
51,F Murillo,178,.324,1,1B
1,W Polo,4,.750,0,OF
6,V Buttler,22,.360,0,OF
9,B Bartles,29,.438,0,3B
50,J Chavez,176,.389,2,OF
9,N Reimold,30,.410,0,OF
50,A De Castro,177,.354,1,SS
56,S Sime,217,.313,2,SS
8,J Stanley,23,.370,0,OF
8,J Heyward,27,.355,1,CF
37,T Hagan,122,.441,3,OF
30,C Jacobs,96,.327,0,1B
41,C Parra,92,.287,0,OF
48,K Sanchez,176,.338,1,3B
15,S Roof,40,.423,2,SS
34,B Biela,106,.408,3,C
37,R White,104,.367,3,SS
45,J Beresford,139,.349,2,SS
36,V Alvarez,99,.373,0,SS
45,D Berres,118,.258,3,OF
5,M Alou,15,.412,0,LF
14,C Reyes,18,.111,0,C
8,B Monk,22,.280,0,2B
2,D Carpenter,1,.000,0,C
45,O Tejeda,173,.344,2,SS
30,T Binkoski,96,.306,1,OF
1,C Angelini,1,.000,0,1B
16,W Ibarra,39,.304,1,SS
12,P Cech,26,.333,1,C
34,L Rincon,127,.252,1,1B
39,O Morales,131,.384,1,1B
19,C Silva,67,.314,0,1B
27,R Martinez,88,.350,0,C
48,K Orr,158,.330,1,C
15,M Mayer,33,.316,0,OF
1,A Romine,2,.667,0,C
47,A Oliveras,162,.240,0,CF
8,J Egan,28,.206,0,C
19,T Johnson,52,.288,0,SS
21,D King,47,.245,0,OF
3,C Ebarb,9,.500,0,C
49,M Mesa,153,.293,3,OF
6,A Rizzo,21,.375,0,1B
27,J Garcia,78,.378,1,3B
37,I Medrano,136,.369,3,OF
9,K Harrington,25,.222,0,OF
37,J Bastardo,114,.315,3,OF
24,D Dixon,64,.342,0,OF
49,K Castro,177,.308,1,SS
54,J Richardson,202,.364,10,3B
31,J Martinez,92,.350,0,OF
4,G Casanova,15,.375,0,2B
1,C Gilliam,0,--,0,P
19,P Maat,42,.352,0,C
1,D Ivany,3,.400,0,C
12,R Prall,26,.143,0,C
35,J Short,102,.360,3,OF
22,E Harryman,69,.195,0,SS
32,G Rodriguez,86,.347,2,C
3,D Hernandez,11,.182,0,1B
53,A Quiroz,195,.378,5,OF
26,G Manzanillo,71,.270,4,2B
28,Y Canal,86,.319,3,OF
30,L Arlet,109,.353,3,OF
1,L Bond,4,.000,0,OF
49,A Almonte,160,.372,9,2B
35,B Hubbert,128,.290,3,OF
26,E Gonzalez,103,.321,1,SS
27,M Crockett,101,.368,3,OF
17,R Nolan,55,.311,2,C
12,J Martin,29,.343,0,C
54,T Mattair,200,.297,1,3B
3,J Martinez,10,.273,0,C
33,F Martinez,87,.296,1,OF
