OBP,Player,AB,Team,R,SB,CS,3B,AVG
--,J Castillo,0,MXO,0,0,0,0,--
.401,R Mendez,312,VRA,51,5,6,1,.260
.303,C Zazueta,354,MIN,40,9,6,4,.254
.391,F Romero,328,QR,52,18,18,2,.256
.303,L Martinez,338,LAR,39,6,3,0,.287
.214,M Patino,54,OAX,6,0,2,0,.185
.345,S Guerrero,257,LAR,25,3,0,1,.245
.387,V Bojorquez,415,MXO,75,5,7,6,.364
.447,E Durazo,173,MTY,29,0,0,0,.341
.416,J Galarraga,368,MIN,50,10,7,5,.318
.248,N Becerra,122,OAX,11,1,1,0,.156
.313,B Lopez,214,MTY,32,1,2,0,.266
.412,D Cesar,433,VAQ,94,24,8,2,.330
--,A Osuna,0,QR,0,0,0,0,--
--,J Duran,0,MTY,0,0,0,0,--
.382,R Saucedo,295,MXO,54,0,0,0,.315
.339,M Santana,378,TAB,40,0,5,4,.294
.302,J Nieves,42,OAX,7,0,0,0,.286
.413,A Machado,159,OAX,30,4,6,1,.283
.381,M Ojeda,318,MXO,52,7,7,1,.286
.401,S Rodriguez,331,PUE,53,7,6,2,.341
.297,H Hernandez,232,VRA,26,4,2,2,.263
.371,R Martinez,378,TIJ,44,3,2,0,.310
.386,R Sanchez,158,VRA,24,4,3,0,.342
.000,R Pacheco,13,TIJ,0,0,0,0,.000
.361,L Suarez,279,QR,43,2,9,1,.290
.379,R Lopez,146,MXO,25,0,0,0,.295
.345,J Rivera,338,CAM,46,4,2,2,.272
.384,E Garabito,391,VRA,61,15,11,1,.279
.342,H Arredondo,348,TAB,51,4,2,0,.293
--,E Salgado,0,LAR,0,0,0,0,--
.257,H Hurtado,131,CHI,7,0,0,0,.206
.314,F Rivera,45,SLT,4,0,0,0,.222
--,L Navarro,0,YUC,0,0,0,0,--
.278,A Munoz,262,TIJ,24,4,0,0,.214
.360,R Navarrete,23,TAB,4,1,0,1,.304
.000,E Haro,1,QR,0,0,0,0,.000
.313,C Rodriguez,159,MTY,15,0,0,0,.245
.286,F Alejos,68,YUC,10,3,1,2,.206
.222,J Aguilar,18,MVA,5,1,0,0,.222
.354,R Irazoqui,55,TIJ,11,0,1,1,.236
.125,R Ruiz,24,TAB,1,0,1,0,.125
.410,M Carrillo Sr.,183,QR,34,2,7,1,.328
.398,I Salas,112,MVA,13,3,2,2,.366
.306,J Amador,34,MIN,2,0,0,0,.265
.217,R Candelario,67,VRA,2,0,0,0,.194
.369,A Amezcua,233,MTY,26,2,3,1,.292
--,A Herrera,0,TIJ,0,0,0,0,--
.283,A Abad,107,PUE,10,0,1,0,.196
.335,O Sandoval,238,QR,30,1,2,1,.294
.413,E Guzman,234,QR,31,1,3,0,.308
.349,W Arano,190,CHI,18,2,1,0,.284
.396,J Macias,301,MXO,56,6,5,8,.349
.361,J Serna,51,VRA,8,0,0,0,.255
.347,J Diaz,113,LAR,9,0,1,0,.283
.318,O De La Torre,352,PUE,46,2,2,3,.276
.316,J Brena,234,OAX,29,2,0,1,.239
.333,A Rodriguez,5,MVA,1,0,0,0,.200
.500,J Reyes,1,TAB,0,0,0,0,.000
.378,A Martinez,328,QR,43,16,7,1,.314
.200,J Cordova,27,MXO,0,0,1,0,.111
.171,M Rivera,34,MIN,3,0,0,0,.147
--,J Ramon,0,MXO,0,0,0,0,--
.390,L Borges,378,YUC,52,2,2,2,.325
.417,P Diaz,284,MVA,52,0,3,1,.335
.371,R Acosta,55,MXO,18,6,2,0,.309
.341,J Salazar,280,MVA,36,5,5,1,.279
.372,G Meza,353,MVA,36,3,3,1,.303
.304,R Gonzalez,226,LAR,29,7,5,0,.274
.435,O Ramirez,358,TIJ,68,4,3,0,.316
.292,L Bustillos,104,CHI,15,1,1,0,.250
.402,J Hernandez,64,TIJ,4,0,0,0,.188
.372,L Matos,336,YUC,58,22,10,2,.289
--,A Gonzalez,0,MXO,2,0,1,0,--
.000,L Gonzalez,1,TIJ,0,0,0,0,.000
.390,M Flores,294,MTY,48,9,2,1,.316
.488,R Petagine,129,MXO,25,0,1,1,.372
.397,E Arredondo,289,MXO,53,9,9,2,.349
.369,D Leon,345,VAQ,42,2,1,0,.267
--,S Rodriguez,0,TAB,0,0,0,0,--
.341,G Vazquez,378,LAR,49,16,7,5,.267
.400,J Rushford,20,OAX,1,0,0,0,.250
--,C Gutierrez,0,VAQ,0,0,0,0,--
.377,M Martinez,356,TAB,59,14,8,2,.289
.388,L Figueroa,262,PUE,27,0,0,0,.332
.250,E Martinez,71,VAQ,7,0,1,0,.225
.349,H Leal,231,OAX,31,1,3,3,.299
.303,N Garcia,311,VAQ,47,1,4,0,.273
.143,F Cervera,6,CAM,1,0,0,0,.000
.291,M Esquivel,210,TIJ,22,3,1,4,.267
.364,R Aguirre,99,OAX,15,0,1,2,.313
.272,E Gutierrez,196,CAM,31,2,2,3,.199
.426,S Almeida,220,VRA,25,0,1,0,.345
.340,J Sandoval,291,MXO,34,1,0,0,.271
.411,F Mendez,365,CHI,52,0,0,0,.301
.408,C Quintero,390,OAX,76,21,5,2,.359
.267,B Valdez,80,YUC,7,0,0,0,.238
.282,E Rangel,36,TAB,1,0,1,0,.222
.371,G Gil,326,MXO,53,1,0,2,.298
.371,J Arredondo,241,PUE,29,0,2,1,.257
.345,A Ahumada,157,CHI,18,10,1,2,.312
.318,Y Angulo,115,OAX,17,5,1,2,.226
.347,E Rodriguez,324,OAX,28,1,1,0,.302
.379,F Acosta,26,CAM,4,0,0,0,.308
.376,A Nunez,109,VAQ,19,1,2,0,.257
.356,M Torrero,177,PUE,13,0,1,0,.254
