oppTAv,GS,oppRPA+,SLG
0.267,0,106,0.372
0.264,0,103,0.357
0.259,0,99,0.341
0.273,0,112,0.571
0.259,31,99,0.38
0.264,0,103,0.348
0.266,0,105,0.469
0.264,33,104,0.421
0.258,0,98,0.533
0.263,0,102,0.853
0.264,0,104,0.588
0.277,0,115,0.273
0.261,21,101,0.432
0.261,12,101,0.48
0.263,0,103,0.44
0.265,0,104,0.405
0.248,0,90,0.524
0.247,0,89,0.423
0.261,15,101,0.376
0.258,0,98,0.824
0.272,5,110,0.347
0.261,16,101,0.518
0.233,0,77,0.25
0.258,0,99,0.348
0.258,0,98,0.398
0.267,0,106,0.172
0.258,7,99,0.377
0.255,30,95,0.372
0.253,5,94,0.333
0.269,0,107,0.391
0.259,0,99,0.178
0.258,32,99,0.421
0.263,17,103,0.392
0.259,0,99,0.396
0.264,0,103,0.363
0.261,0,101,0.371
0.262,0,102,0.439
0.257,6,97,0.427
0.26,27,100,0.423
0.263,0,102,0.448
0.268,13,107,0.463
0.261,0,101,0.39
0.264,0,104,0.506
0.264,0,103,0.337
0.261,0,101,0.49
0.256,20,97,0.458
0.257,0,97,0.34
0.254,30,95,0.479
0.255,0,96,0.429
0.262,30,102,0.465
0.288,0,124,2.6
0.261,7,101,0.5
0.255,5,96,0.586
0.253,1,94,1.0
0.26,0,100,0.535
0.255,6,96,0.376
0.266,0,105,0.404
0.26,0,100,0.398
0.262,18,102,0.423
0.261,0,100,0.5
0.253,13,94,0.259
0.262,0,102,0.415
0.256,15,97,0.403
0.258,16,99,0.407
0.255,0,96,0.491
0.263,0,103,0.387
0.25,0,91,0.564
0.256,0,96,0.299
0.25,7,92,0.462
0.255,0,96,0.395
0.257,21,97,0.357
0.259,0,99,0.658
0.265,0,105,0.345
0.269,29,108,0.358
0.257,0,97,0.125
0.264,24,104,0.4
0.24,0,82,1.0
0.262,0,102,0.386
0.262,9,102,0.378
0.248,11,90,0.487
0.265,0,105,0.301
0.262,0,102,0.519
0.262,0,102,0.404
0.261,0,101,0.577
0.26,0,100,0.477
0.261,0,101,0.313
0.263,29,102,0.426
0.265,29,105,0.346
0.263,3,102,0.424
0.268,0,107,0.428
0.264,0,103,0.376
0.262,31,101,0.455
0.262,0,102,0.365
0.251,0,92,0.395
0.263,15,102,0.382
0.257,5,97,0.432
0.258,0,98,0.53
0.258,0,98,0.392
0.258,0,98,0.467
0.258,0,98,0.293
0.268,0,107,0.349
0.265,0,105,0.302
0.265,0,104,0.273
0.251,0,92,0.3
0.26,0,100,0.397
0.26,0,100,0.432
0.261,6,101,0.444
0.257,0,97,0.333
0.252,4,93,0.464
0.261,0,101,0.472
0.258,33,98,0.426
0.262,0,101,0.393
0.264,0,104,0.379
0.266,33,105,0.383
0.265,0,105,0.31
0.267,0,106,0.386
0.264,1,104,0.593
0.255,20,95,0.402
0.253,33,94,0.362
0.259,0,99,0.36
0.254,21,95,0.405
0.261,17,101,0.455
0.251,0,93,0.539
0.259,15,99,0.379
0.265,0,105,0.326
0.263,10,103,0.338
0.276,0,114,1.333
0.228,0,72,0.714
0.269,0,108,0.579
0.256,28,97,0.391
0.262,26,102,0.385
0.258,0,98,0.524
0.263,0,102,0.371
0.264,15,104,0.392
0.264,0,103,0.331
0.261,0,101,0.331
0.264,1,104,0.917
0.264,7,103,0.629
0.259,0,99,0.342
0.271,0,110,0.278
0.249,1,91,0.586
0.254,4,95,0.426
0.259,0,99,0.331
0.255,33,96,0.366
0.262,0,102,0.378
0.258,0,98,0.0
0.261,12,101,0.4
0.262,0,102,0.47
0.255,15,96,0.593
0.26,0,100,0.4
0.265,0,104,0.358
0.265,0,104,0.338
0.264,29,103,0.418
0.252,0,93,0.491
0.255,0,96,0.37
0.253,9,94,0.505
0.257,0,98,0.769
0.264,7,103,0.395
0.264,13,104,0.451
0.264,0,103,0.341
0.27,0,109,0.301
0.263,21,103,0.424
0.253,3,94,0.371
