GIDP,SB,Player,OPS,SLG,3B,SF,BB,R
7,0,A Bouchie,.543,.272,0,4,25,15
15,22,G Milner,.715,.372,7,4,56,74
11,7,D Descalso,.685,.372,2,5,33,57
0,0,M Alou,2.333,1.333,0,0,0,1
2,0,A Mansolino,.525,.265,1,0,5,5
3,1,J Diaz,.579,.219,0,2,25,9
16,0,R Strieby,.915,.563,7,5,46,65
6,4,G Martinez,.504,.228,0,0,17,12
4,0,C Harris,1.034,.575,0,6,27,25
1,0,A Casanova,.333,.167,0,0,0,0
1,34,G Burns,.677,.326,5,0,61,55
1,3,C Henry,.679,.359,0,0,5,7
6,8,Y Ortiz,.599,.292,3,4,27,36
4,3,K Randel,.922,.531,4,4,49,59
0,0,C DeVries,--,--,0,0,0,0
0,0,A Van Slyke,.384,.111,0,0,2,2
0,0,C Gutierrez,--,--,0,0,0,0
7,6,G Olson,.507,.258,0,2,9,19
2,0,E Contreras,.494,.300,0,0,1,2
2,3,D Brinkley,.664,.313,0,0,6,11
0,2,T Baldridge,.653,.293,0,1,12,13
3,1,H Pellot,.438,.188,0,1,8,11
3,1,M Hall,.515,.239,0,1,11,7
8,8,D Barney,.682,.357,4,5,38,46
4,7,T Henley,.779,.438,4,4,27,47
0,0,H Garcia,.333,.000,0,0,0,0
1,5,M Arburr,.718,.405,0,1,26,32
2,1,J Webb,.668,.359,1,0,1,3
0,0,A Slama,--,--,0,0,0,0
0,0,M Anderson,.516,.231,0,0,1,0
9,3,L Sanchez,.635,.305,4,2,39,44
9,4,T Green,.825,.443,0,4,61,46
0,0,J Ruhlman,--,--,0,0,0,0
0,0,A Luna,.383,.080,0,0,3,4
0,0,Y Alonso,.808,.368,0,1,5,1
5,5,J Callender,.521,.270,0,3,10,20
9,8,T Frazier,.808,.451,3,3,41,62
0,0,S Victorino,.971,.400,0,0,2,1
1,0,R Castro,1.117,.700,0,1,3,6
7,2,B Cartie,.716,.372,0,5,31,24
0,0,J Lugo,--,--,0,0,0,0
2,1,J Abruzzo,.788,.455,0,0,2,7
11,7,K Smith,.744,.407,1,4,32,51
1,0,M Smith,.875,.542,0,0,3,5
0,0,C Fontaine,.575,.267,1,0,16,11
11,18,C Suarez,.635,.348,2,7,16,43
1,0,Y Rodriguez,.000,.000,0,0,0,0
4,0,J Voyles,.623,.324,0,1,17,16
1,0,P Franko,.605,.304,0,1,4,4
0,1,D Navarro,1.467,.800,0,0,6,4
