VORP,SLG,TEAM,G,oppTAv,OBP,PPF,AB,LG
10.0,0.458,PHI,21,0.256,0.292,97,530,NL
21.1,0.368,SLN,33,0.255,0.274,98,804,NL
13.2,0.385,TOR,10,0.268,0.315,105,148,AL
-1.9,0.376,BAL,14,0.264,0.345,106,125,AL
3.9,0.407,ATL,30,0.26,0.294,100,651,NL
9.8,0.296,DET,50,0.262,0.299,106,189,AL
2.9,0.441,LAN,10,0.258,0.336,96,227,NL
1.0,0.548,SFN,4,0.248,0.378,87,42,NL
-4.3,0.411,MIA,22,0.264,0.36,94,73,NL
1.4,0.31,ARI,12,0.265,0.289,100,42,NL
-3.6,0.468,PIT,9,0.259,0.344,93,203,NL
1.5,0.505,SDN,13,0.253,0.38,94,204,NL
2.8,0.373,HOU,44,0.26,0.331,102,118,NL
0.9,0.426,BOS,29,0.263,0.33,104,711,AL
15.2,0.299,TBA,54,0.256,0.271,95,254,AL
1.2,0.321,CHN,25,0.265,0.357,103,78,NL
5.7,0.44,HOU,25,0.259,0.332,101,570,NL
9.1,0.418,PIT,24,0.253,0.341,97,491,NL
5.0,0.403,MIA,25,0.258,0.326,98,258,NL
0.4,0.4,KCA,13,0.258,0.438,103,60,AL
0.9,0.304,ANA,12,0.274,0.333,91,23,AL
-2.0,0.824,NYN,4,0.241,0.389,94,17,NL
1.4,0.371,CHN,30,0.261,0.311,103,132,NL
15.5,0.406,TEX,32,0.259,0.309,103,813,AL
-4.0,0.451,TOR,13,0.264,0.363,106,268,AL
13.6,0.438,BOS,29,0.263,0.337,105,625,AL
-6.4,0.418,PIT,32,0.257,0.315,96,658,NL
-1.3,0.643,CLE,9,0.246,0.515,100,28,AL
-0.0,0.1,SFN,6,0.264,0.333,91,10,NL
8.5,0.288,CHA,51,0.261,0.273,106,170,AL
8.5,0.376,CLE,61,0.262,0.277,99,221,AL
0.1,0.0,NYN,1,0.213,0.0,93,2,NL
-2.5,0.7,COL,3,0.257,0.365,101,50,NL
-2.6,0.443,BOS,41,0.263,0.311,104,176,AL
-1.9,0.358,MIA,35,0.258,0.356,96,491,NL
3.6,0.178,CHA,24,0.259,0.184,109,45,AL
9.5,0.349,MIL,72,0.26,0.344,109,255,NL
-0.9,0.663,NYN,8,0.259,0.381,95,86,NL
2.1,0.462,CLE,26,0.257,0.358,101,132,AL
7.4,0.358,PHI,65,0.265,0.305,99,193,NL
0.1,0.471,OAK,6,0.256,0.5,87,17,AL
10.4,0.511,NYA,28,0.263,0.349,102,673,AL
10.9,0.261,OAK,71,0.266,0.256,95,253,AL
-2.2,0.75,TBA,5,0.244,0.409,98,20,AL
18.9,0.363,MIA,31,0.255,0.315,95,713,NL
-4.9,0.524,OAK,5,0.261,0.398,87,82,AL
0.7,0.41,DET,13,0.264,0.312,105,83,AL
6.5,0.283,MIL,6,0.264,0.318,107,99,NL
5.1,0.376,CHA,74,0.264,0.313,106,245,AL
31.2,0.389,MIL,23,0.257,0.305,109,493,NL
-5.1,0.535,PHI,35,0.26,0.348,100,129,NL
-0.4,0.445,CHA,9,0.26,0.345,103,209,AL
10.3,0.4,DET,12,0.261,0.314,105,295,AL
0.0,0.6,SFN,2,0.258,0.5,140,10,NL
-4.5,0.408,SLN,70,0.263,0.321,98,179,NL
-0.6,0.0,LAN,1,0.267,0.5,87,2,NL
1.7,0.333,PIT,17,0.265,0.281,93,54,NL
8.9,0.386,ATL,18,0.254,0.341,99,347,NL
-0.4,0.633,SLN,4,0.255,0.375,94,30,NL
19.2,0.383,TBA,33,0.266,0.295,95,869,AL
3.2,0.39,PHI,35,0.263,0.333,102,123,NL
-4.8,0.385,PIT,66,0.256,0.292,95,288,NL
-0.1,0.5,ARI,1,0.261,0.6,105,4,NL
0.7,0.388,CLE,34,0.263,0.348,99,788,AL
11.7,0.34,WAS,59,0.257,0.296,103,326,NL
6.0,0.275,PHI,32,0.264,0.29,98,109,NL
-1.2,0.515,OAK,26,0.262,0.357,96,103,AL
0.7,0.405,MIN,30,0.259,0.267,105,116,AL
-0.1,0.412,SFN,1,0.27,0.524,86,17,NL
-0.4,0.464,MIN,44,0.262,0.334,106,373,AL
13.0,0.357,TEX,66,0.264,0.273,105,238,AL
-2.0,0.579,ANA,3,0.269,0.4,86,19,AL
12.9,0.407,PHI,25,0.256,0.306,96,594,NL
39.5,0.377,PHI,31,0.254,0.285,100,802,NL
-0.1,0.427,LAN,10,0.261,0.344,93,218,NL
9.5,0.426,HOU,71,0.266,0.336,100,270,NL
0.9,0.357,PIT,4,0.264,0.438,96,14,NL
-1.3,0.54,ARI,9,0.263,0.37,106,187,NL
-7.4,0.561,HOU,5,0.258,0.403,99,98,NL
4.9,0.438,MIN,17,0.263,0.296,107,349,AL
5.4,0.288,TEX,37,0.263,0.178,104,125,AL
12.2,0.36,BAL,69,0.263,0.254,104,242,AL
-0.1,1.5,NYN,1,0.219,0.8,93,4,NL
9.2,0.367,WAS,70,0.263,0.307,100,221,NL
2.3,0.484,HOU,30,0.258,0.411,102,126,NL
4.8,0.324,SEA,33,0.264,0.303,90,111,AL
18.2,0.421,CIN,32,0.258,0.301,101,782,NL
-2.7,0.369,SDN,67,0.26,0.305,93,241,NL
6.8,0.357,TEX,58,0.26,0.259,104,241,AL
-6.4,0.444,ARI,6,0.261,0.341,100,117,NL
-1.5,0.852,HOU,6,0.269,0.563,108,27,NL
2.4,0.222,ANA,1,0.239,0.167,91,18,AL
8.2,0.374,KCA,7,0.267,0.297,105,139,AL
12.1,0.446,TOR,38,0.264,0.312,106,466,AL
19.3,0.41,LAN,25,0.255,0.315,91,575,NL
14.7,0.423,MIA,31,0.261,0.331,95,751,NL
-1.1,0.48,MIN,12,0.261,0.356,107,244,AL
-4.0,0.786,NYN,3,0.247,0.4,116,42,NL
10.4,0.414,CHN,77,0.26,0.314,99,263,NL
-0.1,0.473,SEA,26,0.265,0.317,93,598,AL
2.4,0.382,LAN,31,0.26,0.329,95,678,NL
-1.3,0.387,SFN,60,0.263,0.361,92,194,NL
-18.8,0.435,SDN,33,0.255,0.304,95,853,NL
0.3,0.364,MIL,6,0.261,0.316,110,33,NL
-2.0,0.409,WAS,66,0.262,0.3,102,237,NL
11.0,0.429,MIN,55,0.262,0.33,105,438,AL
-0.6,0.439,HOU,35,0.262,0.323,99,123,NL
-6.7,0.444,TOR,22,0.26,0.333,107,385,AL
3.9,0.308,SFN,27,0.258,0.301,92,65,NL
0.8,0.427,KCA,12,0.259,0.347,102,131,AL
14.5,0.423,DET,23,0.262,0.309,104,376,AL
-2.6,0.917,CHA,1,0.264,0.52,109,24,AL
20.8,0.172,ATL,63,0.267,0.186,99,215,NL
7.9,0.376,BAL,15,0.261,0.263,101,319,AL
-1.2,0.647,CIN,1,0.234,0.545,102,17,NL
3.3,0.333,CHA,1,0.237,0.5,112,3,AL
2.2,0.385,MIL,14,0.268,0.347,104,65,NL
-2.3,0.7,TOR,10,0.259,0.429,105,30,AL
24.1,0.366,CIN,33,0.255,0.302,101,815,NL
-1.8,0.432,CLE,63,0.26,0.307,100,206,AL
2.1,0.292,KCA,18,0.253,0.275,103,65,AL
3.7,0.347,LAN,5,0.272,0.348,89,98,NL
29.2,0.318,TBA,31,0.261,0.284,98,767,AL
-0.8,0.5,SLN,6,0.269,0.423,107,20,NL
0.7,0.538,SFN,26,0.259,0.374,101,80,NL
-0.2,0.5,NYN,5,0.263,0.397,101,64,NL
-0.4,0.4,ARI,64,0.26,0.347,105,220,NL
3.9,0.331,SFN,44,0.26,0.26,92,163,NL
1.6,0.3,COL,6,0.251,0.303,114,30,NL
5.6,0.362,HOU,37,0.263,0.325,100,141,NL
3.9,0.339,SEA,46,0.258,0.353,90,171,AL
15.7,0.423,HOU,29,0.258,0.329,99,650,NL
0.3,0.496,CHA,26,0.257,0.349,104,409,AL
3.1,0.38,ARI,40,0.255,0.292,104,163,NL
-1.0,0.376,MIN,6,0.255,0.371,106,117,AL
-1.4,0.426,ARI,4,0.254,0.368,103,61,NL
4.7,0.485,KCA,16,0.261,0.368,100,355,AL
4.1,0.367,PIT,13,0.255,0.304,94,289,NL
0.6,0.588,MIA,4,0.255,0.471,89,17,NL
7.0,0.452,CLE,31,0.263,0.365,100,697,AL
-0.2,0.4,BAL,3,0.268,0.308,109,25,AL
2.1,0.456,CHA,14,0.268,0.351,109,204,AL
4.3,0.204,SLN,6,0.266,0.259,95,49,NL
-6.7,0.586,CHA,18,0.249,0.338,111,128,AL
-0.3,0.5,NYN,7,0.266,0.35,94,18,NL
6.7,0.441,CHN,26,0.256,0.305,100,574,NL
3.4,0.366,SDN,33,0.26,0.321,95,172,NL
-4.1,0.421,SEA,33,0.264,0.293,91,820,AL
-0.8,0.579,BAL,5,0.255,0.381,110,19,AL
-2.6,0.391,BOS,26,0.265,0.301,105,151,AL
-4.9,0.5,CHN,1,0.237,0.5,100,2,NL
3.9,0.296,NYA,70,0.262,0.305,103,135,AL
0.2,0.43,TOR,11,0.263,0.328,105,230,AL
7.0,0.348,HOU,64,0.264,0.277,99,244,NL
14.1,0.41,LAN,33,0.256,0.305,94,741,NL
-3.9,0.432,NYN,30,0.257,0.392,97,183,NL
-3.7,0.561,BOS,11,0.259,0.377,104,189,AL
14.1,0.346,DET,57,0.26,0.272,105,217,AL
10.0,0.372,MIL,62,0.259,0.366,109,234,NL
3.5,0.477,NYA,22,0.26,0.358,105,86,AL
-4.9,0.426,CHA,32,0.261,0.304,108,101,AL
-0.6,0.397,SLN,22,0.261,0.305,102,73,NL
6.1,0.455,NYA,30,0.261,0.328,101,415,AL
26.4,0.286,ATL,50,0.258,0.243,98,496,NL
-0.3,0.25,CHA,2,0.233,0.4,106,8,AL
7.6,0.355,SEA,16,0.267,0.262,90,217,AL
-1.9,0.667,WAS,7,0.259,0.4,100,33,NL
8.9,0.35,OAK,15,0.269,0.28,95,314,AL
19.3,0.486,KCA,34,0.262,0.328,102,764,AL
6.1,0.312,TBA,8,0.264,0.282,102,141,AL
-1.6,0.422,PIT,8,0.249,0.327,93,135,NL
-0.5,0.412,TBA,15,0.257,0.361,95,68,AL
-5.5,0.548,CHN,5,0.255,0.383,98,104,NL
-1.0,0.403,SDN,24,0.256,0.315,96,367,NL
-0.1,0.581,MIL,8,0.265,0.34,114,86,NL
10.7,0.301,BOS,37,0.265,0.257,105,163,AL
43.4,0.359,WAS,28,0.252,0.291,101,591,NL
2.4,0.37,NYA,17,0.255,0.306,106,92,AL
-2.6,1.333,SEA,2,0.276,0.7,105,9,AL
0.2,0.526,CHN,4,0.251,0.357,110,76,NL
-0.7,0.532,COL,20,0.263,0.391,116,79,NL
-3.5,0.544,ATL,11,0.261,0.404,99,206,NL
-5.3,0.586,WAS,10,0.255,0.442,103,133,NL
5.4,0.273,SEA,48,0.265,0.256,92,161,AL
13.4,0.421,WAS,31,0.257,0.298,102,713,NL
-1.1,1.0,NYA,1,0.269,0.588,103,15,AL
-0.4,0.487,OAK,7,0.27,0.316,95,152,AL
7.3,0.387,MIL,75,0.263,0.33,109,266,NL
-0.4,0.813,TBA,3,0.277,0.571,98,16,AL
0.3,0.332,HOU,77,0.266,0.306,99,199,NL
7.1,0.411,KCA,30,0.263,0.348,103,632,AL
30.6,0.362,NYN,34,0.253,0.278,94,848,NL
15.5,0.404,PIT,30,0.256,0.311,97,631,NL
3.8,0.326,BAL,34,0.265,0.329,107,138,AL
-3.0,0.517,MIN,12,0.262,0.381,106,89,AL
4.7,0.341,MIN,67,0.262,0.326,106,276,AL
0.8,0.136,LAN,11,0.28,0.269,93,22,NL
2.7,0.378,CIN,66,0.262,0.326,100,222,NL
7.3,0.43,CHA,62,0.26,0.324,107,214,AL
9.1,0.402,TBA,31,0.262,0.307,94,669,AL
28.4,0.392,SLN,32,0.256,0.309,99,758,NL
-3.3,0.471,CHN,13,0.254,0.453,105,70,NL
-2.0,0.588,TOR,6,0.264,0.325,103,34,AL
3.9,0.156,DET,8,0.258,0.264,108,45,AL
13.2,0.35,PIT,64,0.268,0.285,95,217,NL
-1.3,0.731,COL,2,0.264,0.485,118,26,NL
9.6,0.348,CLE,70,0.264,0.283,99,256,AL
-5.3,0.59,TOR,11,0.264,0.371,104,83,AL
7.9,0.432,DET,73,0.263,0.288,105,259,AL
17.2,0.198,TBA,76,0.264,0.219,94,258,AL
-1.7,0.398,NYN,34,0.26,0.295,96,93,NL
7.8,0.301,MIL,36,0.27,0.308,109,113,NL
1.9,0.406,ATL,11,0.253,0.295,97,261,NL
-0.9,0.769,ARI,3,0.257,0.4,103,13,NL
-0.8,0.375,LAN,40,0.264,0.323,90,136,NL
-3.6,0.563,DET,3,0.266,0.441,107,48,AL
21.5,0.331,KCA,67,0.264,0.323,102,248,AL
-2.7,0.352,SLN,17,0.254,0.362,96,54,NL
-1.4,0.44,NYN,17,0.263,0.339,96,50,NL
-1.1,0.393,CHN,18,0.257,0.301,101,382,NL
2.9,0.323,SLN,29,0.267,0.24,98,93,NL
28.4,0.401,SLN,35,0.255,0.327,100,663,NL
-1.6,0.5,MIL,10,0.258,0.429,115,26,NL
5.1,0.376,ATL,66,0.266,0.363,98,226,NL
-1.3,0.474,PHI,19,0.252,0.33,100,95,NL
4.4,0.502,COL,23,0.26,0.378,121,209,NL
5.3,0.512,MIL,25,0.249,0.368,111,570,NL
-1.6,0.761,COL,3,0.261,0.456,127,46,NL
