SLG,BB,SO,Player,HR,3B,CS,SH,G,2B
.000,0,1,J De Jesus,0,0,0,0,1,0
.279,6,17,V Moscote,2,1,1,2,29,1
.440,17,56,E Leonora,8,1,4,1,58,15
.337,35,36,R Bueno,0,3,6,6,60,5
.367,5,14,R Guzman,1,3,3,1,62,11
.307,11,34,F Contreras,1,4,1,3,54,8
.195,19,20,F Betemit,0,1,3,2,32,2
.222,62,73,E Sanchez,3,0,3,0,70,4
.087,1,5,F Santana,0,0,0,0,13,0
.247,8,29,J Silva,0,0,3,1,31,3
.593,5,11,J Pina,2,0,2,0,22,6
.241,7,20,A Mejia,0,1,0,0,20,2
.272,24,11,Y Mendoza,0,1,1,3,41,4
.279,15,20,R Urias,1,0,1,4,49,5
.210,8,20,R Valdez,0,0,2,2,29,4
.083,2,4,J Aleman,0,0,0,3,10,0
.284,21,42,J Romero,0,3,5,1,55,8
.328,25,67,F Sanchez,6,2,6,3,60,6
--,0,0,F Ramirez,0,0,0,0,2,0
.262,35,47,A Gonzalez,0,2,10,3,59,4
.235,14,27,J Santos,0,0,6,1,29,3
.260,6,9,J Tillero,0,0,1,0,20,0
.399,32,19,A Robles,0,1,6,8,55,8
.226,23,34,J Cipriota,0,0,5,1,50,3
.194,10,38,G Araujo,1,0,1,0,35,3
.226,16,30,E Concepcion,0,0,3,0,41,4
.309,15,25,A Hernandez,0,0,2,0,41,7
.406,9,29,E Abreu,3,2,2,0,35,5
.409,8,8,F Oguisten,0,1,3,1,25,3
.375,5,4,D Garcia,0,0,0,1,15,2
.384,22,24,W Rivas,2,1,4,2,55,10
.357,15,15,L Barahona,0,0,1,1,40,6
.261,18,92,L Martin,1,2,3,1,54,7
.363,18,65,W Romero,5,3,4,0,57,8
.371,21,11,F Castillo,2,0,0,0,42,9
.542,8,12,J Geraldo,3,0,2,0,18,8
.247,18,79,C Lara,2,3,4,3,61,3
.305,23,25,D Dominguez,0,3,5,4,42,3
.500,0,0,J Martinez,0,0,0,0,1,0
.089,10,13,N Parra,0,0,3,0,20,1
.376,3,26,R Herrera,3,0,1,0,26,3
.000,0,0,V Chavez,0,0,0,0,1,0
.269,9,24,H Peralta,1,1,1,2,39,4
.235,35,42,R Mejias,1,1,3,4,55,5
.322,37,62,H Veloz,2,0,6,2,67,16
.155,0,21,F Castillo,0,0,0,2,21,1
.404,19,43,J Bogaerts,2,2,0,0,47,8
.500,15,28,J Ramirez,3,2,0,2,44,13
.259,14,17,W Petit,2,0,0,3,54,4
.201,27,34,V Cuevas,0,2,6,1,49,1
.244,17,24,R Duncan,0,0,2,1,38,3
.368,9,23,F Polanco,2,0,4,2,58,7
.269,17,62,D De La Cruz,1,1,6,3,62,8
.222,1,26,E Maldonado,0,1,0,2,22,2
.305,17,57,A Chavez,0,1,3,2,58,14
.242,28,25,J Giron,0,0,3,2,59,6
.308,9,41,C Obispo,0,2,2,0,39,7
.538,3,12,D Rivera,1,0,0,0,12,5
.304,14,22,P Miranda,0,1,9,1,35,1
.459,30,20,O Arcia,6,1,4,0,64,16
.232,7,22,R Gonzalez,0,0,0,0,21,3
.454,15,40,E Moronta,5,1,2,0,47,10
--,0,0,W Telles,0,0,0,0,1,0
.203,11,23,L Cruz,0,0,2,1,36,2
.343,31,54,Y Gerald,4,1,9,4,62,10
.214,4,23,A Castillo,0,0,0,0,32,3
.360,17,17,M Sanchez,2,0,1,0,32,6
.206,7,14,J Meneses,0,0,0,0,19,0
.345,12,43,F Santana,3,2,6,0,49,7
.000,0,0,A Santana,0,0,0,0,2,0
.165,9,26,M Avea,0,0,1,0,37,0
.339,11,9,J Pimentel,0,0,0,0,16,5
.464,9,11,J Javier,0,1,0,0,18,5
.430,8,21,P Acosta,2,0,1,0,22,8
.187,6,22,D Ledezma,0,0,0,1,34,2
.426,35,35,K Encarnacion,1,11,8,0,66,4
.228,16,50,J Calderon,0,1,3,3,48,6
.398,22,33,A Pacheco,0,7,8,3,58,7
.217,2,9,R Lorenzo,0,0,1,1,16,3
.288,25,29,Y Ruiz,0,3,5,4,65,4
.540,13,22,P Toribio,4,10,4,6,52,10
.461,35,60,L Tejada,8,2,6,1,67,12
.408,7,9,O Pascual,2,1,0,0,27,3
.340,15,27,J Peraza,1,3,7,6,66,5
.074,3,8,J Romero,0,0,0,1,18,0
.311,38,22,L Villegas,1,0,1,1,53,8
.407,6,42,R Nunez,5,0,2,1,53,12
.279,20,19,H Suarez,0,0,0,0,27,3
.226,10,15,A Raga,0,0,3,3,47,4
.307,15,17,A De La Rosa,1,0,4,2,29,3
.239,8,18,Y Polanco,0,0,2,0,27,1
.413,36,52,D Arcila,5,4,4,0,65,12
--,0,0,J Brazoban,0,0,0,0,1,0
.247,12,17,J Delgado,0,0,2,0,35,3
.371,6,26,J Sanchez,3,0,3,0,44,6
.441,23,31,G Pena,3,5,6,2,61,7
.356,14,10,A Paz,0,0,3,0,24,3
.306,3,12,F Pizzoli,1,1,0,4,28,3
.300,2,1,Y De Jesus,0,0,0,0,3,0
.250,1,16,C Acevedo,0,0,0,0,18,2
.323,18,12,L Urena,0,1,3,3,31,2
.204,3,13,A Calero,0,0,1,1,15,0
.000,0,1,J Alonzo,0,0,0,1,1,0
.344,25,28,M Santana,0,4,3,5,56,11
.184,17,26,F Martinez,0,1,3,0,36,2
.424,35,25,M Reyes,3,3,13,1,55,5
.441,15,28,D Mejia,3,1,0,0,56,14
.311,11,47,E Guerrero,0,1,1,2,53,11
.300,10,29,F Bido,1,1,4,1,48,9
.336,13,42,S Acevedo,2,2,5,1,51,3
.241,22,25,D Castro,0,1,9,10,55,7
.286,8,27,R Valdez,1,0,3,2,45,3
.086,4,26,Y Del Rosario,0,0,0,0,14,0
.392,8,29,R Garcia,3,1,2,0,42,6
.288,10,19,C Bautista,1,0,3,0,32,4
.379,12,23,A Gonzalez,1,0,0,2,36,5
.232,11,25,E Contreras,0,2,2,0,31,3
.312,9,12,L Polanco,0,1,1,0,29,3
.333,1,1,J Perez,0,0,1,0,2,0
.283,20,28,Y Silfa,2,0,4,3,68,9
.355,30,23,C Duran,2,0,3,1,57,11
.290,16,38,R Cepeda,2,0,4,5,56,7
.345,4,11,J Lopez,1,0,0,0,13,2
.255,19,34,A Amaya,0,1,2,0,47,8
.245,25,45,B Gomez,0,2,3,2,51,7
.231,5,6,Y Jaquez,1,0,0,1,12,0
.373,14,40,N Berro,4,2,3,2,46,4
.444,21,30,A Wel,6,1,2,0,56,13
.360,9,9,E Gonzalez,0,0,2,0,29,7
.252,36,67,M Medina,4,0,2,0,53,4
.298,9,24,Y Gutierrez,0,1,0,0,27,3
.123,11,17,F Gallardo,0,0,2,0,22,1
.345,29,31,D Hinojosa,1,3,9,2,61,2
.226,20,22,J Mejia,0,1,13,8,55,2
.237,15,43,M De Leon,0,2,5,0,41,5
.121,7,15,F Moreno,0,0,0,0,13,0
.256,20,38,J Jimenez,2,0,1,2,45,7
.365,20,47,J Gomez,3,0,4,1,58,16
.300,27,32,J Mota,0,4,4,1,64,7
.322,10,29,A Mora,0,3,5,3,54,7
.381,17,20,S Matos,1,2,3,1,38,5
.406,17,16,J Rondon,0,2,4,4,49,11
.296,7,22,E Morrobel,2,0,2,1,25,2
.377,18,24,W Rodriguez,2,1,5,2,51,7
.292,21,63,A Aquino,3,4,10,1,60,4
--,0,0,C Rosario,0,0,0,0,1,0
.220,26,30,J Ynojoso,0,1,6,6,44,2
.263,16,24,J Abreu,1,0,1,0,32,1
.302,17,40,M Perez,1,1,1,0,47,6
.231,2,5,J Morales,0,0,0,1,10,1
.115,3,16,D Ramirez,0,0,0,0,10,0
.091,8,5,B Aquino,0,0,0,1,9,0
.196,22,50,J Pena,0,0,2,0,38,6
.330,14,24,L Blanco,0,0,6,3,37,8
.369,9,15,M Alamanzar,0,4,1,0,22,2
.222,5,15,J De Los Santos,0,0,0,0,14,1
.322,18,48,D Rosario,1,0,5,1,60,11
.369,23,43,M Buda,3,0,2,1,61,12
.374,9,31,J Pimentel,2,2,1,0,25,4
.364,13,20,R De Castro,2,0,1,0,24,6
.265,20,18,R Moreno,0,1,7,1,34,3
.277,68,42,A Garcia,0,1,16,3,69,5
--,0,0,E Coplin,0,0,0,0,2,0
.154,5,8,M Guzman,0,0,1,0,17,0
.241,29,20,M Gonzalez,0,1,3,3,38,3
.343,27,16,R Perez,1,1,7,2,50,4
.277,16,14,E Castillo,0,1,2,0,37,3
.105,3,4,J Sotelo,0,0,0,0,9,0
.236,7,31,V Liriano,1,0,3,2,32,2
.226,9,11,G Cenas,0,0,0,0,19,1
.268,8,6,O Pirela,0,0,1,1,25,1
.280,24,45,B Capellan,0,1,10,13,68,9
.227,4,9,M Rivero,0,0,1,0,15,2
.250,5,7,D De La Cruz,0,0,0,1,9,1
.286,39,45,A Suarez,2,0,1,4,62,7
.152,7,5,J Martinez,0,0,2,1,15,0
.216,3,20,O Oses,0,0,0,1,29,1
.379,23,59,V Lupo,5,1,0,0,49,7
.376,32,41,G Soto,4,2,9,1,59,10
.206,13,14,Y Adames,0,1,1,1,24,0
.321,13,23,F Galvez,1,0,1,0,29,5
.292,11,22,L Canelon,0,0,2,2,40,2
.324,16,73,R Arno,2,0,1,0,62,12
.366,21,23,D Francisco,0,1,6,0,44,7
.254,9,19,M De Aza,0,1,3,0,29,1
.263,9,37,J Garcia,0,2,6,2,40,4
.606,3,4,D Lopez,0,3,0,1,11,0
.196,11,26,A Blanco,1,1,5,1,40,1
.331,20,20,O Valdez,0,2,5,2,47,3
.286,9,11,E Salmeron,0,0,4,0,27,1
.348,21,34,D Figueroa,4,0,4,0,39,6
.310,10,40,R Novas,2,1,3,1,37,4
.507,37,68,M Bernal,11,5,11,1,67,7
.301,26,41,R Polo,0,3,7,3,55,5
.236,19,32,C Tamarez,1,0,3,1,55,5
.280,40,32,J Ramirez,0,1,10,2,52,2
.396,6,20,F Filpo,1,2,0,0,26,4
.200,0,6,M Gonzalez,0,0,0,0,6,0
.325,11,41,L Pena,3,0,6,1,48,6
.000,5,3,E Martinez,0,0,1,0,3,0
.274,17,30,V Arias,0,1,7,2,45,4
.412,12,38,A Rodriguez,4,0,3,1,53,10
.379,8,25,J Pineda,1,2,1,0,18,2
.238,10,32,R Contreras,1,1,0,1,29,2
.271,15,30,Y Morales,0,1,3,1,37,6
.349,14,31,F Marine,2,0,2,3,56,11
.413,24,42,G Beltran,5,2,4,2,64,11
.329,24,60,J Polanco,4,2,2,1,54,5
.478,50,42,J Candelario,5,2,4,0,72,16
.313,13,19,A Feliz,2,0,1,0,22,3
.306,2,7,R Bello,0,0,0,0,10,2
.190,5,23,J De La Cruz,0,0,0,0,28,2
.305,15,42,R Jimenez,0,0,7,7,52,7
.239,43,50,C Rondon,2,1,1,6,62,6
.667,1,1,A Nina,0,0,0,0,1,1
.335,41,35,G Arias,3,1,5,3,54,5
.382,45,40,A Rosa,2,3,9,7,64,12
.275,7,11,R Ledesma,1,0,2,1,24,2
.259,25,16,J Montesino,0,1,4,1,49,2
.182,25,44,A Sosa,0,0,2,4,52,6
.330,37,56,I Becerra,2,2,6,4,61,7
.259,38,72,F Perez,2,1,3,4,55,5
.216,12,41,J Rivas,1,1,0,0,54,1
.375,24,47,M Rivera,7,2,9,8,64,7
.347,16,46,F Lora,3,0,4,0,60,16
.378,5,20,E Celestino,0,2,2,1,31,6
.380,16,44,R Mondesi,5,1,8,0,54,4
.283,21,24,G Santana,0,1,9,7,64,6
.250,0,1,F Perez,0,0,0,0,5,0
