SLG,HR,SO,OPS,3B,Team,GIDP,SH,Player,RBI
.050,0,7,0.1,0,AGU,1,0,A Borquez,1
.364,0,2,0.684,0,TIG,0,0,J Vazquez,4
.242,0,8,0.448,0,TIJ,0,0,R Aguirre,3
.277,0,26,0.579,0,VAQ,13,4,E Garzon,26
.462,0,1,0.846,0,AGU,0,0,D Espino,1
.297,1,23,0.655,0,VRA,3,2,E Osorio,11
.279,1,23,0.598,0,TAB,13,5,G Vazquez,25
.358,1,10,0.686,0,MTY,5,3,A Meza,13
.317,4,43,0.635,0,COR,11,5,O Fentanes,37
.474,3,51,0.874,8,PUE,7,4,A Contreras,38
.380,2,25,0.76,4,MTY,11,5,M Flores,40
.133,0,1,0.369,0,VRA,1,0,R Reyes,1
.000,0,0,0.0,0,VAQ,0,0,J Mercedes,0
.300,0,32,0.601,2,TAB,3,1,R Agramon,11
.432,6,47,0.791,0,VAQ,9,2,J Reyes,38
.265,0,12,0.505,0,VRA,2,0,A Fernandez,9
.403,3,15,0.74,0,CAM,1,0,J Nunnally,12
.586,27,59,0.977,1,MXO,12,0,R Saucedo,89
.577,25,70,0.996,3,SLT,7,0,T Evans,68
.415,10,42,0.777,0,VAQ,7,2,E Diaz,71
.295,2,24,0.576,0,TAB,2,1,A Sanders,4
.458,2,20,0.863,3,AGU,17,3,A Martinez,57
.326,2,24,0.653,0,TAB,3,0,E Barajas,12
.483,4,7,0.831,1,OAX,2,0,C Pacho,5
.525,15,52,0.947,0,VRA,2,0,I Alcantara,50
.548,15,52,0.986,0,PUE,9,2,M Martinez,84
.449,7,34,0.84,3,YUC,11,4,W Romero,61
.498,9,32,0.917,0,COR,8,0,L Lopez,50
.590,22,47,1.03,3,SLP,11,0,S Adriana,91
--,0,0,0.0,0,TIG,0,0,A Manzano,0
.445,5,44,0.787,4,TIG,7,5,K Flores,29
