OPS,SH,2B,GIDP,OBP,SB,AVG,3B,Player,Team
0.598,0,3,2,.284,6,.194,0,M Crouse,LAN
0.616,15,21,4,.301,21,.240,5,B Loy,WM
0.621,2,1,0,.278,0,.219,1,E Corcino,WM
0.578,1,3,0,.262,3,.215,1,R Pineda,BUR
0.494,0,5,8,.232,0,.208,0,Y Balaguert,PEO
0.442,0,0,0,.250,1,.192,0,R Golden,PEO
0.806,1,17,6,.338,8,.281,5,T Glaesmann,BG
0.711,2,35,8,.320,4,.249,2,A Westlake,WM
0.517,3,7,3,.236,1,.209,0,M Garza,WIS
0.611,0,0,0,.444,0,.167,0,C O'Dowd,FW
0.61,0,4,1,.292,0,.227,1,K Schutz,LAN
0.399,1,4,0,.206,3,.129,0,A Martinez,FW
0.498,2,7,1,.248,7,.189,1,J Parr,SB
0.722,0,15,6,.346,3,.294,1,M Dowd,CLI
0.827,1,21,15,.353,7,.323,4,Y Asencio,FW
0.602,3,9,6,.311,0,.229,1,R Neda,WIS
0.785,0,27,12,.312,7,.278,7,R Morla,CLI
0.808,0,4,0,.379,1,.286,0,M Haniger,WIS
0.793,3,14,3,.356,2,.294,4,K Jenkins,SB
0.696,0,5,2,.349,1,.296,0,A Giansanti,PEO
0.586,1,5,2,.253,1,.227,0,Z Kometani,FW
0.599,10,19,2,.282,3,.225,2,S Opitz,LAN
0.626,1,7,2,.279,4,.216,0,W Soto,CR
0.718,0,30,6,.326,1,.237,5,P Hoilman,PEO
0.559,5,9,4,.274,4,.220,2,N Gallego,SB
0.74,0,19,5,.314,5,.295,1,E Groff,SB
0.453,4,1,3,.264,3,.160,1,D Morales,GL
0.777,0,10,3,.348,10,.238,1,N Akins,GL
0.667,10,14,5,.326,36,.283,3,J Austin,CLI
0.58,3,10,10,.279,2,.243,2,A Bryant,BEL
0.716,6,19,8,.347,17,.268,2,B Crocker,BUR
0.678,1,24,20,.299,0,.254,1,R Aguila,SB
0.789,5,34,6,.380,21,.288,5,E Suarez,WM
0.579,1,0,0,.261,1,.227,1,D Pompey,LAN
0.638,1,15,7,.300,6,.255,0,D Espy,KC
0.785,2,28,8,.334,14,.279,0,A Hedges,FW
0.75,5,22,6,.356,8,.277,7,T Whitmore,FW
0.708,1,13,10,.349,10,.272,4,D Leachman,BEL
0.678,6,12,7,.329,0,.265,0,J Rodriguez,BEL
0.768,3,13,5,.303,2,.241,4,O Calixte,KC
0.43,0,1,2,.233,0,.179,0,N Bartolone,LC
0.805,0,22,11,.340,2,.245,3,K Patterson,LAN
0.711,2,20,14,.325,3,.262,10,D Mateo,KC
0.267,0,0,2,.133,0,.133,0,C Lewis,BUR
0.789,5,10,4,.411,7,.284,0,S Wickens,BEL
0.475,0,1,2,.205,0,.162,0,P Rankin,LAN
0.67,5,20,5,.333,5,.244,1,J Krizan,WM
0.661,1,0,0,.375,1,.286,0,K Marte,CLI
0.59,1,4,6,.302,14,.250,1,D Martinez,CR
0.827,0,12,1,.388,1,.238,3,L Durham,WM
0.74,3,24,9,.341,6,.264,2,R Court,SB
1.043,0,1,0,.563,0,.440,0,L Washington,LC
0.609,1,5,3,.282,7,.227,2,N Cuevas,GL
0.676,1,11,1,.332,30,.243,5,T Hankins,LC
0.551,0,3,1,.262,1,.189,0,R Rhodes,BEL
0.883,1,16,7,.381,0,.306,0,D Green,WM
0.586,6,9,5,.305,19,.225,0,O Zapata,PEO
0.592,5,16,4,.285,11,.224,6,W Darvill,PEO
0.536,0,0,1,.296,1,.240,0,M Bradley,LC
0.644,0,0,0,.444,0,.200,0,J Votto,DAY
0.804,3,22,8,.358,3,.275,5,C Perez,LAN
0.847,1,6,0,.390,7,.326,0,N Longmire,QC
0.389,0,1,1,.222,0,.125,0,A Lewis,QC
0.665,0,2,2,.299,0,.217,2,E Gonzalez,PEO
0.496,2,0,2,.254,6,.210,1,B Guinn,FW
0.705,3,24,10,.361,11,.266,4,N Martini,QC
0.707,1,17,5,.293,3,.249,5,M Bourgeois,SB
0.613,0,3,2,.265,0,.185,0,T Roberts,WIS
0.581,3,9,2,.276,11,.190,2,C Clarke,CR
0.651,0,17,8,.290,21,.239,2,J Bosnik,GL
0.625,1,7,0,.274,5,.204,2,V Hill,QC
0.483,3,3,0,.278,0,.167,0,C Lugo,CR
0.67,0,18,6,.323,6,.252,0,P Maynard,GL
0.405,2,1,3,.245,2,.111,0,C Adamson,FW
0.94,0,3,2,.414,7,.329,0,K Muller,DAY
0.611,4,6,4,.314,1,.250,0,S Burruel,PEO
0.908,0,7,1,.348,5,.262,4,D Robinson,BUR
0.879,0,34,3,.354,3,.280,3,A Garcia,QC
0.777,0,8,3,.364,8,.238,1,R Dixon,BUR
0.626,2,4,4,.313,2,.229,1,R Reyes,QC
0.58,1,12,6,.319,11,.206,4,A Shipman,BUR
0.728,0,12,2,.299,0,.212,1,M Watts,KC
0.72,5,17,10,.357,24,.244,2,T Motter,BG
0.572,5,21,21,.254,1,.216,5,L Castillo,LC
0.815,1,36,18,.386,1,.307,2,C Seitzer,BG
0.767,7,21,14,.346,10,.284,6,K Waldrop,DAY
0.819,3,8,3,.372,17,.291,4,D Sweeney,GL
0.823,0,18,9,.376,3,.295,1,S Piscotty,QC
0.86,3,18,10,.433,27,.299,3,N Roberts,BEL
0.616,5,6,6,.319,2,.222,3,Z MacPhee,LC
0.767,2,27,4,.343,14,.285,6,R Wright,DAY
0.63,0,4,4,.287,2,.219,0,D Shines,GL
0.738,3,18,4,.346,14,.283,4,T Ferguson,KC
0.692,0,1,0,.400,0,.250,0,K Castillo,BG
0.393,0,0,0,.158,0,.118,1,J Wooten,BUR
0.883,1,14,7,.420,0,.298,1,J Choi,CLI
0.666,0,5,2,.355,0,.222,0,J Patton,QC
0.606,2,5,3,.284,7,.245,0,L Roenicke,WIS
0.875,0,3,0,.316,0,.294,0,D Villasuso,CLI
0.574,2,6,3,.298,18,.192,2,M Brisker,LAN
0.535,1,9,12,.229,0,.207,0,R De La Cruz,QC
0.666,3,13,7,.325,12,.234,2,M Walla,WIS
0.574,2,10,7,.271,1,.234,0,M Scioscia,CR
0.707,4,25,9,.307,4,.253,2,J King,WM
0.82,0,23,5,.371,7,.293,3,G Montilla,SB
0.789,0,15,9,.342,9,.245,2,G Mitchell,CR
0.452,1,0,2,.239,2,.164,0,C Murphy,FW
0.778,0,1,1,.333,0,.333,0,B Wiley,QC
0.67,1,13,3,.323,7,.274,1,E Stamets,CR
0.677,2,0,1,.373,4,.304,0,C Taylor,CLI
0.91,0,5,3,.398,4,.338,0,J Soler,PEO
0.862,0,5,2,.380,8,.321,1,T Saunders,PEO
0.564,3,3,1,.312,0,.196,0,N Pritchard,QC
0.913,0,0,0,.493,1,.300,0,J Rogers,PEO
0.801,0,1,2,.385,1,.333,0,J Lucroy,WIS
0.619,9,17,10,.316,13,.249,2,J Querecuto,BG
0.083,0,0,0,.083,0,.000,0,C Valerio,LC
0.78,1,2,0,.343,0,.281,0,B Kline,BG
0.723,2,16,7,.332,2,.272,2,J Castillo,QC
0.6,3,6,7,.284,4,.240,1,K Taylor,GL
0.835,0,32,10,.345,11,.296,4,E Rosario,BEL
0.605,22,15,5,.300,11,.214,2,A Phillips,CLI
0.628,3,9,4,.292,4,.211,4,R Consigli,BUR
0.2,0,0,0,.200,0,.000,0,J Rodriguez,FW
0.696,1,3,0,.385,1,.273,0,B Zapenas,PEO
0.722,5,18,7,.334,12,.260,10,T Belza,SB
0.432,1,0,0,.250,0,.182,0,M Stokes,FW
0.575,3,7,2,.280,2,.221,1,B Rademacher,PEO
0.753,9,24,4,.333,26,.270,9,C Stang,WIS
0.748,1,26,8,.369,4,.297,2,J Sabourin,LC
0.783,2,20,5,.352,24,.272,9,J Trapp,KC
0.66,3,17,9,.283,10,.244,1,D Landaeta,BUR
0.45,4,1,4,.271,0,.171,0,C Kaline,WM
0.693,2,4,4,.362,4,.254,1,J Holm,WM
0.662,2,4,2,.355,11,.220,2,J Dishon,WIS
0.979,0,10,3,.383,20,.333,5,J Baez,PEO
0.663,3,17,13,.331,11,.269,4,C Hawkins,LAN
0.651,5,16,2,.311,23,.234,2,J Williams,BEL
0.596,0,1,2,.352,1,.222,0,J Leblebijian,LAN
0.53,2,1,1,.286,12,.186,2,T Bowe,DAY
0.431,0,0,2,.288,1,.143,0,S Dickinson,DAY
0.652,0,5,1,.324,1,.267,0,J Vazquez,GL
0.548,2,2,3,.249,2,.210,3,M Hernandez,PEO
0.804,1,7,3,.385,1,.268,1,Z Wright,CR
0.0,0,0,0,.000,0,.000,0,J Guida,WM
0.801,1,14,4,.319,5,.288,3,S Moya,WM
0.375,0,0,0,.250,2,.125,0,M Perry,WM
0.7,1,21,11,.304,7,.269,1,G Hopkins,WIS
0.626,0,2,0,.233,0,.214,0,G Apelian,QC
0.504,1,4,4,.243,1,.209,0,J Caminero,BG
0.472,1,4,2,.235,0,.173,0,G Purroy,WM
0.692,6,26,12,.290,7,.247,5,Y Rivera,WIS
0.716,8,32,7,.333,23,.269,5,M Williams,QC
0.893,0,28,10,.373,8,.258,4,M Sano,BEL
0.708,0,21,8,.322,0,.254,0,F Hall,CR
0.593,4,8,5,.238,0,.193,1,Z Maggard,WM
0.751,0,36,8,.349,11,.271,1,M Helm,SB
0.547,1,6,6,.294,10,.207,0,D Tate,FW
0.816,2,9,3,.372,3,.295,5,R Jones,CR
0.532,0,11,4,.242,0,.197,0,H Moreno,KC
0.654,12,19,7,.323,21,.256,4,C Wright,WM
0.563,3,4,1,.304,1,.223,0,A Munoz,LAN
0.91,0,18,8,.385,3,.298,0,C Garfield,WIS
0.693,0,1,2,.300,0,.250,0,B Billigen,SB
0.682,2,13,6,.305,1,.237,2,C McElroy,FW
0.554,0,2,0,.304,0,.200,0,A Morales,CLI
0.178,0,0,0,.130,0,.048,0,C Powers,FW
0.496,1,1,1,.253,0,.203,1,K David,KC
