2B,AVG,SB,SH,G,POS,3B,SO,Team,SLG
0,.000,0,0,1,2B,0,1,REY,.000
15,.253,6,2,102,RF,0,150,VER,.562
14,.267,1,6,81,C,0,50,YUC,.424
3,.237,0,10,39,C,1,27,CAM,.320
15,.396,1,0,83,1B,2,41,OAX,.653
2,.167,0,0,17,C,0,9,REY,.233
6,.366,2,0,36,1B,2,29,SAL,.731
0,.250,0,0,5,SS,0,1,YUC,.250
8,.249,3,14,81,2B,2,32,REY,.308
32,.310,3,3,98,3B,0,58,MIN,.545
0,--,0,0,1,C,0,0,MTY,--
22,.290,5,4,97,2B,3,28,YUC,.394
0,.133,0,0,4,2B,0,4,MVA,.133
0,.263,2,1,6,C,0,4,LAG,.263
17,.282,6,7,81,3B,2,42,SAL,.416
26,.339,0,0,101,1B,0,64,TAB,.574
1,.091,0,1,12,2B,0,3,TAB,.182
8,.326,1,2,66,RF,0,17,TAB,.424
13,.272,0,0,86,1B,0,61,VER,.426
9,.312,4,1,33,OF,4,20,MEX,.500
0,.269,0,2,35,SS,0,6,TAB,.269
21,.349,8,8,104,LF,2,43,LAG,.464
15,.374,1,0,73,OF,1,52,MEX,.689
10,.312,0,0,44,1B,1,28,MTY,.580
0,.261,0,0,9,C,0,5,PUE,.261
16,.317,3,1,84,DH,1,76,LAG,.524
18,.290,10,2,80,OF,1,55,TIG,.406
12,.335,15,2,52,SS,1,33,LAG,.430
14,.346,32,6,80,OF,3,23,REY,.430
20,.300,0,2,74,C,0,36,MEX,.527
0,.250,0,0,4,LF,0,5,MIN,.250
2,.286,0,1,12,OF,0,4,MEX,.343
20,.313,1,16,97,SS,2,25,YUC,.389
5,.284,0,1,39,C,0,17,OAX,.333
11,.327,6,3,94,OF,3,42,MTY,.433
20,.347,12,8,95,1B,1,52,TIG,.525
9,.289,3,4,78,3B,0,38,CAM,.369
18,.353,6,1,65,OF,1,41,LAG,.525
12,.286,3,5,72,2B,5,34,OAX,.405
0,.364,0,0,10,C,0,0,TAB,.364
20,.357,12,2,68,3B,2,23,MEX,.541
2,.278,0,2,46,2B,2,14,PUE,.361
15,.339,3,4,77,C,4,33,MEX,.538
28,.316,0,1,103,1B,1,47,MIN,.482
13,.355,1,1,100,2B,0,59,SAL,.532
10,.307,3,7,78,OF,2,31,VER,.478
12,.275,0,8,63,C,0,46,CAM,.530
13,.300,2,7,82,2B,1,23,MTY,.365
3,.226,2,5,74,OF,1,15,REY,.274
3,.333,1,3,14,OF,0,3,SAL,.410
9,.249,2,12,65,C,0,21,MIN,.321
2,.311,0,1,14,RF,0,11,MIN,.422
1,.357,0,0,9,DH,0,5,TAB,.429
6,.226,5,6,94,LF,3,88,OAX,.290
2,.221,2,3,57,LF,0,23,TIG,.325
4,.283,0,0,19,1B,0,4,CAM,.370
0,.250,0,1,3,3B,0,1,MEX,.250
11,.321,2,17,96,SS,2,30,REY,.382
0,.000,0,0,3,OF,0,1,MIN,.000
20,.302,3,13,93,C,1,39,TAB,.425
10,.285,1,3,70,RF,0,23,REY,.399
6,.389,0,2,64,OF,0,19,MIN,.589
16,.341,4,8,57,3B,5,43,MIN,.673
1,.333,0,0,6,C,0,2,TAB,.500
11,.263,0,3,75,2B,1,29,LAG,.369
22,.357,0,0,95,1B,0,55,SAL,.609
24,.290,2,1,81,C,1,70,SAL,.503
13,.276,1,1,105,C,1,66,TIG,.508
3,.306,0,0,26,OF,0,6,MTY,.472
5,.337,0,1,33,1B,0,13,LAG,.480
0,.143,0,0,7,OF,1,9,TIG,.214
1,.250,0,1,16,SS,0,15,OAX,.375
2,.253,2,3,59,OF,0,17,SAL,.274
1,.170,1,0,20,C,0,8,PUE,.191
12,.233,17,5,85,OF,2,52,TIG,.385
13,.274,1,0,59,1B,0,38,CAM,.417
36,.281,3,12,105,2B,7,93,PUE,.478
16,.322,3,0,53,RF,2,33,MTY,.528
13,.264,2,13,79,SS,0,36,OAX,.343
24,.304,13,13,98,OF,3,45,LAG,.431
0,.159,0,4,38,C,0,22,TIG,.159
5,.273,0,1,63,1B,1,28,MVA,.354
4,.222,0,2,51,2B,0,32,REY,.300
13,.280,5,6,62,CF,1,32,TAB,.339
22,.315,20,4,97,OF,1,66,TIG,.579
4,.197,0,0,38,DH,0,10,OAX,.311
28,.338,2,2,90,OF,0,44,REY,.472
20,.301,8,10,89,SS,3,42,MVA,.414
0,.207,4,1,54,C,0,25,YUC,.304
20,.344,0,1,92,OF,2,28,PUE,.462
7,.390,2,1,22,CF,0,13,MIN,.753
3,.188,0,1,40,OF,0,11,YUC,.250
0,.214,1,2,33,OF,0,7,TAB,.214
3,.406,0,0,16,SS,0,3,MEX,.781
7,.320,0,0,45,3B,2,26,YUC,.435
23,.331,1,1,98,DH,0,54,MIN,.507
3,.324,0,0,31,OF,0,3,PUE,.412
19,.321,1,9,96,OF,0,47,PUE,.405
15,.305,2,2,82,LF,1,33,YUC,.428
12,.250,0,1,93,3B,0,23,PUE,.315
10,.190,1,1,67,1B,0,41,MTY,.317
7,.277,7,2,55,OF,0,17,PUE,.351
10,.296,11,13,80,OF,8,55,OAX,.426
3,.281,0,0,14,2B,0,7,SAL,.544
21,.288,5,4,90,3B,1,44,OAX,.398
14,.325,4,5,89,OF,0,40,TAB,.428
11,.301,7,5,87,OF,1,40,CAM,.373
0,.238,0,1,25,RF,0,5,MVA,.238
2,.224,1,1,35,3B,0,22,YUC,.310
9,.271,0,1,65,C,0,56,TAB,.500
1,.163,0,2,23,2B,0,7,MTY,.186
0,.034,0,1,10,1B,0,4,MVA,.034
16,.270,3,5,85,C,0,68,MVA,.433
23,.276,4,1,98,OF,1,71,SAL,.446
11,.288,0,0,48,3B,0,20,TAB,.445
