Player,OBP,2B,SF,3B,Team,CS,POS
J Perez,.429,0,0,0,DSL DOD,1,SS
E Contreras,.241,3,2,2,DSL CUB,2,OF
J De La Cruz,.292,16,1,2,DSL ROCK,2,SS
J Herrera,.283,0,0,1,DSL ANG,1,SS
C Rondon,.348,6,2,1,DSL RSX,1,SS
A Gonzalez,.350,4,0,2,DSL CUB,10,SS
O Arcia,.386,16,2,1,DSL BRW,4,SS
J Valera,.250,0,0,0,DSL NYY2,1,SS
D Rosario,.330,11,3,0,DSL NAT,5,OF
Y Diaz,.212,0,0,1,DSL PAD,1,OF
R Vargas,.400,3,0,0,DSL DIA,0,3B
L Mendez,.471,0,0,0,DSL RGR,0,SS
W Soriano,.323,7,0,1,DSL ROCK,8,3B
A Gonzalez,.374,5,2,0,DSL RSX,0,C
J Taveras,.227,1,1,1,DSL ORI,2,C
J Solano,.353,8,0,1,DSL ROY,2,OF
M Laguna,.318,5,3,1,DSL AST,4,OF
J Lopez,.361,4,0,0,DSL NYY1,1,C
M Rivero,.265,2,0,0,DSL BRA,1,OF
D Gonzalez,.395,6,1,0,DSL PHI,17,OF
F Betemit,.333,2,0,1,DSL DIA,3,2B
A Soriano,.276,8,1,2,DSL DOD,4,OF
J Decena,.322,13,0,1,DSL MET,4,LF
P Nivar,.331,1,1,1,DSL ROY,2,OF
E Coplin,--,0,0,0,DSL DOD,0,OF
J Valdelamar,.374,3,0,3,DSL REDS,1,OF
S Mendez,.323,10,5,0,DSL ANG,2,1B
Y Olmo,.376,6,0,0,DSL PHI,4,CF
F Pizzoli,.253,3,1,1,DSL WSX,0,1B
W Romero,.299,8,0,3,DSL NYY2,4,OF
V Silvestre,.318,3,0,0,DSL DIA,1,3B
A Maracaro,.358,4,1,2,DSL MET,3,SS
M Bernal,.396,7,1,5,DSL MTS,11,OF
J Soto,.315,2,2,0,DSL REDS,0,C
A Wel,.349,13,1,1,DSL SEA,2,DH
D Garcia,.183,1,0,0,DSL ROCK,0,SS
R Mejias,.316,5,0,1,DSL DIA,3,SS
A Rodriguez,.347,10,0,0,DSL DOD,3,OF
D De La Cruz,.273,8,2,1,DSL FLA,6,OF
C Quintin,.294,4,1,3,DSL ROCK,0,OF
L Vasquez,.349,6,3,0,DSL GSI,4,C
J Sotelo,.227,0,0,0,DSL BRW,0,C
R Sosa,.231,1,0,0,DSL DOD,2,OF
A Aquino,.284,4,2,4,DSL REDS,10,OF
J Peraza,.346,5,3,3,DSL BRA,7,SS
M Gonzalez,.443,11,4,1,DSL AST,2,1B
J Silva,.282,3,0,0,DSL TWI,3,OF
M Alamanzar,.325,2,1,4,DSL ANG,1,C
F Serrano,.300,4,0,0,DSL AST,1,OF
E Martinez,.625,0,0,0,DSL TWI,1,P
J Astacio,.258,1,0,0,DSL FLA,2,OF
E Daniel,.361,11,4,0,DSL BRA,3,OF
K Marte,.341,5,1,3,DSL SEA,6,SS
A Capriata,.339,7,2,0,DSL SEA,3,C
J Reyes,.294,1,0,0,DSL DOD,0,SS
E Guerrero,.297,11,0,1,DSL BLJ,1,SS
F Contreras,.266,8,1,4,DSL TIG,1,3B
G Arias,.402,5,1,1,DSL NYY1,5,1B
J Perez,.283,2,1,0,DSL DIA,0,3B
S Martinez,.303,3,0,0,DSL ANG,1,C
A Castellon,.400,0,0,0,DSL NYY2,0,C
K Calderon,.172,4,1,0,DSL IND,0,C
O Pirela,.349,1,1,0,DSL RGR,1,C
W Martinez,.337,3,2,0,DSL ATH,2,3B
J Rivero,.365,8,2,6,DSL MTS,3,SS
O Caraballo,.327,2,1,1,DSL MTS,5,OF
P Rondon,.359,2,2,0,DSL MTS,4,OF
J Ynojoso,.338,2,2,1,DSL TWI,6,SS
L Madrid,.354,3,0,1,DSL BRA,1,2B
Y De La Cruz,.254,2,2,0,DSL IND,0,C
R Rijkhof,.323,3,1,0,DSL BRA,0,OF
J Figuera,.300,7,0,1,DSL MET,5,OF
F Galvez,.326,5,1,0,DSL IND,1,1B
A Capellan,.411,10,2,1,DSL CAR,3,OF
E Lopez,.167,0,0,0,DSL GSI,0,LF
E Gonzalez,.445,9,1,4,DSL TWI,4,1B
J Pimentel,.287,4,1,2,DSL TWI,1,SS
R Duncan,.406,3,1,0,DSL RSX,2,3B
M Hilario,.392,10,3,4,DSL MTS,8,C
M Aquino,.271,2,0,1,DSL NYY1,3,OF
J Rosario,.382,10,1,0,DSL ATH,1,1B
R Read,.200,5,2,1,DSL NAT,1,C
L Pena,.282,6,2,0,DSL TIG,6,OF
E Morales,.328,6,0,2,DSL SEA,4,OF
J Liriano,.346,9,0,7,DSL DIA,4,2B
M Avea,.280,0,1,0,DSL AST,1,C
F Santana,.125,0,0,0,DSL TIG,0,C
J Rojas,.291,1,0,0,DSL TB,1,C
F Baez,.319,3,2,5,DSL CAR,2,C
R Del Rosario,.364,6,1,0,DSL RSX,2,CF
N Ramos,.268,4,0,0,DSL MTS,1,C
A Calero,.264,0,0,0,DSL CUB,1,OF
V Castro,.374,14,4,2,DSL FLA,4,OF
L Jolly,.245,2,0,2,DSL ANG,3,OF
R Valdez,.319,3,0,0,DSL CUB2,3,LF
M De La Cruz,.331,4,0,0,DSL BLJ,3,OF
B Mejia,.243,6,3,6,DSL NAT,1,OF
M De Aza,.326,1,2,1,DSL PIR,3,OF
J Bogaerts,.387,8,3,2,DSL RSX,0,C
J Giron,.342,6,2,0,DSL ROY,3,OF
A Delgado,.328,12,1,3,DSL TIG,7,SS
M Mojica,.346,6,1,2,DSL NYY2,5,OF
E Felipe,.341,3,2,1,DSL TIG,7,SS
M Santana,.344,11,2,4,DSL DOD,3,SS
Y De Jesus,.462,0,0,0,DSL SEA,0,P
J Marmolejos-Diaz,.330,6,1,3,DSL NAT,1,OF
J Boni,.390,9,2,8,DSL ORI,6,DH
F Castillo,.162,1,1,0,DSL PAD,0,C
S De La Cruz,.278,2,1,0,DSL CUB,0,C
J Suero,.330,7,2,4,DSL REDS,5,SS
J Orozco,.288,6,2,1,DSL NYY1,0,SS
A German,--,0,0,0,DSL MTS,0,P
E Berroa,.285,5,5,6,DSL PHI,8,SS
L Matias,.317,1,1,0,DSL SEA,2,SS
V De La Cruz,.438,13,1,5,DSL ATH,5,OF
W Rivas,.367,10,0,1,DSL DOD,4,C
S Acevedo,.333,3,0,2,DSL TIG,5,OF
A Rojas,.292,4,1,2,DSL BLJ,5,SS
P Reyes,.250,1,0,0,DSL PIR,0,C
A Rosario,.380,16,1,0,DSL WSX,2,C
F Ramirez,.273,2,0,0,DSL DIA,1,1B
J Ugas,.292,2,0,1,DSL RSX,0,1B
J Lopez,.286,2,1,0,DSL GSI,0,LF
M Grance,.345,8,2,2,DSL ANG,2,2B
J Mejia,.304,2,1,1,DSL IND,13,OF
E Mercedes,.283,3,1,0,DSL CUB,4,OF
A Bolivar,.342,7,1,0,DSL DIA,1,C
R Nunez,.301,12,2,0,DSL ATH,2,3B
R Novas,.290,4,1,1,DSL NAT,3,OF
E Esquea,.311,3,2,0,DSL PHI,2,C
R Martinez,.380,3,2,1,DSL ORI,1,OF
L Pina,.345,5,2,1,DSL CAR,1,SS
J Pimentel,.371,5,2,0,DSL ORI,0,SS
S Mujica,.361,5,2,5,DSL GSI,13,SS
M De Leon,.252,5,1,2,DSL FLA,5,SS
J Cordero,.359,9,1,2,DSL DOD,1,C
E De La Rosa,.335,4,0,1,DSL NYY1,0,1B
F Bido,.289,9,0,1,DSL ORI,4,3B
G Villavicencio,.333,1,0,0,DSL ANG,0,C
R Cordova,.349,2,1,0,DSL FLA,2,SS
Y Araujo,.348,11,0,2,DSL TB,2,OF
V Liriano,.271,2,0,0,DSL MTS,3,OF
Y Del Rosario,.214,0,1,0,DSL FLA,0,OF
Y Aquiles,.280,1,1,0,DSL PIR,0,OF
Y Daza,.322,6,0,1,DSL ROCK,5,OF
J Rondon,.378,11,2,2,DSL ANG,4,SS
J Cipriota,.343,3,1,0,DSL BLJ,5,LF
J Polanco,.301,5,2,2,DSL NYY1,2,OF
F Lora,.282,16,2,0,DSL IND,4,OF
E Espinal,.382,9,2,0,DSL PIR,2,3B
P Acosta,.341,8,1,0,DSL FLA,1,C
J Caraballo,.330,4,0,1,DSL IND,0,SS
A Simon,.346,10,2,4,DSL TB,7,3B
J Baez,.353,12,1,3,DSL CUB2,10,OF
J Candelario,.443,16,5,2,DSL CUB2,4,3B
S Duinkerk,.250,1,0,0,DSL ATH,2,OF
J Mota,.322,7,1,4,DSL FLA,4,3B
C Tejeda,.333,0,0,0,DSL DOD,0,SS
J Ramirez,.410,2,2,1,DSL TWI,10,2B
R Reyes,.453,11,1,5,DSL CAR,9,2B
F Soto,.491,2,0,0,DSL IND,3,OF
H Martinez,.095,1,0,0,DSL ATH,2,SS
K Santiago,.343,4,2,1,DSL BLJ,0,C
A Sierra,.319,4,1,1,DSL AST,5,2B
B Capellan,.310,9,4,1,DSL ORI,10,SS
C Garia,.418,7,2,3,DSL RGR,10,OF
S Matos,.394,5,1,2,DSL BRW,3,3B
R Linares,.326,12,3,3,DSL ANG,2,2B
E de Oleo,.335,10,0,0,DSL NYY2,1,C
L Marte,.309,16,4,1,DSL RGR,10,SS
B Arias,.344,7,2,1,DSL REDS,3,OF
I McKenzie,.336,6,3,5,DSL BRA,4,OF
D Ramirez,.233,0,0,0,DSL ATH,0,C
L Blanco,.364,8,1,0,DSL ROY,6,SS
J Pumarol,.315,6,0,2,DSL BLJ,0,C
F Polanco,.326,7,3,0,DSL AST,4,C
J Fernandez,.250,0,1,0,DSL ANG,0,C
A Sosa,.287,6,1,0,DSL ATH,2,OF
J Gomez,.331,16,4,0,DSL NYY2,4,3B
C Bautista,.285,4,2,0,DSL IND,3,SS
J Zorrilla,.405,21,4,2,DSL SEA,5,OF
V Chavez,.000,0,0,0,DSL NAT,0,OF
L Cedeno,.293,5,3,0,DSL RGR,0,C
J Natera,.331,5,2,3,DSL TB,0,RF
J De La Cruz,.243,2,0,0,DSL BRW,0,3B
D Matos,.286,1,1,1,DSL IND,0,1B
J Martinez,.500,0,0,0,DSL DOD,0,P
A Garcia,.417,5,1,1,DSL RSX,16,2B
D Eusebio,.343,16,1,1,DSL NAT,1,3B
J Jimenez,.459,5,2,0,DSL PIR,2,C
F Lopez,.000,0,0,0,DSL PIR,0,C
K Weijgertse,.408,2,2,0,DSL MET,5,1B
R Torres,.351,16,4,3,DSL ROY,5,2B
R Morillo,.281,3,0,0,DSL TIG,1,3B
R Reyes,--,0,0,0,DSL MTS,0,P
E Moronta,.369,10,8,1,DSL NYY1,2,OF
E Gonzalez,.356,7,1,0,DSL NAT,2,OF
H Garcia,.304,3,0,2,DSL WSX,2,SS
J Pena,.328,6,0,0,DSL CAR,2,OF
E Salcedo,.396,4,2,2,DSL ANG,4,SS
H Mejia,.462,1,0,0,DSL REDS,0,C
F Marine,.321,11,0,0,DSL PHI,2,1B
R Astacio,.371,9,1,0,DSL GSI,2,3B
B Hato,.379,3,0,0,DSL MTS,6,2B
G Jimenez,.329,6,0,1,DSL CUB,3,1B
J Pena,.263,9,2,1,DSL BRW,6,OF
A Gonzalez,.412,9,0,0,DSL RGR,6,3B
M Del Castillo,.303,9,5,0,DSL PAD,1,C
J Geraldo,.366,8,1,0,DSL NAT,2,SS
G Quintana,.324,2,0,0,DSL BLJ,4,SS
J Briceno,.389,10,4,1,DSL ROCK,3,C
F Perez,.345,5,0,1,DSL NYY1,3,SS
P Coa,.263,1,0,0,DSL AST,0,C
R Galindez,.323,4,1,2,DSL REDS,5,RF
V Moscote,.221,1,0,1,DSL MTS,1,C
J Herrera,.384,11,3,2,DSL IND,5,SS
A Reyes,.297,2,2,1,DSL MTS,6,SS
D Diaz,.344,8,0,2,DSL CAR,0,OF
S Brito,.392,10,3,5,DSL NYY2,1,OF
L Rodriguez,.353,9,1,0,DSL DOD,6,2B
A Santana,.000,0,0,0,DSL ORI,0,P
J Rocha,.321,3,0,1,DSL WSX,5,OF
J Heredia,.398,5,1,0,DSL DIA,6,SS
H Peralta,.292,4,0,1,DSL REDS,1,C
F Ramirez,.322,4,2,2,DSL ORI,2,3B
P Estaba,.283,4,0,0,DSL TWI,0,2B
J Peraza,.240,4,2,0,DSL REDS,2,C
J Roble,.369,3,0,0,DSL ROCK,3,SS
C Pena,.243,1,0,0,DSL BRW,0,C
J Rosario,.293,5,2,0,DSL ROCK,2,C
Y Aguero,.418,11,1,2,DSL RSX,3,OF
A Santiago,.385,8,3,0,DSL DIA,5,LF
J Romero,.310,8,1,3,DSL TIG,5,OF
G Soto,.345,10,5,2,DSL SEA,9,2B
C Palacios,.185,0,0,1,DSL BRA,1,SS
M Marmolejos,.316,10,1,3,DSL MTS,3,3B
V Martinez,.335,4,2,0,DSL DOD,2,SS
J Lopez,.349,10,1,2,DSL NYY2,2,2B
R Ozuna,.405,0,1,0,DSL BRW,2,OF
J Tapia,.256,2,0,0,DSL TB,2,SS
N Ortega,.321,3,1,1,DSL NAT,8,2B
R Rodriguez,.261,0,0,0,DSL GSI,3,SS
M Gonzalez,.273,0,0,0,DSL NYY1,0,C
R Mondesi,.335,4,2,1,DSL BRW,8,OF
J Ramirez,.398,13,2,2,DSL WSX,0,RF
C Cuevas,.270,1,0,1,DSL FLA,0,3B
L Tejada,.391,12,2,2,DSL PAD,6,OF
M Sanchez,.343,6,2,0,DSL SEA,1,1B
B Gomez,.294,7,2,2,DSL ROY,3,OF
F Duran,.299,0,0,1,DSL NYY1,1,C
A Montilla,.424,3,0,1,DSL ANG,0,RF
J Alcala,.390,13,4,2,DSL WSX,7,OF
O Pascual,.321,3,0,1,DSL WSX,0,C
E Hernandez,.327,3,0,0,DSL GSI,1,3B
J Basilio,.379,3,2,4,DSL ROCK,4,OF
R Sotelo,.273,0,0,0,DSL GSI,0,C
P Toribio,.356,10,4,10,DSL ANG,4,SS
Y Adames,.333,0,0,1,DSL PIR,1,1B
Y Mercedes,.352,12,1,1,DSL NAT,3,C
E Sanchez,.367,4,4,0,DSL MTS,3,3B
L Caballero,.310,2,0,0,DSL BRA,4,SS
D Goris,.387,20,3,4,DSL PIR,3,3B
F Castillo,.310,5,1,3,DSL BRW,11,2B
E Morrobel,.266,2,0,0,DSL ROCK,2,3B
J Casilla,.336,6,0,3,DSL CUB,2,OF
R De Castro,.330,6,0,0,DSL TB,1,DH
C Murillo,.362,6,0,0,DSL AST,1,OF
J Abreu,.370,1,3,0,DSL WSX,1,OF
F Marte,.267,3,0,2,DSL NYY2,2,OF
E Barrera,1.000,0,0,0,DSL MTS,0,P
A Araiza,.371,11,3,0,DSL TB,0,DH
J De Leon,.319,6,1,0,DSL BRW,0,3B
A Reyes,.344,11,1,0,DSL NYY2,11,SS
X Batista,.371,11,4,2,DSL CUB2,4,OF
Y Jaquez,.281,0,0,0,DSL PIR,0,C
M Ramirez,.337,8,0,1,DSL FLA,7,RF
F Sanchez,.299,6,4,2,DSL CUB,6,SS
M Boscan,.279,4,2,2,DSL IND,3,2B
D Dominguez,.366,3,1,3,DSL ORI,5,OF
J Fledi,.357,0,0,0,DSL IND,0,OF
J Pena,.333,7,0,0,DSL CUB,0,C
J Polanco,.366,8,1,1,DSL TWI,7,C
D Garcia,.450,2,0,0,DSL PIR,0,C
V Trinidad,.500,0,0,0,DSL ATH,0,P
V Feliz,.407,4,0,2,DSL GSI,2,DH
A Rosa,.397,12,3,3,DSL TB,9,SS
G Pena,.389,7,1,5,DSL DOD,6,OF
J Rodriguez,.361,5,1,3,DSL CUB2,8,2B
A Castillo,.333,1,0,0,DSL NYY1,1,3B
M Rivera,.302,7,5,2,DSL PIR,9,3B
