AVG,Team,SB,H,AB,G,R,3B,Player,POS
.294,BRE,17,30,102,30,11,1,J Davis,OF
.322,RAN,12,48,149,41,36,0,I Kiner-Falefa,2B
.236,ANG,3,43,182,50,21,2,T Johnson,1B
.258,ROY,4,23,89,30,12,0,C Cano,OF
.271,ANG,4,52,192,51,23,2,N Delgado,OF
.297,IND,3,51,172,44,32,5,C Frazier,CF
.262,ANG,3,11,42,23,7,0,P Pizarro,C
.272,DOD,4,31,114,36,17,0,J Cordero,1B
.167,CUB,0,1,6,2,0,0,K Bryant,3B
.238,DIA,1,25,105,28,12,3,Y Rosario,OF
.260,RED,1,45,173,45,17,0,K Franklin,3B
.310,MAR,2,31,100,28,12,3,T O'Neill,OF
.159,DIA,2,14,88,31,9,1,D Smith,OF
.307,GIA,13,31,101,34,22,1,C Paulino,OF
.178,DOD,3,16,90,31,13,4,R Torres,OF
.360,GIA,0,9,25,7,6,0,R Tuntland,3B
.000,PAD,0,0,5,2,1,0,E Minaya,RF
.260,BRE,6,33,127,37,16,1,E Williams,OF
.360,MAR,2,9,25,7,4,0,E Mejia,SS
.227,RED,0,17,75,23,10,1,A Guzman,1B
.333,IND,0,5,15,5,4,0,F Lora,RF
.000,RAN,0,0,4,1,0,0,R Duran,3B
.209,RED,8,34,163,41,11,0,A Chavez,1B
.000,DOD,0,0,4,1,0,0,D Papantonopoulos,C
.257,PAD,1,49,191,49,32,5,J Urena,OF
.224,PAD,0,24,107,33,10,2,J Ruiz,C
.284,MAR,5,42,148,42,23,4,C Scammell,1B
.154,GIA,0,2,13,4,0,0,R Melendez,C
.175,BRE,0,7,40,16,4,0,J Andrade,C
.167,RED,0,4,24,9,2,0,C Tromp,C
.288,ANG,13,45,156,48,28,3,Q Davis,LF
.125,MAR,2,4,32,15,5,3,R Michel,OF
.250,ATH,2,16,64,22,12,1,S Masik,OF
.241,RAN,4,39,162,42,14,4,T McDonald,OF
.244,ROY,6,19,78,25,15,1,L Davis,SS
.333,RED,1,6,18,5,4,1,R Bueno,SS
.315,RAN,0,17,54,14,5,0,E Pinto,RF
.225,GIA,0,27,120,32,18,0,J Jones,1B
.278,PAD,10,44,158,44,33,2,J VanMeter,SS
.286,BRE,21,46,161,45,37,5,B Diaz,OF
.409,ANG,6,27,66,20,19,2,M Fish,OF
.714,CUB,1,5,7,2,2,0,L Valbuena,3B
.167,DIA,4,26,156,43,16,0,D McFarland,OF
.299,DOD,3,23,77,22,11,0,J Henderson,LF
.286,PAD,0,2,7,2,3,0,E Charles,2B
.270,PAD,2,17,63,24,9,1,C Martinez,3B
.196,DIA,6,11,56,18,10,1,M Vinson,OF
.000,MAR,0,0,3,1,0,0,J Franco,1B
.200,GIA,0,13,65,21,6,2,J Riley,C
.277,ATH,10,28,101,33,22,1,B McQuown,OF
.246,ATH,4,34,138,35,22,3,S Duinkerk,1B
.198,DIA,0,16,81,29,18,3,R Mejias,3B
.342,GIA,10,40,117,28,18,3,R Moreno,SS
.300,MAR,0,6,20,6,1,0,G Pimentel,LF
.083,PAD,0,1,12,4,2,0,A Contreras,SS
.333,DOD,1,1,3,1,0,0,E Smith,C
.281,IND,2,43,153,43,22,3,Y Mendoza,3B
.475,ATH,0,19,40,10,9,1,R Huck,1B
.202,ROY,5,21,104,33,10,0,C Gonzalez,C
.269,ATH,0,14,52,17,8,0,K Wheeler,C
.281,RED,2,41,146,40,17,5,L Uxa,1B
.207,BRE,6,25,121,42,14,2,L Aviles,SS
.213,ANG,0,10,47,12,2,0,M Scioscia,1B
.262,CUB,0,34,130,40,18,0,K Freeman,1B
.178,RED,0,16,90,29,6,0,J Duarte,C
.269,ROY,4,35,130,38,21,1,A Patino,2B
.459,ROY,1,17,37,11,6,1,E Rincon,3B
.182,GIA,0,2,11,4,3,1,A Pagan,CF
.209,BRE,1,18,86,29,12,1,A Sharkey,1B
.209,CUB,0,18,86,30,10,0,W Petit,C
.067,ANG,1,1,15,6,3,0,S McGee,C
.000,DOD,0,0,1,1,0,0,J Linares,C
.270,CUB,0,31,115,38,22,1,M Malave,1B
.417,PAD,0,5,12,4,3,0,F Perez,3B
.250,ROY,0,1,4,1,2,0,A Estades,CF
.130,ROY,2,3,23,5,3,0,L Valenzuela,2B
.317,RAN,0,13,41,11,6,1,T Wrenn,2B
.265,CUB,0,13,49,16,6,0,E Castillo,C
