SH,GIDP,Player,OBP,G,HR,H,AB
7,2,T Campana,0.335,108,0,122,430
0,1,J Kunkel,0.214,8,0,5,26
0,0,J Baksh,0.222,2,0,1,8
1,0,D Gregorius,0.274,22,0,18,71
3,1,L Sanchez,0.243,24,0,12,67
3,3,C White,0.303,90,4,75,319
6,4,J Reed,0.306,124,2,106,478
0,1,M Roberts,0.143,7,0,3,21
3,2,R Tomas,0.18,32,0,13,92
2,4,O Marmol,0.321,74,2,38,186
0,0,D Doyle,1.0,1,0,3,3
0,7,F Rivera,0.297,99,3,85,338
5,6,D Sublett,0.376,114,4,107,397
1,3,A De La Rosa,0.221,36,0,23,111
3,3,B McElroy,0.39,49,3,47,175
0,0,L Fernandez,0.125,3,0,1,8
6,4,S O'Malley,0.388,103,1,98,366
3,3,J Gil,0.248,29,0,20,96
1,1,E Landoni,0.333,10,0,5,27
7,4,G Burns,0.335,132,4,115,475
0,0,E Ontiveros,0.0,2,0,0,4
4,2,J Diaz,0.326,97,2,93,368
0,3,D Thomas,0.332,75,4,72,272
0,1,C Gillespie,0.431,12,1,15,43
0,3,M Gosse,0.291,24,1,18,74
1,8,J Tolisano,0.305,106,12,93,401
0,4,M Fields,0.293,51,11,52,201
0,2,L Morrison,0.333,3,0,3,11
3,0,P Powell,0.375,26,0,24,79
0,0,B Whiteside,0.161,14,0,2,28
1,4,C Cipriano,0.402,72,5,71,239
26,10,E Farris,0.341,124,7,141,473
1,11,M Sierra,0.36,110,5,116,405
2,5,J Tordi,0.189,67,1,35,209
0,0,P Kozma,0.381,18,0,23,73
0,1,L Hurtado,0.2,2,0,1,5
0,3,J Richardson,0.231,22,0,13,62
0,3,A Machado,0.375,12,0,13,47
2,1,D Mastroianni,0.426,61,0,75,231
2,6,Z Wheeler,0.37,125,7,110,410
0,1,Y Kuo,0.0,1,0,0,3
5,3,S Williams,0.33,96,3,78,317
1,10,K Ahrens,0.282,105,4,81,377
0,3,J Gualdron,0.241,36,2,25,108
0,0,D Garcia,0.286,3,0,2,6
1,9,R Havens,0.361,97,14,89,360
0,1,B Van Kirk,0.444,6,2,6,20
0,8,T Colvin,0.326,32,1,28,112
0,13,A Romine,0.322,118,13,122,442
0,10,Z Lutz,0.381,99,11,101,356
5,7,E Bigley,0.336,95,5,92,328
0,0,S Strausbaugh,0.5,1,0,2,4
1,7,C Cutler,0.406,44,1,40,146
0,2,J Vitters,0.26,50,3,45,189
0,3,C Emanuele,0.274,21,4,15,76
0,1,F Guzman,0.364,6,0,5,19
0,1,T Glaus,0.231,6,0,5,25
0,0,R Henriquez,0.474,6,0,8,18
1,7,A Luna,0.374,54,8,47,186
3,6,T Pham,0.313,114,8,78,336
0,0,J Cruz,0.184,11,0,6,37
0,1,B Alvino,0.333,13,0,11,41
