SO,RBI,SB,Gact,PA,G
63,95,16,152,660,160
2,0,0,3,3,3
27,4,0,35,90,37
1,0,0,4,4,4
15,45,3,121,489,127
4,0,0,19,10,20
28,35,25,124,528,130
23,17,3,64,312,67
21,30,3,128,444,135
5,13,1,54,105,57
11,5,0,49,64,52
45,56,3,118,409,124
2,0,0,26,26,27
28,40,7,96,417,101
14,25,2,78,180,82
5,1,0,21,35,22
8,7,0,33,83,35
9,8,0,49,94,52
13,17,4,77,248,81
21,28,16,117,495,123
0,2,0,6,23,6
1,1,0,4,19,4
15,25,2,70,227,74
6,4,0,32,88,34
2,6,3,13,42,14
22,44,8,87,405,92
15,3,0,36,87,38
3,4,0,26,36,27
2,0,0,8,4,8
1,0,0,10,8,11
13,23,1,72,229,76
2,0,0,13,8,14
66,61,22,127,562,134
5,1,0,29,57,31
34,93,2,128,559,135
13,13,0,38,91,40
0,1,0,3,5,3
25,57,11,113,452,119
1,0,0,3,2,3
38,46,7,117,478,123
7,11,1,40,83,42
16,9,2,59,140,62
0,0,0,4,8,4
0,0,0,3,3,3
17,4,0,33,95,35
14,28,7,86,315,90
16,10,1,46,119,48
8,8,5,32,145,34
28,29,2,94,354,99
3,2,0,16,23,17
13,1,0,35,60,37
0,0,0,2,7,2
16,7,0,37,86,39
11,19,7,84,308,88
0,0,0,4,2,4
0,0,0,2,1,2
17,5,0,40,101,42
3,0,0,7,19,7
34,54,3,142,638,149
55,106,7,149,651,157
2,0,1,6,15,6
4,2,0,9,22,9
26,73,6,133,608,140
0,1,1,4,8,4
1,2,0,11,2,12
14,7,1,40,140,42
36,48,4,148,577,156
45,115,25,143,645,150
27,60,16,130,577,137
25,72,23,145,709,153
3,0,0,16,17,17
7,12,1,64,137,67
31,65,18,151,696,159
21,7,0,44,88,46
18,28,8,94,355,99
62,90,10,147,648,155
3,1,0,12,8,13
11,0,0,37,24,39
4,0,0,12,5,13
5,0,0,33,18,35
15,0,0,28,38,29
16,2,0,35,76,37
59,79,6,151,665,159
2,4,0,34,70,36
17,10,0,59,236,62
1,4,0,6,10,6
18,51,8,102,407,107
13,67,6,105,391,110
6,4,1,18,61,19
12,0,0,34,25,36
65,85,33,117,536,123
5,1,0,21,21,22
0,1,0,7,11,7
20,51,4,104,403,109
35,46,14,156,754,164
2,0,0,13,18,14
12,3,0,33,56,35
43,47,7,118,469,124
42,49,1,145,592,153
23,16,3,61,254,64
3,1,0,29,32,31
8,9,2,26,80,27
60,36,5,137,618,144
34,98,5,143,671,150
0,0,0,4,5,4
8,10,0,21,75,22
9,14,4,46,140,48
12,38,1,87,230,92
48,60,4,107,455,113
1,3,0,38,55,40
13,3,1,37,54,39
13,25,1,70,251,74
16,7,4,50,127,53
5,15,0,38,83,40
6,6,2,15,49,16
0,0,0,4,5,4
13,11,0,35,117,37
9,18,1,66,138,69
48,122,7,154,704,162
2,0,0,7,20,7
11,4,3,52,94,55
56,83,19,142,611,149
8,7,0,39,82,41
1,0,0,8,7,8
8,24,1,24,105,25
2,0,0,16,12,17
4,5,0,33,35,35
1,0,0,9,17,9
4,14,1,33,70,35
6,63,10,146,645,154
0,0,0,8,5,8
1,1,0,8,11,8
15,23,4,37,159,39
14,60,5,135,586,142
9,2,0,26,22,27
0,0,0,3,1,3
45,48,2,114,432,120
2,0,0,8,21,8
3,5,0,24,63,25
24,32,1,90,255,95
7,12,1,69,111,73
21,60,13,110,436,116
17,65,3,144,689,151
1,0,0,3,2,3
7,9,0,27,67,28
6,5,0,25,56,26
12,26,1,53,149,56
27,40,5,106,388,112
17,38,1,94,341,99
4,1,0,31,50,33
3,0,0,15,14,16
