IP,oppRPA+,GS,YEAR,AVG,PA,oppOBP,TEAM
16.0,100,0,2012,0.302,72,0.317,DET
39.0,94,0,2012,0.286,171,0.309,NYA
0.7,107,0,2012,0.667,8,0.321,TOR
13.7,108,0,2012,0.212,56,0.324,WAS
77.7,104,0,2012,0.261,327,0.322,CHN
159.3,93,28,2012,0.23,653,0.308,WAS
1.7,94,1,2012,0.615,15,0.295,KCA
2.0,100,0,2012,0.167,7,0.321,CHA
30.0,91,1,2012,0.32,134,0.309,CHA
45.7,103,0,2012,0.251,198,0.322,ANA
120.3,99,20,2012,0.256,503,0.313,CHN
42.3,103,0,2012,0.269,197,0.321,NYN
15.7,105,0,2012,0.328,72,0.323,COL
25.7,100,0,2012,0.204,107,0.322,NYN
64.0,100,12,2012,0.309,296,0.314,CHN
130.7,95,21,2012,0.26,558,0.31,HOU
9.3,91,0,2012,0.308,51,0.307,WAS
39.3,109,7,2012,0.237,172,0.324,OAK
13.3,99,0,2012,0.317,73,0.315,KCA
29.3,100,0,2012,0.241,120,0.315,MIN
3.7,104,0,2012,0.1,15,0.327,SFN
43.7,100,0,2012,0.209,177,0.316,SFN
199.3,94,32,2012,0.206,822,0.307,WAS
14.0,92,0,2012,0.345,69,0.313,MIL
58.7,99,0,2012,0.265,273,0.318,MIL
74.7,101,12,2012,0.275,316,0.322,DET
7.7,95,0,2012,0.185,31,0.307,CLE
57.3,105,0,2012,0.229,230,0.323,ATL
219.7,101,33,2012,0.249,891,0.318,NYA
7.3,102,0,2012,0.345,33,0.312,NYA
14.3,104,0,2012,0.157,58,0.323,CHA
1.7,78,0,2012,0.429,9,0.286,SLN
13.3,104,1,2012,0.278,56,0.317,MIA
190.3,95,30,2012,0.241,788,0.308,NYN
6.7,118,0,2012,0.136,26,0.348,LAN
5.0,97,0,2012,0.125,20,0.313,PIT
202.3,96,31,2012,0.246,851,0.312,PIT
34.7,97,0,2012,0.238,138,0.312,CHA
69.7,102,0,2012,0.216,295,0.321,KCA
29.7,98,7,2012,0.314,135,0.311,CHN
125.3,108,16,2012,0.248,519,0.326,SEA
85.3,102,16,2012,0.286,377,0.316,HOU
66.3,106,0,2012,0.217,283,0.322,BAL
42.0,102,0,2012,0.244,175,0.322,TOR
21.3,99,4,2012,0.314,99,0.317,NYN
5.0,108,0,2012,0.481,32,0.328,HOU
6.0,88,0,2012,0.464,33,0.305,CLE
55.0,104,0,2012,0.297,253,0.323,HOU
6.0,88,0,2012,0.318,34,0.298,BOS
177.3,99,31,2012,0.238,759,0.314,TBA
1.0,100,0,2012,0.4,5,0.317,ARI
138.0,98,12,2012,0.208,520,0.314,ATL
3.0,96,0,2012,0.412,20,0.298,OAK
25.3,103,0,2012,0.178,104,0.323,MIA
9.7,97,0,2012,0.242,44,0.31,OAK
45.0,99,0,2012,0.265,196,0.318,LAN
28.7,93,4,2012,0.313,143,0.305,CHN
9.0,90,2,2012,0.294,41,0.304,MIL
20.0,97,0,2012,0.23,86,0.315,SLN
10.3,104,0,2012,0.268,47,0.323,BAL
57.3,100,0,2012,0.221,237,0.319,CIN
19.0,91,0,2012,0.395,97,0.304,HOU
181.3,108,29,2012,0.248,751,0.327,OAK
23.0,104,0,2012,0.253,104,0.321,SEA
32.7,99,6,2012,0.27,143,0.316,WAS
11.3,101,3,2012,0.37,57,0.314,COL
37.0,97,0,2012,0.302,166,0.316,MIL
57.7,103,0,2012,0.248,235,0.321,SDN
