oppSLG,VORP,LVL,TEAM,YEAR,PA,G
0.428,2.9,MLB,LAN,2012,286,68
0.424,19.2,MLB,TBA,2012,944,33
0.41,6.5,MLB,SLN,2012,279,67
0.415,7.3,MLB,TEX,2012,300,12
0.415,-1.3,MLB,TOR,2012,123,24
0.405,-2.0,MLB,ANA,2012,172,28
0.406,-0.9,MLB,NYN,2012,99,8
0.415,7.1,MLB,NYA,2012,239,80
0.398,1.3,MLB,PIT,2012,26,8
0.432,8.2,MLB,KCA,2012,156,7
0.424,25.0,MLB,OAK,2012,751,29
0.389,10.0,MLB,COL,2012,314,14
0.415,6.9,MLB,SDN,2012,144,40
0.414,1.2,MLB,DET,2012,72,12
0.401,-1.4,MLB,KCA,2012,217,42
0.399,-4.0,MLB,NYN,2012,46,3
0.401,-0.4,MLB,ARI,2012,252,64
0.41,3.1,MLB,COL,2012,72,15
0.415,3.5,MLB,ATL,2012,230,64
0.412,1.3,MLB,BOS,2012,361,69
0.394,1.6,MLB,MIL,2012,303,70
0.407,7.3,MLB,CHA,2012,238,62
0.402,1.2,MLB,PHI,2012,56,17
0.402,0.3,MLB,ATL,2012,136,18
0.401,0.6,MLB,LAN,2012,307,66
0.399,-3.9,MLB,CHN,2012,119,17
0.398,10.3,MLB,ARI,2012,454,22
0.385,4.6,MLB,COL,2012,131,23
0.427,-0.7,MLB,DET,2012,13,2
0.417,6.5,MLB,SEA,2012,109,18
0.415,1.2,MLB,TBA,2012,122,6
0.419,7.7,MLB,TEX,2012,264,17
0.446,-3.0,MLB,BOS,2012,34,2
0.4,7.9,MLB,MIA,2012,270,65
0.414,12.2,MLB,SEA,2012,326,73
0.409,2.3,MLB,OAK,2012,261,63
0.397,1.1,MLB,PHI,2012,44,13
0.437,0.6,MLB,OAK,2012,10,1
0.429,8.4,MLB,KCA,2012,366,14
0.395,3.9,MLB,SFN,2012,177,44
0.4,35.0,MLB,CHA,2012,772,30
0.411,-3.1,MLB,ANA,2012,198,50
0.416,-2.5,MLB,SFN,2012,272,73
0.391,1.8,MLB,SDN,2012,105,27
0.41,7.1,MLB,CHA,2012,301,65
0.399,-2.1,MLB,CLE,2012,108,18
0.392,8.0,MLB,MIL,2012,165,7
0.415,10.4,MLB,NYA,2012,748,28
0.405,0.8,MLB,KCA,2012,148,12
0.375,1.6,MLB,COL,2012,33,6
0.394,19.3,MLB,LAN,2012,633,25
0.412,5.4,MLB,SLN,2012,256,65
0.415,-2.0,MLB,ANA,2012,20,3
0.405,14.7,MLB,COL,2012,502,24
0.401,0.3,MLB,TOR,2012,136,13
0.397,11.7,MLB,WAS,2012,370,59
0.394,1.2,MLB,SDN,2012,48,11
0.42,8.3,MLB,TBA,2012,264,76
0.39,-5.9,MLB,NYN,2012,216,45
0.425,7.8,MLB,MIL,2012,131,36
0.408,-3.7,MLB,BOS,2012,215,11
0.389,-5.6,MLB,COL,2012,422,19
0.401,4.7,MLB,KCA,2012,396,16
0.402,-2.2,MLB,SFN,2012,133,22
0.408,-2.0,MLB,MIA,2012,66,11
0.409,8.6,MLB,MIN,2012,714,27
0.404,0.2,MLB,CHN,2012,85,4
0.413,9.6,MLB,TEX,2012,228,61
0.409,10.2,MLB,CHA,2012,568,25
0.406,0.3,MLB,HOU,2012,827,32
0.391,10.6,MLB,SDN,2012,383,18
0.408,-0.2,MLB,TOR,2012,8,2
0.401,-0.0,MLB,SFN,2012,15,6
0.394,25.4,MLB,PIT,2012,851,31
0.418,-0.4,MLB,LAN,2012,21,7
0.396,-3.1,MLB,SDN,2012,169,7
0.389,2.1,MLB,PIT,2012,107,10
0.413,29.2,MLB,TBA,2012,836,31
0.39,-6.7,MLB,CHA,2012,134,18
0.416,2.9,MLB,SLN,2012,97,29
0.398,28.4,MLB,SLN,2012,831,32
0.403,31.0,MLB,SFN,2012,876,32
0.407,5.2,MLB,ANA,2012,172,45
0.399,4.4,MLB,PIT,2012,330,61
0.411,-4.5,MLB,SLN,2012,196,70
0.413,10.7,MLB,BAL,2012,434,18
0.409,4.6,MLB,KCA,2012,168,51
0.364,12.6,MLB,TEX,2012,7,1
0.406,14.1,MLB,DET,2012,235,57
0.394,0.9,MLB,CHA,2012,138,35
0.419,20.8,MLB,ATL,2012,231,63
0.358,-1.7,MLB,MIA,2012,23,1
0.397,10.4,MLB,CHN,2012,292,77
0.401,-2.3,MLB,TOR,2012,36,10
0.406,-1.8,MLB,CLE,2012,233,63
0.404,-6.4,MLB,PIT,2012,728,32
0.376,0.4,MLB,ARI,2012,5,1
0.389,-1.5,MLB,HOU,2012,7,1
0.383,-0.7,MLB,NYA,2012,5,1
0.413,5.6,MLB,HOU,2012,154,37
0.377,-0.6,MLB,LAN,2012,4,1
0.409,11.7,MLB,TOR,2012,242,62
0.411,4.1,MLB,TEX,2012,177,12
0.396,3.1,MLB,BAL,2012,151,12
0.413,2.2,MLB,ARI,2012,263,77
0.411,-0.2,MLB,NYN,2012,74,5
0.347,1.1,MLB,CIN,2012,22,3
0.404,6.1,MLB,NYA,2012,461,30
0.399,0.7,MLB,PHI,2012,29,6
0.395,0.5,MLB,PIT,2012,57,12
0.413,-0.1,MLB,BAL,2012,47,6
0.37,-0.1,MLB,WAS,2012,51,11
0.401,-1.0,MLB,SDN,2012,411,24
0.432,-0.8,MLB,TEX,2012,10,3
0.411,7.9,MLB,DET,2012,288,73
0.403,1.4,MLB,ARI,2012,163,45
0.403,-2.7,MLB,SDN,2012,280,67
0.405,1.9,MLB,HOU,2012,105,6
0.423,9.5,MLB,HOU,2012,310,71
0.404,4.6,MLB,ATL,2012,749,28
0.396,9.1,MLB,PIT,2012,557,24
0.416,9.6,MLB,CLE,2012,286,70
0.4,4.3,MLB,SLN,2012,54,6
0.398,1.3,MLB,SDN,2012,401,15
0.397,0.6,MLB,TEX,2012,175,8
0.399,-1.3,MLB,OAK,2012,44,11
0.406,-11.0,MLB,BAL,2012,573,33
0.363,3.3,MLB,CHA,2012,4,1
0.406,9.2,MLB,WAS,2012,239,70
0.405,-5.1,MLB,PHI,2012,140,35
0.407,24.3,MLB,TBA,2012,759,31
0.405,21.2,MLB,CIN,2012,858,33
0.422,-0.2,MLB,MIN,2012,94,17
0.398,19.6,MLB,CHN,2012,723,28
0.441,-1.1,MLB,NYA,2012,17,1
0.384,-1.7,MLB,SLN,2012,41,9
0.415,-0.1,MLB,ARI,2012,6,1
0.404,4.3,MLB,LAN,2012,196,45
0.405,-3.5,MLB,SFN,2012,112,19
0.419,8.5,MLB,MIN,2012,245,64
0.401,9.4,MLB,BAL,2012,224,54
0.414,16.9,MLB,OAK,2012,636,24
0.412,6.5,MLB,TEX,2012,265,58
0.422,4.0,MLB,LAN,2012,108,28
0.416,-1.1,MLB,MIN,2012,271,12
0.415,8.1,MLB,TBA,2012,569,23
0.418,-0.4,MLB,MIN,2012,413,44
0.416,7.2,MLB,TOR,2012,117,33
0.404,-1.2,MLB,OAK,2012,116,26
0.399,4.4,MLB,COL,2012,231,23
0.404,-1.0,MLB,TBA,2012,203,55
0.395,2.4,MLB,PIT,2012,162,43
0.417,-1.4,MLB,CHN,2012,205,48
0.4,-2.5,MLB,COL,2012,53,3
0.408,12.0,MLB,OAK,2012,469,18
0.416,13.6,MLB,BOS,2012,709,29
0.384,43.4,MLB,WAS,2012,653,28
0.414,3.5,MLB,NYA,2012,95,22
0.398,5.5,MLB,OAK,2012,137,6
0.387,-0.4,MLB,CHN,2012,34,4
0.419,-0.1,MLB,SEA,2012,638,26
0.419,8.4,MLB,ANA,2012,219,56
0.395,17.7,MLB,SFN,2012,788,31
0.41,15.5,MLB,TEX,2012,536,29
0.397,3.7,MLB,TBA,2012,262,66
0.401,-0.8,MLB,BAL,2012,21,5
0.41,-3.1,MLB,SEA,2012,104,26
0.408,0.6,MLB,LAN,2012,83,23
0.409,-0.6,MLB,HOU,2012,134,35
0.389,1.4,MLB,ATL,2012,761,31
0.4,-4.9,MLB,OAK,2012,98,5
0.411,3.4,MLB,CHN,2012,135,7
0.394,0.4,MLB,TOR,2012,160,41
0.4,15.6,MLB,CHN,2012,417,16
0.407,14.9,MLB,ANA,2012,739,30
0.403,-1.9,MLB,BAL,2012,145,14
0.406,4.6,MLB,SFN,2012,267,67
0.357,-0.5,MLB,ANA,2012,11,2
0.407,0.5,MLB,KCA,2012,151,35
0.414,54.4,MLB,DET,2012,956,33
0.407,5.7,MLB,HOU,2012,628,25
0.414,0.2,MLB,SDN,2012,50,11
0.402,-1.6,MLB,COL,2012,57,3
0.418,12.1,MLB,TOR,2012,521,38
0.409,5.2,MLB,ANA,2012,178,49
0.414,6.0,MLB,KCA,2012,800,32
0.412,11.9,MLB,COL,2012,295,75
0.395,10.0,MLB,PHI,2012,560,21
0.404,0.4,MLB,KCA,2012,73,13
0.419,23.9,MLB,BAL,2012,493,20
0.403,6.8,MLB,BAL,2012,269,71
0.388,9.1,MLB,ARI,2012,375,28
0.391,37.0,MLB,WAS,2012,822,32
0.41,3.2,MLB,PHI,2012,147,35
0.51,-3.0,MLB,CHN,2012,6,2
0.415,4.7,MLB,MIN,2012,309,67
0.399,-1.1,MLB,CHN,2012,424,18
0.396,-3.7,MLB,MIL,2012,156,26
0.416,1.9,MLB,ATL,2012,76,12
0.397,-3.6,MLB,HOU,2012,79,3
0.394,-1.7,MLB,CLE,2012,31,8
0.412,-3.3,MLB,CLE,2012,62,3
0.386,4.4,MLB,ATL,2012,207,9
0.401,3.4,MLB,MIA,2012,104,44
0.404,5.4,MLB,TEX,2012,130,37
0.403,2.4,MLB,LAN,2012,786,31
0.414,4.9,MLB,CHN,2012,327,80
0.396,-0.9,MLB,SDN,2012,119,5
0.403,-3.6,MLB,PIT,2012,223,9
0.423,7.6,MLB,SEA,2012,238,16
0.406,19.5,MLB,NYA,2012,891,33
0.394,6.8,MLB,COL,2012,231,31
0.399,7.5,MLB,WAS,2012,151,47
0.415,-4.5,MLB,CLE,2012,61,12
0.388,-1.3,MLB,CLE,2012,33,9
0.406,-3.0,MLB,MIN,2012,98,12
0.395,6.3,MLB,PHI,2012,113,27
0.379,0.6,MLB,MIA,2012,17,4
0.402,5.0,MLB,MIA,2012,284,25
0.399,21.1,MLB,SLN,2012,515,20
0.395,26.4,MLB,ATL,2012,520,50
0.425,-0.4,MLB,LAN,2012,19,2
0.399,1.4,MLB,CHN,2012,143,12
0.4,1.6,MLB,TEX,2012,162,36
0.41,2.3,MLB,NYA,2012,32,9
0.354,-2.0,MLB,NYN,2012,18,4
0.41,8.5,MLB,CLE,2012,242,61
0.404,-1.0,MLB,TEX,2012,730,29
0.404,4.7,MLB,TOR,2012,104,30
0.375,-0.0,MLB,COL,2012,459,23
0.41,3.9,MLB,NYA,2012,155,70
0.404,0.3,MLB,TOR,2012,72,14
0.403,-2.0,MLB,TOR,2012,40,6
0.405,3.9,MLB,DET,2012,53,8
0.425,13.2,MLB,TOR,2012,170,10
0.424,9.0,MLB,BAL,2012,496,24
0.408,4.5,MLB,SDN,2012,235,64
0.42,3.3,MLB,SDN,2012,68,26
0.401,10.2,MLB,PHI,2012,674,37
0.406,-0.4,MLB,TOR,2012,15,3
0.4,3.9,MLB,SEA,2012,193,46
0.401,4.2,MLB,SFN,2012,799,32
0.401,3.4,MLB,CHA,2012,90,17
0.412,4.1,MLB,PHI,2012,131,32
0.417,-1.4,MLB,KCA,2012,42,9
0.408,-4.0,MLB,MIA,2012,161,41
0.384,0.3,MLB,CIN,2012,3,1
0.404,18.2,MLB,CIN,2012,835,32
0.419,5.7,MLB,BOS,2012,169,53
0.369,0.6,MLB,CHA,2012,30,2
0.397,-0.3,MLB,MIA,2012,40,11
0.412,-2.1,MLB,MIA,2012,56,8
0.395,9.4,MLB,HOU,2012,558,21
0.434,0.5,MLB,TOR,2012,10,2
0.406,-3.5,MLB,ATL,2012,227,11
0.416,6.6,MLB,CLE,2012,543,22
0.392,1.9,MLB,ATL,2012,80,22
0.412,-1.1,MLB,OAK,2012,21,4
0.415,11.7,MLB,NYN,2012,288,74
0.359,1.0,MLB,SFN,2012,45,4
0.435,-1.4,MLB,TOR,2012,33,5
0.401,15.7,MLB,HOU,2012,732,29
0.41,4.1,MLB,BOS,2012,218,56
0.392,-2.2,MLB,TBA,2012,22,5
0.392,4.5,MLB,CIN,2012,123,28
0.421,-0.8,MLB,SLN,2012,26,6
0.392,-2.0,MLB,HOU,2012,107,18
0.395,-4.8,MLB,PIT,2012,316,66
0.411,6.5,MLB,MIL,2012,113,6
0.435,0.7,MLB,BOS,2012,31,4
0.404,-0.8,MLB,MIL,2012,69,9
0.41,-2.9,MLB,BOS,2012,157,40
0.405,-1.0,MLB,SFN,2012,28,8
0.406,10.0,MLB,KCA,2012,295,72
0.406,12.9,MLB,BOS,2012,876,33
0.398,-0.0,MLB,SLN,2012,751,28
