RBI,OBP,3B,H,SB,G
13,.248,1,23,1,47
30,.409,3,54,11,62
8,.333,0,16,2,21
13,.250,0,32,2,45
18,.291,2,23,2,38
3,.232,0,7,1,18
15,.317,0,25,2,32
7,.324,0,15,13,48
6,.237,1,8,0,29
19,.291,1,25,3,41
2,.196,0,5,0,20
3,.219,1,13,1,28
8,.363,1,24,0,22
27,.366,6,68,15,69
29,.341,4,47,8,58
2,.205,0,5,0,18
7,.395,0,17,3,35
0,.500,0,1,0,1
13,.325,2,31,8,47
7,.300,1,33,0,60
12,.304,2,54,17,59
13,.326,3,35,5,48
18,.431,2,42,7,52
26,.323,1,55,17,67
17,.374,1,43,2,60
7,.308,0,13,4,20
24,.377,4,32,8,58
13,.365,2,50,12,51
0,.143,0,1,0,2
3,.257,0,3,0,13
25,.380,1,45,12,59
5,.417,0,9,1,17
7,.348,0,17,0,32
3,.340,0,9,0,17
23,.278,2,38,1,48
1,.260,0,7,0,31
0,.250,0,1,0,1
15,.354,1,39,2,44
3,.333,0,12,2,21
14,.357,3,47,7,64
27,.359,2,67,14,68
0,.500,0,0,0,1
21,.392,1,52,3,62
16,.397,0,38,3,40
25,.335,0,39,10,59
4,.178,0,6,0,26
26,.389,5,53,19,54
24,.357,3,56,3,58
11,.293,1,20,0,37
11,.301,0,33,6,56
1,.188,1,1,0,8
11,.376,1,20,3,37
10,.349,1,18,2,22
5,.434,1,18,2,17
4,.288,0,7,1,20
11,.287,1,19,4,30
11,.453,1,22,8,23
14,.301,1,26,10,40
2,.255,0,6,3,29
9,.319,1,27,7,33
24,.265,2,44,8,62
18,.304,0,22,1,44
5,.291,0,18,0,43
30,.409,0,41,2,52
2,.310,1,12,3,16
7,.238,0,23,0,44
9,.239,0,13,1,27
6,.337,0,15,0,32
0,.200,0,1,0,1
12,.390,0,16,4,26
23,.328,1,48,10,52
0,.148,0,2,5,32
18,.348,0,39,2,49
25,.285,1,42,15,64
0,.083,0,0,1,7
30,.345,5,61,12,64
23,.361,0,58,3,59
18,.401,0,36,4,51
14,.250,2,31,2,54
0,--,0,0,0,1
15,.378,2,53,26,64
2,.256,0,9,0,16
12,.362,0,44,31,49
4,.238,0,15,5,25
3,.375,1,6,2,8
28,.352,1,47,2,47
11,.281,1,19,0,38
10,.337,2,49,9,50
1,.500,0,2,0,1
7,.443,0,11,0,24
10,.272,0,21,0,35
28,.356,0,55,11,61
12,.375,0,38,5,49
27,.283,3,52,4,59
20,.319,1,41,15,56
6,.333,0,11,0,29
0,.250,0,1,0,3
0,.333,0,1,0,12
13,.324,0,42,1,41
11,.367,0,20,0,40
12,.280,0,29,1,47
20,.328,1,50,9,56
0,.265,0,4,0,14
22,.333,0,42,8,51
6,.233,0,9,1,23
1,.400,0,0,0,2
6,.365,1,17,5,30
1,.385,0,2,0,9
10,.333,0,16,0,22
29,.375,3,67,18,69
4,.279,0,7,1,24
17,.297,0,28,3,40
15,.371,1,27,2,37
37,.315,4,58,7,67
3,.258,0,18,6,34
0,.282,0,4,1,15
3,.269,2,7,1,9
6,.402,0,20,5,38
28,.396,2,52,4,62
0,.231,0,1,0,7
2,.244,0,8,0,25
6,.250,0,10,1,38
8,.341,0,10,0,14
14,.335,5,47,8,54
12,.358,1,39,13,57
16,.305,2,36,8,55
18,.240,0,49,0,61
17,.295,0,31,9,52
6,.304,0,16,7,36
10,.301,0,13,1,31
10,.308,1,8,0,21
0,.368,0,4,2,6
1,.241,0,3,1,21
21,.277,0,28,3,43
14,.382,3,42,6,58
1,.474,0,2,2,10
7,.304,0,23,2,40
12,.400,0,10,1,11
11,.346,0,29,6,36
14,.385,0,37,6,56
2,.235,0,5,0,12
1,.157,0,3,1,20
0,.500,0,0,0,2
33,.382,6,79,17,70
12,.287,1,25,7,58
11,.378,1,28,12,38
1,.293,0,7,4,13
4,.279,0,7,0,15
3,.254,0,10,3,32
23,.291,0,54,5,63
7,.300,3,31,6,57
11,.310,2,30,8,39
8,.286,0,13,0,25
38,.440,1,64,22,63
10,.311,0,14,2,46
24,.420,1,42,11,46
0,--,0,0,0,1
15,.345,2,37,12,52
10,.277,1,18,2,35
2,.231,0,2,0,5
20,.371,0,40,7,57
2,.313,0,9,7,35
20,.253,0,28,0,46
1,.250,0,5,1,15
34,.307,2,52,3,59
8,.339,0,24,3,46
2,.333,0,3,0,3
0,.000,0,0,0,1
7,.283,0,9,0,25
2,.160,0,3,0,8
5,.302,0,11,0,16
37,.332,3,55,12,66
22,.307,2,54,9,67
14,.348,1,30,1,41
19,.470,4,54,10,55
5,.293,0,16,1,29
18,.306,1,28,4,36
6,.326,0,8,0,14
9,.375,0,49,13,58
6,.304,0,17,0,34
33,.308,0,56,0,58
19,.361,0,38,0,62
11,.279,4,51,11,63
46,.317,2,61,1,66
21,.335,2,65,23,63
30,.335,0,30,2,52
8,.241,0,23,0,55
36,.328,3,44,14,61
27,.381,0,62,20,58
1,.234,0,6,4,13
9,.389,0,25,2,37
5,.323,0,22,7,40
2,.431,0,10,0,21
34,.333,7,57,14,72
26,.376,4,46,19,58
19,.356,3,50,3,60
9,.303,0,19,2,34
0,.320,0,4,1,23
20,.355,2,41,2,50
7,.351,0,14,6,28
5,.397,3,22,14,44
2,.269,0,4,2,9
3,.274,0,14,5,33
5,.286,0,32,4,55
3,.238,0,14,2,26
0,.200,0,4,0,12
15,.339,1,24,6,44
28,.368,1,58,10,62
3,.387,0,6,1,11
