AB,POS,SH,SB,SLG,HR,H,2B,OPS,OBP
52,CF,0,1,.154,0,5,1,.357,.203
17,SS,0,1,.235,0,3,1,.535,.300
20,OF,0,0,.150,0,3,0,.358,.208
210,2B,4,8,.376,1,61,7,.705,.329
127,C,0,2,.488,7,31,10,.833,.345
41,C,0,0,.146,0,6,0,.369,.222
12,SS,0,0,.750,1,4,2,1.083,.333
95,3B,0,0,.242,0,20,3,.528,.286
0,P,0,0,--,0,0,0,--,--
177,SS,3,6,.384,1,49,10,.692,.308
113,3B,0,2,.425,2,29,13,.798,.373
190,OF,1,2,.432,3,48,17,.747,.316
77,3B,0,1,.208,1,12,1,.490,.283
7,OF,0,0,.571,0,4,0,1.238,.667
20,3B,0,0,.500,1,5,2,.786,.286
131,1B,1,2,.542,8,38,9,.926,.384
10,1B,0,0,.400,0,3,1,.764,.364
67,1B,0,1,.373,1,19,3,.687,.314
178,3B,0,0,.242,1,31,5,.485,.244
17,1B,0,1,.235,0,4,0,.644,.409
115,OF,4,4,.417,1,36,5,.832,.415
171,SS,4,8,.287,0,44,5,.676,.389
137,2B,1,0,.365,1,35,10,.725,.360
8,OF,0,0,.625,0,5,0,1.325,.700
21,SS,0,0,.143,0,2,1,.234,.091
0,P,0,0,--,0,0,0,--,--
183,OF,2,15,.399,3,51,9,.755,.356
210,OF,0,2,.314,2,46,8,.611,.297
113,OF,1,3,.381,2,32,5,.700,.319
6,SS,0,0,.167,0,1,0,.333,.167
75,OF,0,1,.293,1,13,4,.543,.250
173,SS,1,6,.399,1,51,13,.743,.344
107,C,0,0,.421,3,30,6,.786,.366
56,C,1,0,.250,0,13,1,.563,.313
143,OF,1,2,.357,5,29,5,.605,.248
57,SS,0,4,.351,1,12,3,.639,.288
217,1B,0,3,.470,5,69,18,.837,.367
179,OF,0,9,.330,1,44,8,.694,.364
153,CF,0,7,.346,0,44,5,.684,.337
99,SS,3,3,.232,0,21,2,.605,.373
85,OF,1,1,.247,0,18,3,.483,.236
83,3B,1,0,.373,2,19,6,.714,.340
15,OF,1,1,.600,0,7,2,1.179,.579
166,SS,2,7,.241,2,31,1,.515,.274
30,2B,1,2,.200,0,5,1,.516,.316
22,1B,0,0,.364,1,5,0,.684,.320
200,3B,0,3,.340,3,47,10,.637,.297
87,OF,1,5,.276,0,19,5,.572,.296
127,1B,0,1,.512,9,30,6,.894,.382
166,1B,0,4,.464,3,52,16,.836,.372
55,C,0,2,.345,1,14,2,.662,.317
15,2B,0,0,.533,1,5,0,.908,.375
116,OF,0,0,.586,6,40,8,1.008,.422
56,C,0,3,.286,1,10,1,.637,.351
8,3B,0,0,.625,0,3,2,1.000,.375
159,SS,1,22,.327,0,44,8,.683,.356
62,2B,3,2,.145,0,9,0,.415,.270
28,CF,2,0,.214,0,6,0,.575,.361
30,OF,0,0,.433,0,7,4,.844,.410
107,C,0,0,.308,2,23,4,.578,.270
178,1B,0,2,.449,7,43,16,.773,.324
191,OF,4,16,.257,0,40,9,.614,.357
128,OF,0,4,.313,3,26,5,.602,.290
106,1B,1,1,.245,1,20,3,.529,.283
18,SS,0,0,.222,0,3,1,.597,.375
86,OF,0,4,.535,5,23,6,.854,.319
123,1B,0,1,.366,3,30,6,.713,.347
3,OF,0,1,.000,0,0,0,.400,.400
31,OF,0,1,.613,1,11,5,1.045,.432
2,OF,0,0,.500,0,1,0,1.000,.500
52,P,0,1,.212,0,8,1,.519,.308
40,3B,0,1,.275,0,10,1,.709,.434
59,C,0,1,.237,0,12,2,.447,.210
217,SS,0,10,.433,5,64,15,.746,.313
4,P,0,0,.000,0,0,0,.000,.000
31,C,0,1,.452,0,10,4,.852,.400
55,C,1,1,.291,0,14,2,.602,.311
50,OF,0,1,.180,0,7,2,.497,.317
167,SS,3,6,.383,4,37,11,.655,.272
25,3B,0,0,.120,0,3,0,.387,.267
56,SS,5,3,.268,0,13,0,.585,.317
177,SS,1,5,.299,1,42,6,.653,.354
61,C,0,0,.246,0,13,2,.560,.314
176,OF,0,16,.284,1,38,7,.599,.315
5,DH,0,0,.400,0,1,1,.733,.333
109,OF,0,2,.505,5,34,2,.858,.353
47,OF,0,0,.255,1,7,2,.501,.245
52,C,0,0,.500,1,16,5,.890,.390
109,OF,1,2,.321,1,22,8,.603,.282
3,C,0,0,.333,0,1,0,.733,.400
3,P,0,0,.000,0,0,0,.000,.000
132,3B,0,2,.295,2,30,3,.586,.291
92,OF,0,3,.370,1,25,4,.719,.350
4,OF,0,0,1.250,0,3,0,2.000,.750
128,OF,0,1,.617,8,43,6,1.059,.442
75,C,0,0,.307,1,17,3,.582,.275
0,C,0,0,--,0,0,0,--,1.000
8,OF,0,2,.625,0,4,1,1.261,.636
102,2B,1,9,.235,0,23,1,.588,.352
106,C,1,2,.415,0,32,6,.823,.408
113,2B,1,10,.434,4,33,4,.809,.375
9,OF,0,2,.889,0,6,2,1.639,.750
105,SS,0,7,.410,1,32,8,.796,.387
11,1B,0,0,.455,1,2,0,.636,.182
30,C,0,1,.600,2,9,3,.982,.382
70,C,0,0,.614,7,18,4,.991,.376
102,LF,0,1,.216,0,19,3,.472,.257
118,OF,3,6,.169,0,20,0,.427,.258
31,C,0,0,.355,1,6,2,.697,.342
14,SS,0,0,.071,0,1,0,.259,.188
58,OF,0,0,.466,2,18,1,.863,.397
121,OF,0,11,.405,2,31,6,.762,.357
89,OF,0,0,.202,0,15,3,.431,.229
100,SS,2,2,.190,0,18,1,.470,.280
14,3B,0,0,.786,1,6,0,1.365,.579
29,SS,1,0,.172,0,4,1,.415,.242
