SF,SLG,AVG,OBP,H,RBI,G
0,.750,.500,0.714,2,0,3
1,.351,.169,0.244,13,8,27
0,.291,.182,0.25,10,2,19
0,.283,.226,0.349,12,7,21
0,.226,.194,0.279,18,2,32
0,.235,.235,0.316,4,0,5
0,.929,.286,0.375,4,5,5
0,.344,.210,0.275,33,12,50
0,.387,.204,0.314,28,18,46
1,.272,.198,0.25,16,5,24
2,.342,.201,0.248,30,15,41
0,.356,.267,0.377,12,7,12
1,.355,.234,0.291,25,13,31
0,.165,.165,0.228,14,5,28
0,.313,.250,0.455,4,2,7
0,.278,.236,0.353,17,6,24
0,.464,.214,0.29,6,6,8
0,.520,.317,0.4,39,23,40
0,.277,.202,0.286,19,2,38
2,.429,.286,0.353,8,7,9
1,.475,.312,0.38,44,26,36
1,.287,.230,0.292,20,6,30
1,.308,.282,0.293,11,3,17
1,.260,.220,0.31,11,2,18
0,.190,.143,0.26,9,4,24
0,.250,.200,0.289,8,4,17
0,.304,.174,0.345,4,1,8
0,.313,.188,0.316,3,0,9
0,.867,.400,0.4,6,5,6
2,.354,.246,0.271,16,5,24
0,.345,.282,0.307,31,5,31
2,.282,.224,0.299,19,8,36
1,.417,.291,0.372,37,16,37
0,.900,.500,0.583,5,0,3
0,.314,.171,0.293,6,3,25
0,.000,.000,0.263,0,0,5
0,.321,.216,0.324,35,22,51
0,.127,.109,0.183,6,2,20
3,.280,.213,0.297,32,16,40
1,.614,.330,0.388,29,24,25
2,.179,.179,0.306,5,4,9
0,.280,.260,0.339,13,3,15
0,.178,.156,0.387,7,2,28
0,.063,.063,0.25,1,0,6
0,.333,.235,0.316,12,3,23
1,.034,.034,0.256,1,2,11
3,.313,.267,0.351,40,18,41
5,.322,.223,0.316,45,15,58
1,.250,.208,0.291,10,6,14
2,.388,.279,0.353,41,21,48
0,.333,.333,0.333,3,3,3
0,.255,.182,0.224,10,7,17
0,.370,.278,0.304,15,2,20
0,.200,.067,0.125,1,2,5
2,.267,.198,0.264,23,7,35
0,.275,.175,0.327,7,0,15
1,.292,.230,0.298,37,10,43
0,.232,.205,0.264,23,3,36
2,.405,.279,0.359,31,14,31
1,.247,.191,0.318,17,3,32
1,.333,.333,0.444,2,1,3
0,.273,.182,0.25,2,1,4
0,.233,.186,0.352,8,1,13
0,.259,.185,0.279,10,8,17
0,.333,.167,0.286,1,0,2
1,.179,.143,0.265,4,4,15
2,.277,.202,0.306,19,9,29
1,.400,.267,0.286,16,8,17
2,.398,.262,0.391,27,14,32
1,.255,.193,0.253,28,20,38
0,.375,.250,0.333,4,0,4
3,.356,.287,0.375,29,9,31
2,.268,.197,0.252,28,10,40
4,.284,.245,0.319,25,8,30
1,.250,.205,0.308,9,6,15
2,.418,.265,0.302,45,25,44
3,.287,.228,0.337,31,17,42
2,.241,.196,0.303,31,14,51
0,.024,.024,0.07,1,0,18
0,.339,.246,0.336,29,10,32
0,.341,.268,0.302,11,5,13
1,.345,.282,0.391,40,10,47
0,.485,.333,0.405,11,7,9
1,.384,.254,0.399,35,20,42
0,.286,.286,0.375,4,0,5
0,.208,.182,0.308,14,8,44
0,.214,.143,0.333,4,2,9
0,.133,.100,0.182,3,3,11
0,.111,.111,0.111,1,2,3
0,.167,.167,0.211,6,4,11
0,.100,.100,0.182,1,0,3
0,.503,.381,0.443,69,24,47
0,.219,.171,0.248,25,6,46
1,.415,.244,0.347,10,6,12
1,.268,.177,0.218,29,17,45
1,.269,.192,0.371,5,4,11
0,.222,.167,0.25,3,0,7
0,.222,.167,0.167,3,0,6
0,.000,.000,0.222,0,0,5
1,.243,.171,0.268,19,6,41
0,.385,.385,0.429,5,1,4
1,.081,.081,0.149,7,6,26
0,.167,.167,0.286,1,0,2
0,.286,.214,0.283,18,11,28
0,.111,.111,0.111,1,0,3
0,.415,.293,0.408,12,7,12
1,.174,.087,0.267,2,4,12
1,.246,.204,0.272,34,9,43
0,.217,.174,0.24,4,0,7
0,.413,.307,0.373,23,11,22
0,.346,.231,0.328,24,12,35
0,.227,.136,0.208,3,2,11
0,.346,.231,0.286,6,1,9
1,.250,.193,0.317,27,14,39
0,.100,.100,0.182,8,1,29
0,.227,.167,0.257,11,6,21
0,.222,.185,0.29,20,7,34
0,.000,.000,0.5,0,0,2
1,.226,.226,0.344,12,2,22
0,.389,.271,0.356,39,18,43
0,.387,.290,0.389,18,10,17
1,.423,.241,0.352,33,21,45
1,.250,.156,0.2,5,2,10
0,.454,.351,0.462,34,15,30
0,.450,.279,0.392,36,14,44
0,.458,.292,0.32,7,5,7
0,.320,.160,0.276,4,4,8
0,.333,.333,0.333,1,1,1
0,.298,.193,0.27,11,1,22
0,.250,.167,0.231,2,2,5
1,.362,.232,0.325,16,14,25
2,.455,.260,0.306,20,12,26
0,.588,.294,0.455,5,3,7
1,.291,.186,0.268,16,8,30
1,.154,.154,0.209,6,4,17
0,.357,.357,0.471,5,2,4
0,.500,.265,0.371,44,29,48
0,.000,.000,0.0,0,0,2
1,.227,.160,0.21,12,11,26
0,.272,.232,0.329,29,7,43
0,.400,.200,0.429,1,0,3
0,.350,.225,0.326,9,5,19
2,.313,.253,0.281,21,10,38
0,.305,.169,0.246,10,10,16
